m/z,R00X136Y045,R00X162Y047,R00X167Y047,R00X158Y048,R00X257Y048,R00X130Y049,R00X159Y049,R00X128Y050,R00X146Y050,R00X094Y051,R00X099Y051,R00X158Y051,R00X160Y051,R00X174Y051,R00X190Y051,R00X209Y051,R00X123Y052,R00X131Y052,R00X162Y052,R00X171Y052,R00X198Y052,R00X121Y053,R00X123Y053,R00X157Y053,R00X158Y053,R00X167Y054,R00X090Y055,R00X166Y055,R00X191Y055,R00X303Y055,R00X191Y056,R00X294Y057,R00X163Y058,R00X170Y058,R00X149Y059,R00X169Y059,R00X299Y059,R00X132Y060,R00X167Y060,R00X184Y060,R00X241Y060,R00X161Y061,R00X210Y061,R00X087Y062,R00X102Y062,R00X139Y062,R00X149Y062,R00X154Y062,R00X158Y062,R00X221Y062,R00X251Y062,R00X295Y062,R00X138Y063,R00X164Y063,R00X239Y063,R00X155Y064,R00X154Y065,R00X155Y065,R00X175Y065,R00X218Y065,R00X087Y066,R00X194Y066,R00X259Y066,R00X141Y067,R00X145Y067,R00X173Y067,R00X145Y068,R00X151Y068,R00X232Y068,R00X145Y069,R00X202Y069,R00X300Y069,R00X077Y070,R00X106Y070,R00X145Y070,R00X171Y070,R00X239Y070,R00X154Y071,R00X136Y072,R00X167Y072,R00X176Y072,R00X103Y073,R00X127Y073,R00X143Y073,R00X154Y073,R00X169Y073,R00X156Y074,R00X168Y074,R00X096Y075,R00X098Y076,R00X101Y076,R00X156Y076,R00X161Y076,R00X236Y076,R00X155Y077,R00X237Y077,R00X135Y078,R00X165Y078,R00X169Y078,R00X189Y078,R00X113Y079,R00X129Y079,R00X157Y079,R00X158Y079,R00X159Y079,R00X164Y079,R00X190Y079,R00X265Y079,R00X141Y080,R00X156Y080,R00X164Y080,R00X233Y080,R00X234Y080,R00X236Y080,R00X245Y080,R00X298Y080,R00X163Y081,R00X165Y081,R00X173Y081,R00X174Y081,R00X236Y081,R00X141Y082,R00X156Y082,R00X226Y082,R00X240Y082,R00X151Y083,R00X163Y083,R00X265Y083,R00X175Y084,R00X235Y087,R00X243Y087,R00X270Y089,R00X234Y090
1280.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460179.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519102.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239843.03125,473456.71875,0.0
1280.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365807.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465852.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423362.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478997.4375,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279788.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336094.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.32,404837.65625,1115657.0625,0.0,299766.375,1149752.8125,427964.28125,494167.25,0.0,0.0,0.0,689594.5,0.0,571760.9375,0.0,0.0,931272.5,710421.875,0.0,0.0,0.0,480883.25,0.0,0.0,2876025.75,0.0,0.0,473795.53125,716040.3125,0.0,0.0,0.0,0.0,709569.25,0.0,0.0,0.0,343372.59375,949937.8125,0.0,253921.125,1978072.375,0.0,0.0,0.0,0.0,472292.90625,0.0,2309346.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257552.25,976352.0625,0.0,0.0,0.0,0.0,0.0,0.0,1253843.625,1689568.59375,0.0,436022.1875,0.0,0.0,512680.65625,1433793.5625,0.0,0.0,438782.0625,534097.6875,1195951.375,413390.0625,0.0,0.0,777098.6875,711015.8125,457591.9375,435256.75,1370311.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056054.0,0.0,1717188.875,836379.0625,1824421.125,0.0,700416.5625,617887.625,0.0,0.0,3671769.875,360783.84375,392490.8125,407319.3125,0.0,1338137.0,0.0,2545549.875,0.0,396666.03125,0.0,0.0,0.0,689561.5625,569021.125,0.0,577676.1875,0.0,0.0,0.0,0.0,0.0,431110.96875,885881.0,957882.8125,0.0,1560615.03125,0.0
1280.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375165.625,0.0,0.0,0.0,779000.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761346.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389009.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609640.5,0.0,0.0,0.0,1399853.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769755.0,691810.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748283.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358410.46875,0.0,0.0,742824.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524847.1875,0.0,0.0,0.0,354619.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361237.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441603.4375,0.0
1280.62,2067822.6875,862748.25,534717.5,379009.125,0.0,1071602.4375,0.0,997654.96875,703988.25,1221836.625,527452.3125,6924186.125,3451397.375,2372752.5,0.0,2024148.9375,2867789.0625,968045.8125,2191005.3125,0.0,0.0,0.0,0.0,1098051.25,595629.0,1546226.5625,1621572.5625,413939.34375,3765911.5625,448463.21875,871278.0625,0.0,903756.5,1683075.0,0.0,1256991.25,436987.9375,650076.5,1241917.78125,724728.1875,0.0,1022262.65625,2562406.125,618465.1875,1016854.5625,0.0,302019.75,1522765.5,979616.0625,0.0,0.0,495229.15625,388714.59375,283478.1875,0.0,0.0,0.0,1761333.9375,0.0,397633.15625,1420494.25,1095581.375,2453548.9375,724011.25,2523755.9375,1989581.0625,1196261.21875,0.0,501749.3125,0.0,356093.0625,1414485.5625,690329.0625,4610096.75,3346719.8125,0.0,1340595.25,361379.25,670651.0,2904484.125,918724.5,1859170.125,1035256.09375,2399042.1875,1854412.90625,1379446.5,0.0,1259132.4375,1743843.0625,2637479.875,3798125.875,2014539.75,1136133.5,0.0,0.0,635640.125,1514266.6875,788658.875,2195378.375,1439474.625,882310.0,632208.6875,1962882.5,0.0,292537.59375,1813379.3125,0.0,0.0,2469743.6875,0.0,1782987.4375,391175.5,470837.96875,480758.40625,382454.375,0.0,0.0,523158.25,441893.1875,1778623.0,0.0,1126851.5,886719.8125,395289.71875,312900.59375,527853.375,732927.5625,714371.0625,1913114.625,0.0,0.0,0.0,430515.5625
1280.87,0.0,1021571.6875,0.0,0.0,408510.65625,1159608.4375,519053.59375,757390.375,0.0,0.0,0.0,824318.3125,0.0,1597990.0,0.0,1015824.125,1219736.375,0.0,1400071.34375,556004.375,0.0,1228836.25,517066.09375,854301.875,0.0,500083.46875,2848962.96875,343967.6875,531514.6875,0.0,1024287.125,370936.28125,875528.1875,0.0,0.0,588895.0625,0.0,976022.375,1050786.75,0.0,949224.0,615229.5,691419.0,1088508.15625,821858.25,0.0,0.0,0.0,559588.0,0.0,0.0,1103667.375,341960.1875,0.0,0.0,3944101.5,0.0,3398981.3125,1094962.875,551413.9375,0.0,780244.1875,2891846.6875,0.0,3600371.4375,674067.0625,2992687.875,0.0,0.0,0.0,437845.0,1035920.65625,1775497.125,1008347.875,2417770.875,514334.625,2526719.875,1057044.875,0.0,1201066.125,773327.15625,1494218.8125,0.0,1327028.125,1368670.96875,941478.125,876535.53125,974743.875,2155235.75,1353561.125,0.0,3078067.4375,1308843.0,340218.90625,0.0,1125712.0,0.0,1941688.5,2726704.3125,707425.3125,384628.15625,1450508.9375,2165778.375,475823.5625,0.0,1877052.375,833139.03125,0.0,775747.8125,0.0,1345027.125,376049.6875,1476768.1875,387640.96875,697160.625,320999.15625,0.0,694143.25,1304800.125,3234659.875,0.0,375201.8125,2781620.3125,396352.5,0.0,295085.9375,1283785.25,346170.8125,1375178.8125,1392945.4375,399381.90625,448730.1875,1381991.4375
1280.95,0.0,1321132.125,0.0,549081.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595701.9375,0.0,0.0,0.0,0.0,0.0,0.0,343220.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519060.03125,0.0,0.0,285009.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579088.8125,0.0,0.0,0.0,342997.28125,0.0,0.0,436723.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667787.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718970.125,0.0,525127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507205.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545469.625,0.0,817569.75,0.0,0.0,0.0,378680.8125,322696.625,365578.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490160.96875
1281.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462108.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429635.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
