m/z,R00X101Y045,R00X137Y045,R00X123Y046,R00X114Y047,R00X120Y047,R00X156Y047,R00X177Y047,R00X188Y047,R00X090Y048,R00X092Y048,R00X148Y048,R00X154Y048,R00X216Y048,R00X233Y048,R00X122Y049,R00X137Y049,R00X151Y049,R00X224Y049,R00X232Y049,R00X234Y049,R00X268Y049,R00X273Y049,R00X284Y049,R00X097Y050,R00X109Y050,R00X119Y050,R00X154Y050,R00X226Y050,R00X281Y050,R00X087Y051,R00X167Y051,R00X224Y051,R00X252Y051,R00X269Y051,R00X270Y051,R00X091Y052,R00X099Y052,R00X135Y052,R00X271Y052,R00X297Y052,R00X086Y053,R00X153Y053,R00X202Y053,R00X206Y053,R00X226Y053,R00X285Y053,R00X294Y053,R00X296Y053,R00X098Y054,R00X128Y054,R00X152Y054,R00X154Y054,R00X196Y054,R00X246Y054,R00X271Y054,R00X281Y054,R00X286Y054,R00X197Y055,R00X272Y055,R00X282Y055,R00X146Y056,R00X179Y056,R00X198Y056,R00X270Y056,R00X275Y056,R00X280Y056,R00X289Y056,R00X124Y057,R00X125Y057,R00X133Y057,R00X166Y057,R00X215Y057,R00X218Y057,R00X228Y057,R00X236Y057,R00X269Y057,R00X249Y058,R00X284Y058,R00X295Y058,R00X296Y058,R00X091Y059,R00X120Y059,R00X189Y059,R00X234Y059,R00X265Y059,R00X274Y059,R00X277Y059,R00X282Y059,R00X300Y059,R00X122Y060,R00X160Y060,R00X219Y060,R00X225Y060,R00X233Y060,R00X237Y060,R00X269Y060,R00X296Y060,R00X129Y061,R00X130Y061,R00X236Y061,R00X266Y061,R00X270Y061,R00X290Y061,R00X228Y062,R00X234Y062,R00X264Y062,R00X267Y062,R00X269Y062,R00X272Y062,R00X276Y062,R00X118Y063,R00X150Y063,R00X205Y063,R00X209Y063,R00X245Y063,R00X268Y063,R00X072Y064,R00X082Y064,R00X113Y064,R00X119Y064,R00X209Y064,R00X210Y064,R00X221Y064,R00X274Y064,R00X278Y064,R00X294Y064,R00X076Y065,R00X099Y065,R00X140Y065,R00X181Y065,R00X199Y065,R00X211Y065,R00X217Y065,R00X236Y065,R00X260Y065,R00X074Y066,R00X081Y066,R00X164Y066,R00X227Y066,R00X254Y066,R00X266Y066,R00X273Y066,R00X074Y067,R00X122Y067,R00X134Y067,R00X152Y067,R00X280Y067,R00X293Y067,R00X074Y068,R00X214Y068,R00X079Y069,R00X137Y069,R00X139Y069,R00X212Y069,R00X222Y069,R00X263Y069,R00X268Y069,R00X075Y070,R00X109Y070,R00X139Y070,R00X260Y070,R00X264Y070,R00X277Y070,R00X282Y070,R00X083Y071,R00X165Y071,R00X172Y071,R00X180Y071,R00X207Y071,R00X208Y071,R00X242Y071,R00X263Y071,R00X073Y072,R00X132Y072,R00X165Y072,R00X190Y072,R00X198Y072,R00X300Y072,R00X064Y073,R00X117Y073,R00X118Y073,R00X124Y073,R00X151Y073,R00X170Y073,R00X219Y073,R00X249Y073,R00X253Y073,R00X067Y074,R00X068Y074,R00X070Y074,R00X087Y074,R00X205Y074,R00X249Y074,R00X273Y074,R00X277Y074,R00X093Y075,R00X132Y075,R00X221Y075,R00X261Y075,R00X275Y075,R00X116Y076,R00X125Y076,R00X135Y076,R00X175Y076,R00X205Y076,R00X252Y076,R00X253Y076,R00X073Y077,R00X081Y077,R00X085Y077,R00X113Y077,R00X251Y077,R00X279Y077,R00X066Y078,R00X120Y078,R00X114Y079,R00X122Y079,R00X246Y079,R00X287Y079,R00X078Y080,R00X129Y080,R00X241Y080,R00X293Y080,R00X218Y081,R00X238Y081,R00X255Y081,R00X154Y082,R00X185Y082,R00X197Y082,R00X270Y082,R00X289Y082,R00X135Y083,R00X144Y083,R00X205Y083,R00X275Y083,R00X193Y084,R00X206Y084,R00X254Y084,R00X226Y085,R00X251Y085,R00X252Y085,R00X286Y085,R00X272Y086,R00X286Y086,R00X292Y086,R00X188Y087,R00X251Y087,R00X264Y087,R00X287Y087,R00X202Y088,R00X214Y088,R00X221Y088,R00X249Y088,R00X272Y088,R00X237Y089,R00X260Y089,R00X290Y089,R00X265Y090,R00X272Y090,R00X267Y091
1280.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305501.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134127.90625,0.0,387379.3125,0.0,0.0,0.0,328998.8125,0.0,343812.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416911.1875,0.0,0.0,0.0,346365.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522440.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349785.5625,0.0,0.0,0.0,376280.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529380.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391174.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428912.59375,0.0,0.0,1266782.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330246.125,0.0,0.0,476189.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181127.6875,663515.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476365.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597473.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596787.875,0.0,248553.6875,0.0,0.0,0.0,509059.5,0.0,0.0,0.0,0.0,0.0,0.0
1280.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340166.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303829.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382404.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355535.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556780.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362362.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358770.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318731.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.37,0.0,0.0,0.0,647260.5625,718816.5625,0.0,0.0,0.0,0.0,1134010.0625,351717.46875,0.0,470139.78125,731666.0625,0.0,0.0,308150.6875,0.0,0.0,0.0,1446593.40625,904501.125,0.0,0.0,1271577.90625,323648.71875,0.0,0.0,0.0,0.0,847550.9375,0.0,0.0,1096872.5,723269.8125,328682.875,0.0,0.0,303661.59375,0.0,0.0,0.0,666028.625,0.0,0.0,0.0,420570.25,398201.125,0.0,333593.46875,0.0,380795.5625,456603.28125,0.0,411474.90625,599031.375,0.0,508269.6875,523621.0625,555490.125,0.0,0.0,0.0,771268.25,0.0,680050.0625,0.0,0.0,0.0,570268.5,288218.40625,0.0,595285.75,0.0,471582.5625,0.0,0.0,0.0,1349740.25,0.0,0.0,0.0,361409.125,0.0,0.0,1139996.75,0.0,0.0,793988.90625,0.0,0.0,0.0,378433.46875,0.0,516016.0,556748.625,425741.8125,0.0,886636.90625,578854.0625,0.0,666117.625,1397408.3125,0.0,0.0,0.0,347952.375,627627.0625,990387.4375,0.0,507625.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542671.875,0.0,358270.4375,0.0,0.0,1748512.4375,685161.3125,494026.0,0.0,494728.84375,0.0,0.0,517686.0625,0.0,594589.1875,1030082.90625,291778.28125,0.0,0.0,0.0,1340189.9375,521121.8125,0.0,0.0,0.0,409870.90625,0.0,384997.5625,0.0,507487.8125,0.0,0.0,0.0,1369649.625,619239.9375,463293.625,399190.96875,475387.96875,0.0,434425.375,542470.0625,0.0,1766250.75,2110907.0,0.0,0.0,0.0,747767.25,0.0,0.0,512426.90625,0.0,0.0,416655.40625,0.0,0.0,465832.90625,1166579.53125,0.0,0.0,0.0,2297218.4375,0.0,0.0,421325.4375,427002.09375,1037698.625,1387220.34375,1496052.875,0.0,524467.3125,353465.96875,0.0,1456018.0,635397.5,453975.21875,0.0,679925.03125,316359.65625,578755.5,492790.75,700684.6875,0.0,1670495.5625,0.0,1471331.0625,0.0,0.0,0.0,1204408.125,1052338.34375,507331.0,997428.15625,438079.5625,2113350.0,0.0,0.0,0.0,0.0,476527.75,0.0,0.0,0.0,0.0,763384.4375,0.0,567175.4375,491078.65625,0.0,1832581.0,0.0,0.0,729393.625,1208458.125,0.0,1211120.6875,0.0,0.0,561294.9375,430356.21875,0.0,0.0,0.0,699728.125,590049.9375,0.0,1213418.3125,0.0,1469537.25,0.0,316227.78125,0.0,0.0,543851.1875,335332.3125,0.0,0.0,440578.875,1060378.25
1280.62,900507.8125,976870.6875,585762.6875,1976976.0625,0.0,601446.25,700693.375,485251.15625,0.0,3524357.84375,0.0,0.0,3097850.9375,1361150.0625,764297.96875,836782.09375,0.0,0.0,1779781.875,403962.5,1647928.1875,1344403.3125,1600992.28125,499404.0,1943148.90625,390071.28125,566918.25,0.0,0.0,0.0,0.0,0.0,1962231.75,4682460.3125,0.0,0.0,1555313.6875,0.0,925202.84375,511816.3125,502410.78125,532749.5,330587.65625,0.0,772690.46875,914582.15625,0.0,366947.25,460732.40625,1667749.28125,0.0,730079.71875,883276.125,571059.125,1254620.46875,1404303.09375,430316.25,1209214.3125,1569989.8125,1700943.125,372372.25,1112117.96875,0.0,780288.5625,0.0,5895857.1875,0.0,569043.8125,0.0,1817386.90625,745428.0,618734.0,766363.25,449953.65625,554887.5625,1627095.5625,3282439.375,361618.125,0.0,0.0,377564.28125,521595.40625,0.0,0.0,0.0,0.0,0.0,2175893.75,847529.71875,482836.8125,0.0,0.0,489438.96875,389784.84375,476967.53125,998050.78125,571124.625,0.0,429280.15625,532899.875,0.0,1019789.0625,758107.4375,515747.0,525005.8125,0.0,735082.53125,658874.3125,1880630.375,433092.0625,322350.75,0.0,3096813.75,2451120.9375,1078302.75,940737.25,2315086.8125,2286970.125,0.0,510495.21875,0.0,1112720.5,1131871.0625,514577.75,373300.5,0.0,2834508.25,1817492.0,2134865.875,494512.9375,0.0,0.0,0.0,874681.4375,0.0,962644.96875,573157.8125,1092387.53125,989440.96875,0.0,0.0,358099.875,0.0,0.0,605692.6875,1855990.71875,460895.8125,3222063.25,528655.375,658756.9375,1358256.3125,1342562.9375,0.0,268866.0,2902478.5,0.0,469225.65625,0.0,1007002.28125,972791.875,558289.1875,1536517.75,0.0,2812003.5625,1500960.25,1668122.0625,412674.03125,337824.59375,0.0,1623927.6875,963832.1875,567916.875,0.0,0.0,867462.78125,0.0,500732.8125,1141366.9375,1066214.25,811073.90625,6523149.6875,0.0,1485170.0,322702.46875,482068.125,599738.4375,1597173.59375,2857522.75,1326125.59375,763731.75,1905073.25,1737639.5,0.0,0.0,2088313.5625,2205443.5625,1883260.5625,2880936.5625,274093.75,439945.6875,0.0,2725047.125,718774.75,746271.4375,599001.6875,1787280.1875,2306429.25,1472107.0,627492.5625,1578467.34375,1862957.1875,2148069.8125,3843398.375,1910960.375,2218913.5625,0.0,1889957.40625,0.0,2134442.375,982652.8125,1166251.46875,482914.25,687733.0,1336864.1875,0.0,861799.9375,292303.625,1331330.8125,0.0,0.0,3135567.0,2185483.34375,620697.9375,2818186.9375,601643.9375,0.0,1289256.5625,2113489.90625,484180.84375,743307.375,449746.90625,1184238.375,1452999.625,445005.90625,1911329.46875,614253.5,1342997.96875,650525.4375,746940.5625,675883.875,304325.40625,0.0,2051746.125,2972673.3125,1407623.8125,0.0,489254.4375,360687.84375,0.0,435246.5
1280.87,1196071.0625,1293084.0625,0.0,0.0,0.0,478303.25,388785.59375,324573.03125,1028467.375,0.0,0.0,511670.84375,1310352.875,0.0,0.0,0.0,381680.90625,0.0,474940.34375,0.0,627035.5,0.0,577414.3125,380432.75,485161.0,0.0,475506.8125,0.0,491248.25,0.0,0.0,0.0,1177511.03125,0.0,0.0,741905.96875,386845.875,344155.5625,400212.15625,0.0,1014545.21875,506690.6875,0.0,813803.5,796169.28125,0.0,326531.5625,1443004.5,997588.59375,0.0,0.0,446314.9375,810052.78125,376869.8125,875447.6875,0.0,286327.21875,637873.8125,0.0,1990568.46875,1071809.78125,1323945.375,0.0,868020.625,831754.25,2062470.8125,0.0,0.0,0.0,0.0,304450.6875,0.0,545303.25,0.0,711881.46875,991350.5,1568609.53125,318511.5,815451.5,532076.9375,838453.9375,1038336.78125,435317.84375,698332.65625,584802.0625,0.0,1016033.03125,571369.8125,0.0,773204.6875,2384723.5,0.0,1203452.78125,902719.09375,1180954.375,411937.78125,771866.25,0.0,1112187.84375,0.0,0.0,0.0,0.0,573324.4375,603257.6875,1374723.0,485429.0625,0.0,1349314.0,852186.59375,0.0,0.0,828159.3125,860762.25,0.0,1106143.65625,675137.4375,1649953.0625,0.0,843835.6875,0.0,1381573.5625,0.0,345018.3125,0.0,956363.6875,601054.375,1177121.0,1726186.3125,1449781.75,575584.25,0.0,0.0,464005.65625,1068435.53125,534835.5625,570858.6875,0.0,1718070.96875,0.0,0.0,829514.4375,0.0,0.0,1694116.4375,1507628.3125,978098.34375,0.0,585392.0,995667.03125,701667.5625,582628.8125,0.0,716625.46875,0.0,1932039.0625,853000.625,988804.21875,363054.875,1218785.1875,0.0,607924.5,0.0,2127005.125,1537564.03125,0.0,1152722.15625,1505706.3125,806675.25,1474090.875,0.0,1476080.375,0.0,0.0,833955.5625,854925.8125,611709.9375,0.0,964889.84375,796969.15625,603516.5625,399901.25,678776.3125,879483.34375,0.0,1143782.375,1692446.6875,1705855.625,698421.0,1667004.125,681559.6875,2706173.6875,798439.25,370602.28125,2538802.9375,1770382.5625,2116454.875,2426231.25,0.0,0.0,1728422.8125,831794.875,610693.25,372731.8125,623915.6875,0.0,0.0,924985.5625,677704.0625,483364.40625,992803.8125,2147244.84375,2682285.0,439404.03125,960708.59375,1642373.375,4391193.0625,0.0,1281391.53125,1237083.625,2205764.9375,947747.65625,1458804.4375,0.0,0.0,1559116.875,365015.5,0.0,479889.0625,0.0,5074708.5,690566.1875,792727.9375,565846.6875,3074991.875,1049990.90625,0.0,0.0,678005.625,1613266.6875,538576.375,2002466.5,584355.125,0.0,0.0,1853514.78125,456817.6875,597756.375,1069406.125,1378732.125,0.0,584752.875,910718.53125,808998.25,2219483.59375,0.0,1572763.4375,0.0,1648371.53125,765430.25
1280.95,449517.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688555.625,0.0,0.0,0.0,0.0,419711.25,729736.1875,593282.875,0.0,0.0,0.0,0.0,0.0,0.0,318221.34375,651666.0,373160.78125,0.0,0.0,0.0,2029382.625,0.0,694891.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616389.25,0.0,0.0,383091.28125,0.0,379526.21875,340707.6875,0.0,0.0,0.0,0.0,498171.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439197.40625,614057.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497949.65625,0.0,0.0,0.0,0.0,0.0,0.0,1072183.40625,0.0,0.0,0.0,0.0,0.0,0.0,712489.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474690.5625,0.0,511854.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509975.90625,0.0,1478879.0625,0.0,0.0,0.0,0.0,488023.6875,0.0,532951.5,826211.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810980.25,664287.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633234.625,0.0,0.0,0.0,0.0,565742.125,0.0,0.0,667721.6875,0.0,0.0,0.0,451430.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040274.375,0.0,0.0,508797.75,0.0,0.0,0.0,0.0,0.0,623166.625,521473.09375,0.0,0.0,0.0,0.0,905754.375,0.0,736933.75,0.0,0.0,0.0,0.0,383604.65625,0.0,511941.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522301.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497893.5,0.0,624101.5625,0.0,617578.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498940.71875,478257.65625,0.0,0.0,531028.625,0.0,0.0,626522.625,0.0,0.0,421323.46875,0.0,0.0,0.0,0.0,0.0,0.0,610391.3125,0.0
1281.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504327.53125,0.0,0.0,0.0,663692.5,0.0,548852.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311479.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295427.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352674.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328744.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322034.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456397.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423073.46875,0.0,0.0,0.0,0.0,0.0,629220.875,0.0,0.0,0.0,317258.4375,0.0,641055.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649572.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318087.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451369.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511851.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499697.6875,0.0,0.0,0.0,0.0,0.0,741555.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422368.125,0.0,0.0,312201.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562632.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
