m/z,R00X093Y045,R00X091Y049,R00X221Y050,R00X277Y050,R00X177Y052,R00X187Y052,R00X269Y052,R00X153Y054,R00X174Y054,R00X180Y054,R00X213Y054,R00X288Y054,R00X087Y055,R00X089Y055,R00X131Y055,R00X198Y055,R00X152Y056,R00X285Y056,R00X288Y056,R00X291Y056,R00X271Y057,R00X297Y057,R00X222Y058,R00X235Y058,R00X193Y060,R00X221Y060,R00X238Y062,R00X298Y062,R00X286Y063,R00X134Y064,R00X266Y064,R00X158Y065,R00X275Y066,R00X159Y068,R00X219Y069,R00X118Y070,R00X140Y070,R00X068Y071,R00X281Y071,R00X139Y073,R00X239Y073,R00X240Y073,R00X279Y073,R00X204Y074,R00X260Y074,R00X254Y076,R00X255Y076,R00X264Y076,R00X266Y077,R00X104Y078,R00X256Y078,R00X135Y079,R00X216Y084,R00X209Y085,R00X263Y089
1280.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391761.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408358.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445782.25,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412971.90625,0.0,0.0,0.0,421692.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463975.03125,0.0,476805.8125,0.0,0.0,0.0,316923.59375,0.0,0.0,521778.875,529655.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429278.28125,0.0,1193628.25,0.0,0.0,593642.6875,0.0,777219.6875,0.0,0.0,0.0,0.0,0.0,0.0,1492557.625,0.0,0.0,5995639.5,0.0,0.0,0.0,0.0
1280.2,0.0,0.0,0.0,0.0,512051.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.33,869124.3125,0.0,0.0,0.0,699618.625,0.0,0.0,0.0,384995.6875,1037152.6875,2616601.75,0.0,0.0,0.0,0.0,0.0,802648.25,0.0,0.0,0.0,0.0,1240103.375,0.0,0.0,1343912.6875,0.0,362050.90625,0.0,673838.5625,0.0,375707.125,0.0,0.0,593167.1875,265350.78125,1495322.75,787770.375,518913.71875,982776.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380448.4375,318205.3125,628430.5,4302683.5,491807.15625,0.0,391868.25,0.0
1280.37,0.0,0.0,0.0,676797.375,0.0,0.0,0.0,0.0,0.0,0.0,1878913.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629209.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774265.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390091.09375,778154.75
1280.49,569057.3125,0.0,619552.0,471182.71875,820471.4375,0.0,772245.875,3014453.75,0.0,0.0,2778109.5,402756.34375,352819.46875,432768.9375,875269.6875,0.0,0.0,5386540.9375,0.0,0.0,0.0,635547.3125,359050.59375,0.0,582510.625,0.0,304821.6875,0.0,0.0,0.0,305647.15625,0.0,0.0,0.0,0.0,676743.125,0.0,628525.8125,0.0,0.0,750155.25,310157.25,0.0,0.0,0.0,0.0,0.0,854047.875,0.0,497318.59375,0.0,0.0,763845.0,0.0,0.0
1280.62,0.0,1053915.5625,0.0,684800.9375,1149831.1875,0.0,814533.5,0.0,0.0,0.0,6361676.875,0.0,0.0,0.0,904325.375,750481.5,526871.6875,538117.0625,0.0,377618.09375,0.0,2232469.0625,319078.15625,1331191.9375,1467159.1875,0.0,0.0,0.0,0.0,277374.21875,378304.53125,0.0,314116.5625,581121.0625,0.0,0.0,0.0,1462612.875,965426.9375,0.0,4937731.25,402026.78125,0.0,0.0,0.0,908591.59375,596409.25,0.0,332252.3125,1268411.09375,0.0,1072674.0,350415.21875,1061300.9375,0.0
1280.66,847305.6875,370937.15625,0.0,468710.21875,756106.875,372733.625,0.0,0.0,832637.375,0.0,2307844.5,0.0,0.0,389475.625,463719.78125,0.0,0.0,0.0,0.0,0.0,0.0,899834.0,0.0,0.0,860201.375,0.0,0.0,0.0,0.0,424894.15625,0.0,501146.21875,0.0,0.0,0.0,0.0,472698.9375,0.0,0.0,0.0,637274.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579020.375,0.0,0.0,0.0
1280.78,0.0,0.0,0.0,640812.4375,1191464.84375,307587.25,0.0,0.0,380670.1875,0.0,1436503.375,0.0,0.0,0.0,825292.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341353.6875,0.0,523868.71875,358114.75,325919.53125,0.0,0.0,0.0,615233.875,0.0,0.0,0.0,0.0,691732.5,0.0,1114959.375,529426.25,0.0,1604655.4375,0.0,0.0,0.0,0.0,576364.25,454443.1875,0.0,0.0,0.0,0.0,512671.53125,0.0,0.0,427784.90625
