,Intercept,Score,Coef
"1280.37, 1284.62",[0.01322697],0.37121851877873435,[[2.22538928]]
"1280.37, 1286.87",[0.01261778],0.4525379696716997,[[0.61201897]]
"1280.37, 1290.62",[0.01925852],0.2009157398133029,[[0.44908877]]
"1280.37, 1300.87",[0.01986112],0.4328176453816634,[[0.31252647]]
"1280.37, 1301.87",[0.01147299],0.48369078836279383,[[0.96602758]]
"1280.37, 1303.87",[0.01447619],0.4820902137216287,[[0.8266713]]
"1280.37, 1309.74",[0.01891769],0.3695818636259967,[[0.28621378]]
"1280.37, 1313.83",[0.01912284],0.8029741774894434,[[0.54501074]]
"1280.37, 1318.62",[0.01771801],0.2601003999712125,[[0.6562232]]
"1280.37, 1319.62",[0.01495373],0.21871669967566065,[[0.44764629]]
"1280.62, 1283.87",[0.0120119],0.3563411043335454,[[0.23672102]]
"1280.62, 1291.87",[0.01087649],0.7097894436676196,[[0.47782633]]
"1280.62, 1292.87",[0.01232588],0.5516572350040294,[[0.43895713]]
"1280.62, 1293.87",[0.01512959],0.26947899570381284,[[0.41550305]]
"1280.62, 1294.87",[0.01518083],0.3762210886923266,[[0.54711656]]
"1280.62, 1301.87",[0.01193264],0.49629560973896303,[[0.35052136]]
"1280.62, 1302.81",[0.01504494],0.5931696741360644,[[0.24830375]]
"1280.62, 1306.73",[0.00767485],0.4615550110884563,[[0.248963]]
"1280.62, 1312.72",[0.00901689],0.20747343324607936,[[0.22411815]]
"1280.62, 1313.83",[0.01649283],0.3124715086646971,[[0.3142476]]
"1280.62, 1320.8",[0.00537524],0.746588039876463,[[0.46984607]]
"1280.62, 1322.86",[0.01577534],0.434149332691333,[[0.32006237]]
"1280.62, 1324.72",[0.01186782],0.38862215817938717,[[0.20753415]]
"1280.62, 1329.82",[0.01320998],0.30515094145901855,[[0.27328052]]
"1280.62, 1331.76",[0.01865966],0.22812602596183607,[[0.10638684]]
"1280.62, 1348.78",[0.01413348],0.5279543286226117,[[0.30855863]]
"1280.87, 1285.03",[0.00878527],0.3459734772005023,[[0.22920073]]
"1280.87, 1293.62",[0.02108374],0.38233812307831583,[[0.52377561]]
"1280.87, 1295.81",[0.01698792],0.22001822598512422,[[0.2566984]]
"1280.87, 1297.84",[0.01970296],0.20780307071020376,[[0.41378698]]
"1280.87, 1298.86",[0.01777823],0.3239418369457936,[[0.97099404]]
"1280.87, 1306.62",[0.01686312],0.2964768856422103,[[0.42274988]]
"1280.87, 1308.46",[0.01137971],0.23415769781383175,[[0.0906904]]
"1280.87, 1312.72",[0.01066217],0.32994777672406617,[[0.31244024]]
"1280.87, 1315.62",[0.04103858],0.30978201771736025,[[0.47460854]]
"1280.87, 1319.62",[0.00996491],0.3229138728531618,[[0.52166772]]
"1280.87, 1319.8",[0.02295886],0.2845600999122586,[[0.20292582]]
"1280.87, 1320.62",[0.02103717],0.2364303362020561,[[0.29026037]]
"1280.87, 1322.86",[0.0185682],0.34373091362177566,[[0.32485794]]
"1280.87, 1325.62",[0.01597505],0.3516806002998072,[[0.22048143]]
"1280.87, 1326.71",[0.01201048],0.44624452260398906,[[0.28217062]]
"1280.87, 1327.62",[0.01916615],0.20555787794924896,[[0.27480351]]
"1280.87, 1328.84",[0.01117568],0.26580898793479224,[[0.42458527]]
"1280.87, 1331.62",[0.01059497],0.3351205157153847,[[0.21875144]]
"1280.87, 1332.62",[0.0191019],0.31038850390785877,[[0.37909984]]
"1280.87, 1336.81",[0.01541834],0.2909480621453935,[[0.20377128]]
"1280.87, 1338.3",[0.02433788],0.26721900433224466,[[0.18048107]]
"1280.87, 1339.62",[0.01774456],0.20077276421793241,[[0.14071776]]
"1280.87, 1344.8",[0.01878103],0.2985941730762476,[[0.20079714]]
"1280.87, 1346.73",[0.01312418],0.3893912733004635,[[0.38277042]]
"1281.62, 1283.87",[0.01060829],0.40854216856683456,[[0.3163764]]
"1281.62, 1287.87",[0.01370474],0.2534028028202253,[[0.14446604]]
"1281.62, 1288.87",[0.01064682],0.2672017403074315,[[0.15496816]]
"1281.62, 1289.87",[0.01186276],0.6119972096628838,[[0.47714689]]
"1281.62, 1292.87",[0.00848637],0.45905038470606474,[[0.51507394]]
"1281.62, 1294.87",[0.0148073],0.48663453869313855,[[0.5358062]]
"1281.62, 1295.81",[0.01439195],0.37071616269734775,[[0.20397424]]
"1281.62, 1301.87",[0.01164505],0.6475234798094565,[[0.43050407]]
"1281.62, 1302.81",[0.01298506],0.3295803215840851,[[0.30249953]]
"1281.62, 1303.87",[0.01183417],0.6126247929278701,[[0.40030319]]
"1281.62, 1305.87",[0.00710628],0.2516694827954662,[[0.37737626]]
"1281.62, 1306.73",[0.00876563],0.27694438901125207,[[0.21544975]]
"1281.62, 1313.83",[0.01099397],0.3686745009703054,[[0.37502176]]
"1281.62, 1321.82",[0.0097728],0.21269518093122552,[[0.40148708]]
"1281.62, 1322.86",[0.01072573],0.5296512827283005,[[0.44352682]]
"1281.62, 1328.84",[0.02050926],0.21763798683421642,[[0.12003464]]
"1281.62, 1329.87",[0.05648373],0.239309678828844,[[0.47643238]]
"1281.62, 1337.81",[0.01167933],0.42044500383460226,[[0.20666781]]
"1281.62, 1339.86",[0.01490502],0.20701488361087597,[[0.14603935]]
"1281.87, 1284.86",[0.00357297],0.5335321236409267,[[0.70036497]]
"1281.87, 1290.62",[0.01919754],0.24948855102408718,[[0.31324442]]
"1281.87, 1293.62",[-0.0013699],0.5746783464656782,[[1.26938892]]
"1281.87, 1295.81",[0.01457294],0.4509296292748437,[[0.33769849]]
"1281.87, 1297.84",[0.00789619],0.6579698519560817,[[0.72665111]]
"1281.87, 1299.62",[0.0363744],0.22759806177336683,[[0.32497387]]
"1281.87, 1305.62",[0.01526869],0.4352514948932596,[[0.40503415]]
"1281.87, 1309.62",[0.01980473],0.33597043992313114,[[0.34460146]]
"1281.87, 1312.62",[0.01568444],0.24520348989061502,[[0.22671456]]
"1281.87, 1312.72",[0.01227856],0.2403616478988383,[[0.27410474]]
"1281.87, 1313.83",[0.01492036],0.7970630860600691,[[0.44891918]]
"1281.87, 1314.62",[0.01521905],0.21417918924329482,[[0.30803493]]
"1281.87, 1315.85",[0.01270742],0.20017206309018043,[[0.34254097]]
"1281.87, 1316.62",[0.03113091],0.27838231494804777,[[0.55858045]]
"1281.87, 1322.86",[0.01997935],0.46065530264787313,[[0.36876562]]
"1281.87, 1328.62",[0.00549565],0.31342241820525296,[[0.37377545]]
"1281.87, 1332.62",[0.01851839],0.34496268938163277,[[0.22361377]]
"1281.87, 1335.62",[0.01945958],0.29099742677461227,[[0.11189652]]
