m/z,R00X139Y045,R00X145Y045,R00X102Y046,R00X124Y046,R00X090Y047,R00X107Y047,R00X145Y047,R00X157Y047,R00X219Y047,R00X109Y048,R00X112Y048,R00X125Y048,R00X127Y048,R00X156Y048,R00X108Y049,R00X120Y049,R00X181Y049,R00X193Y049,R00X112Y050,R00X159Y050,R00X194Y050,R00X144Y051,R00X159Y051,R00X170Y051,R00X183Y051,R00X199Y051,R00X248Y051,R00X265Y051,R00X301Y051,R00X120Y052,R00X124Y052,R00X159Y052,R00X173Y052,R00X159Y053,R00X193Y053,R00X142Y054,R00X144Y054,R00X163Y054,R00X186Y054,R00X264Y054,R00X160Y055,R00X182Y055,R00X216Y055,R00X135Y056,R00X163Y056,R00X207Y056,R00X210Y056,R00X138Y057,R00X146Y057,R00X157Y057,R00X180Y057,R00X184Y057,R00X199Y057,R00X201Y057,R00X158Y058,R00X162Y058,R00X168Y058,R00X216Y058,R00X248Y058,R00X257Y058,R00X138Y059,R00X160Y059,R00X176Y059,R00X195Y059,R00X260Y060,R00X088Y061,R00X094Y061,R00X113Y061,R00X144Y061,R00X212Y061,R00X253Y061,R00X083Y062,R00X132Y062,R00X169Y062,R00X176Y062,R00X215Y062,R00X242Y062,R00X086Y063,R00X106Y063,R00X155Y063,R00X226Y063,R00X293Y063,R00X084Y064,R00X144Y064,R00X170Y064,R00X115Y065,R00X145Y065,R00X189Y065,R00X223Y065,R00X246Y065,R00X277Y065,R00X154Y066,R00X175Y066,R00X212Y066,R00X239Y066,R00X104Y067,R00X111Y067,R00X164Y067,R00X172Y067,R00X221Y067,R00X240Y067,R00X094Y068,R00X104Y068,R00X108Y068,R00X112Y068,R00X154Y068,R00X174Y068,R00X175Y068,R00X185Y068,R00X195Y068,R00X224Y068,R00X235Y068,R00X238Y068,R00X245Y068,R00X118Y069,R00X159Y069,R00X171Y069,R00X185Y069,R00X079Y070,R00X110Y070,R00X126Y070,R00X143Y070,R00X237Y070,R00X084Y071,R00X168Y071,R00X238Y071,R00X243Y071,R00X290Y071,R00X152Y072,R00X156Y072,R00X221Y072,R00X236Y072,R00X140Y073,R00X147Y073,R00X162Y073,R00X238Y073,R00X268Y073,R00X285Y073,R00X295Y073,R00X073Y074,R00X101Y074,R00X102Y074,R00X160Y074,R00X169Y074,R00X231Y074,R00X072Y075,R00X100Y075,R00X109Y075,R00X131Y075,R00X138Y075,R00X155Y075,R00X243Y075,R00X079Y076,R00X100Y076,R00X141Y076,R00X142Y076,R00X160Y076,R00X231Y076,R00X087Y077,R00X094Y077,R00X239Y077,R00X138Y078,R00X143Y078,R00X184Y078,R00X192Y078,R00X198Y078,R00X226Y078,R00X233Y078,R00X108Y079,R00X143Y079,R00X189Y079,R00X236Y079,R00X142Y080,R00X163Y080,R00X238Y080,R00X093Y081,R00X101Y081,R00X142Y081,R00X144Y081,R00X145Y081,R00X148Y081,R00X216Y081,R00X233Y081,R00X258Y081,R00X233Y082,R00X241Y082,R00X139Y083,R00X184Y083,R00X193Y083,R00X237Y083,R00X268Y083,R00X196Y084,R00X238Y084,R00X293Y084,R00X155Y085,R00X163Y085,R00X193Y086,R00X226Y087,R00X230Y087,R00X295Y087,R00X227Y089,R00X242Y089,R00X242Y090
1280.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525084.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385390.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94192.09375,0.0,0.0,0.0,0.0,0.0,0.0,513042.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325769.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404370.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473538.5625,0.0,0.0,0.0,0.0,414366.84375,0.0,0.0,0.0,0.0,380775.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592085.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500285.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596622.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479189.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485324.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286355.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523840.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.14,0.0,0.0,0.0,0.0,295969.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363867.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463395.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724337.9375,484282.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710196.375,0.0,900924.125,0.0,382188.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758684.0625,0.0,0.0,0.0,387094.5625,0.0,0.0,0.0,0.0,0.0,657163.0,0.0,0.0,0.0,391132.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266287.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507488.53125,0.0,830647.6875,0.0,0.0,0.0,0.0,0.0,635825.4375,0.0,0.0,0.0,0.0,0.0,321212.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447471.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620871.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388196.125,0.0,0.0,0.0,0.0,0.0,389295.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482995.4375,0.0,527964.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621600.4375,0.0,0.0,0.0,0.0,0.0,350155.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.3,0.0,0.0,0.0,0.0,0.0,386281.21875,0.0,314269.125,661110.9375,0.0,0.0,0.0,0.0,512930.875,0.0,0.0,0.0,1539764.9375,887921.4375,673011.0,891305.625,0.0,0.0,0.0,1636281.25,0.0,0.0,335875.40625,0.0,0.0,514886.125,2037669.75,288695.15625,0.0,773787.125,372017.84375,0.0,0.0,433750.6875,0.0,0.0,0.0,0.0,0.0,615942.1875,0.0,364136.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312776.5,0.0,0.0,0.0,521993.53125,0.0,0.0,1175465.625,0.0,579257.25,657689.4375,507900.1875,0.0,0.0,739666.6875,0.0,0.0,1407579.125,332690.25,0.0,0.0,0.0,0.0,879974.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335818.625,0.0,0.0,427404.6875,0.0,0.0,0.0,2359998.25,506523.03125,913800.25,0.0,0.0,0.0,0.0,0.0,592765.5,1064861.53125,0.0,0.0,0.0,0.0,564839.625,0.0,1195508.875,583813.9375,0.0,0.0,0.0,1535550.625,0.0,971696.25,1125150.625,0.0,0.0,0.0,486897.96875,0.0,0.0,0.0,0.0,0.0,480070.78125,1401267.0,0.0,0.0,764824.0625,0.0,1307609.375,0.0,0.0,517238.25,0.0,0.0,0.0,0.0,0.0,875333.6875,0.0,774462.8125,0.0,0.0,711918.5,0.0,0.0,464523.375,1896215.75,0.0,479841.875,0.0,788876.4375,0.0,485801.78125,783628.875,0.0,832878.625,0.0,0.0,1505167.375,0.0,0.0,0.0,0.0,1867875.875,0.0,0.0,0.0,0.0,437910.8125,0.0,767057.5,0.0,0.0,0.0,1173469.4375,336164.375,0.0,0.0,0.0,807236.25,0.0,658104.75,0.0,0.0,915084.3125,384474.46875,0.0,754728.875,0.0,0.0,0.0
1280.37,0.0,0.0,0.0,405745.71875,0.0,411946.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786655.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476322.75,0.0,0.0,0.0,0.0,0.0,0.0,404153.28125,0.0,0.0,280214.90625,0.0,795374.8125,521748.15625,672206.25,0.0,0.0,0.0,0.0,606597.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563078.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869709.875,0.0,0.0,0.0,472863.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502458.78125,643805.25,451334.28125,0.0,0.0,424739.5,614550.0,0.0,0.0,0.0,439998.84375,0.0,451565.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559058.1875,0.0,0.0,0.0,0.0,702994.25,269790.0,0.0,0.0,0.0,0.0,672031.0,0.0,0.0,0.0,0.0,0.0,490389.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438673.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464592.21875,0.0,0.0,0.0,0.0,0.0,0.0,808358.0625,0.0,0.0,0.0,344816.875,0.0,0.0,0.0,466014.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794623.8125,398632.78125,0.0,0.0,963304.625,0.0,0.0,0.0,0.0,510788.375,0.0,0.0,0.0,0.0
1280.62,737502.5625,2274918.5625,2876328.125,399649.625,0.0,1131941.0,1312101.1875,1113797.375,3127367.4375,528190.25,1143855.5,478060.09375,0.0,430307.25,2094728.5,797234.6875,439041.875,1140193.71875,1306864.1875,0.0,580351.5,1737226.4375,3288549.125,502245.4375,1464105.25,320544.9375,2291349.0,315242.6875,0.0,1783520.4375,1739618.875,2810273.375,0.0,0.0,480398.96875,420020.78125,1173755.125,0.0,326404.6875,977186.46875,923403.25,1373857.15625,2144377.25,721376.4375,1903172.5,0.0,1149564.0625,835496.96875,0.0,0.0,1687754.75,1486501.8125,1359562.125,0.0,0.0,381417.9375,0.0,777156.9375,0.0,0.0,427123.6875,862625.1875,1235445.625,3171181.8125,1329308.4375,636229.0625,1960140.25,1284309.28125,1404137.6875,346288.96875,1202725.875,1225683.15625,679600.125,780459.125,1264669.5,611638.78125,597847.9375,1452495.0,0.0,681026.1875,0.0,608463.6875,0.0,0.0,0.0,329062.125,2213599.03125,0.0,630148.25,1125832.5,487099.90625,604628.625,2484744.25,967886.15625,0.0,1511354.5,939570.28125,638382.6875,0.0,0.0,815075.0,947160.21875,5869966.75,2315282.0,838929.375,478242.84375,0.0,0.0,861882.4375,941780.0,0.0,396493.6875,1022568.5625,0.0,1566254.0625,365013.0,2498120.25,0.0,1689268.96875,1131653.875,0.0,2468079.375,1112922.59375,0.0,3663885.9375,0.0,1601227.5625,0.0,1480550.0625,0.0,671990.59375,895609.75,888246.75,1026464.90625,1233561.625,774584.625,340177.46875,869935.78125,1369356.1875,1802669.9375,2113379.875,4261290.8125,0.0,761061.5,2024532.3125,2498037.5625,2656685.375,519635.78125,876560.375,0.0,1478581.125,503460.40625,0.0,2238694.1875,3989751.375,360702.40625,332206.8125,410418.1875,945465.375,438530.84375,0.0,1713132.375,1188641.6875,1530268.9375,1020931.28125,834032.125,0.0,1135751.125,767725.0,1145341.90625,3737392.5625,1389155.84375,308027.9375,0.0,812397.21875,4560911.625,0.0,788362.0625,1228923.59375,439983.875,0.0,1910916.21875,0.0,0.0,406450.90625,417535.8125,1277432.75,0.0,1597537.09375,2779642.75,0.0,2261918.5625,0.0,2728564.96875,900523.9375,2427845.4375,1487708.03125,474759.4375,775198.6875,0.0,742343.8125,445289.46875,953829.21875
1280.87,0.0,1919274.6875,0.0,0.0,0.0,1055299.6875,0.0,438555.65625,1831055.84375,0.0,0.0,0.0,0.0,514116.75,451039.125,0.0,0.0,0.0,0.0,579429.25,581968.875,368321.8125,2299945.625,1182320.6875,1038296.53125,0.0,963432.96875,368464.46875,0.0,0.0,1621991.6875,2593492.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906342.0625,805690.28125,2248776.5,762709.5625,5423371.5,2649343.9375,312648.15625,896119.5625,2096526.28125,520894.1875,0.0,0.0,2286122.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930988.03125,0.0,0.0,1655412.625,0.0,594917.375,670172.25,0.0,0.0,336365.5,1526001.4375,574476.5,319255.8125,5704210.3125,951673.125,0.0,1623884.9375,463517.09375,0.0,0.0,1085853.5,688823.125,0.0,487089.71875,0.0,0.0,1151217.21875,513758.75,3507288.875,0.0,388998.25,966900.125,1475977.75,495448.5,0.0,2260395.5625,0.0,0.0,0.0,0.0,849111.75,1057054.84375,2075120.125,2562807.875,1396715.0,0.0,743358.75,0.0,465301.4375,817887.4375,0.0,348859.25,558638.78125,0.0,3571218.75,1756169.8125,1393035.1875,817349.3125,464317.0,1354976.625,356249.53125,2145721.0,1217206.15625,930231.75,1593467.3125,0.0,3424900.8125,0.0,643753.75,0.0,0.0,2595696.1875,3002062.5625,0.0,1316699.8125,0.0,0.0,936792.9375,2034046.15625,453902.4375,904122.125,2099721.46875,1090053.1875,482589.75,2562422.75,2729690.6875,537835.0,1135714.46875,0.0,754322.25,1015331.0,0.0,0.0,624714.3125,5569570.125,951236.90625,0.0,910751.84375,694204.375,1028558.96875,0.0,3095772.875,2554941.375,3412036.8125,1463358.4375,673083.5625,0.0,1003978.875,0.0,643618.9375,1361440.0625,1130749.25,0.0,0.0,0.0,779437.625,711220.90625,1492126.9375,0.0,438213.375,0.0,486568.4375,869309.0625,0.0,1557492.09375,464052.8125,2418192.0625,284300.8125,2941727.375,0.0,1899071.65625,642365.6875,1935475.09375,4138219.3125,1277226.53125,415800.5,0.0,694571.0625,2364047.5,501755.65625,0.0,374386.6875,0.0
