m/z,R00X118Y046,R00X136Y046,R00X221Y047,R00X098Y048,R00X117Y048,R00X157Y048,R00X234Y048,R00X244Y048,R00X115Y049,R00X204Y049,R00X272Y049,R00X277Y049,R00X098Y050,R00X241Y050,R00X272Y050,R00X274Y050,R00X287Y050,R00X296Y050,R00X149Y051,R00X166Y051,R00X178Y051,R00X221Y051,R00X230Y051,R00X283Y051,R00X302Y051,R00X087Y052,R00X108Y052,R00X110Y052,R00X152Y052,R00X167Y052,R00X227Y052,R00X268Y052,R00X273Y052,R00X288Y052,R00X093Y053,R00X128Y053,R00X197Y053,R00X219Y053,R00X221Y053,R00X225Y053,R00X112Y054,R00X177Y054,R00X188Y054,R00X205Y054,R00X225Y054,R00X282Y054,R00X136Y055,R00X289Y055,R00X081Y056,R00X226Y056,R00X237Y056,R00X274Y056,R00X278Y056,R00X282Y056,R00X172Y057,R00X277Y057,R00X281Y057,R00X124Y058,R00X189Y058,R00X263Y058,R00X093Y059,R00X102Y059,R00X127Y059,R00X226Y059,R00X232Y059,R00X249Y059,R00X263Y059,R00X101Y060,R00X217Y060,R00X254Y060,R00X152Y061,R00X278Y061,R00X181Y062,R00X076Y063,R00X142Y063,R00X197Y063,R00X299Y063,R00X073Y064,R00X118Y064,R00X124Y064,R00X230Y064,R00X236Y064,R00X245Y064,R00X254Y064,R00X264Y064,R00X265Y064,R00X273Y064,R00X088Y065,R00X118Y065,R00X273Y065,R00X286Y065,R00X215Y066,R00X262Y066,R00X279Y066,R00X073Y067,R00X139Y067,R00X230Y067,R00X257Y067,R00X265Y067,R00X276Y067,R00X277Y067,R00X279Y067,R00X295Y067,R00X120Y068,R00X198Y068,R00X202Y068,R00X257Y068,R00X264Y068,R00X277Y068,R00X071Y069,R00X109Y069,R00X148Y069,R00X223Y069,R00X226Y069,R00X262Y069,R00X272Y069,R00X072Y070,R00X097Y070,R00X161Y070,R00X224Y070,R00X261Y070,R00X280Y070,R00X295Y070,R00X067Y071,R00X087Y071,R00X113Y071,R00X130Y071,R00X232Y071,R00X080Y072,R00X117Y072,R00X183Y072,R00X239Y072,R00X242Y072,R00X252Y073,R00X271Y073,R00X273Y073,R00X276Y073,R00X132Y074,R00X136Y074,R00X151Y074,R00X221Y074,R00X299Y074,R00X115Y075,R00X185Y076,R00X191Y076,R00X210Y076,R00X216Y076,R00X229Y076,R00X174Y077,R00X176Y077,R00X186Y077,R00X268Y077,R00X270Y077,R00X080Y078,R00X131Y078,R00X132Y078,R00X201Y078,R00X265Y078,R00X109Y079,R00X124Y079,R00X137Y079,R00X144Y079,R00X174Y079,R00X179Y079,R00X193Y079,R00X194Y079,R00X204Y079,R00X207Y079,R00X251Y079,R00X272Y079,R00X294Y080,R00X210Y081,R00X266Y081,R00X284Y081,R00X290Y081,R00X294Y081,R00X110Y082,R00X229Y082,R00X252Y082,R00X253Y082,R00X167Y083,R00X201Y083,R00X207Y083,R00X218Y083,R00X222Y083,R00X235Y083,R00X256Y083,R00X191Y084,R00X226Y084,R00X246Y084,R00X263Y084,R00X159Y085,R00X264Y085,R00X266Y085,R00X200Y086,R00X250Y086,R00X203Y087,R00X216Y087,R00X245Y087,R00X252Y087,R00X259Y087,R00X232Y088,R00X243Y089,R00X248Y089,R00X265Y089,R00X238Y090,R00X244Y090,R00X254Y091,R00X268Y091,R00X267Y092
1280.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511258.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441619.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385827.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268306.75,0.0,0.0,0.0,0.0,0.0,607174.25,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145389.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384150.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504238.875,0.0,0.0,0.0,0.0,0.0,382704.40625,0.0,0.0,273657.59375,0.0,0.0,0.0,0.0,629114.125,0.0,742208.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317952.5,0.0,0.0,0.0,0.0,261319.703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322209.375,0.0,0.0,0.0,0.0,321884.21875,0.0,0.0,0.0,0.0,0.0,0.0,268640.0625,0.0,0.0,439415.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490513.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485766.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624664.0,0.0,0.0,0.0,332276.15625,0.0,0.0,0.0,335136.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610685.1875,0.0,0.0,0.0,0.0,0.0,556733.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835282.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385279.125,0.0,0.0,0.0,0.0,795525.8125,0.0,0.0,0.0,0.0,0.0,0.0
1280.15,0.0,0.0,0.0,0.0,0.0,0.0,466423.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307478.53125,0.0,0.0,521876.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286546.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497543.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731611.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668470.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474269.40625,506679.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509584.875,0.0,0.0,0.0,0.0,0.0,0.0,626616.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.37,623170.4375,886678.53125,0.0,0.0,0.0,0.0,847579.6875,0.0,0.0,0.0,377991.6875,0.0,667532.125,0.0,0.0,0.0,0.0,1279539.3125,0.0,970115.1875,0.0,0.0,441637.5,689570.875,700241.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442530.71875,0.0,0.0,435577.5625,0.0,929074.9375,0.0,0.0,0.0,0.0,294932.84375,1088481.25,0.0,0.0,0.0,765908.625,2447064.0,0.0,360485.65625,572683.5625,0.0,0.0,323741.28125,914065.59375,0.0,622281.625,0.0,0.0,0.0,0.0,0.0,412398.53125,0.0,0.0,520384.03125,0.0,628713.6875,0.0,0.0,373388.8125,0.0,0.0,0.0,0.0,305438.46875,1345321.0625,401192.625,0.0,557958.6875,0.0,421631.71875,0.0,0.0,0.0,0.0,0.0,767081.71875,0.0,901027.625,1478672.0,486340.34375,0.0,432112.0625,0.0,0.0,403064.65625,0.0,0.0,0.0,594442.6875,0.0,0.0,445278.75,0.0,0.0,380452.96875,0.0,582443.5625,475742.84375,0.0,0.0,430257.21875,0.0,0.0,0.0,535188.9375,0.0,0.0,421553.15625,474250.625,0.0,1197852.875,838058.0,0.0,0.0,1038043.875,0.0,0.0,1933135.9375,1141290.75,0.0,0.0,0.0,0.0,0.0,0.0,595949.5,0.0,0.0,584930.0625,871865.5,0.0,416346.3125,1815895.5,0.0,1586896.75,0.0,0.0,1440362.75,341994.6875,0.0,0.0,411108.0625,472936.40625,581684.3125,0.0,0.0,424972.875,0.0,413962.0,0.0,742671.6875,533102.4375,341996.75,0.0,0.0,604259.75,276538.84375,0.0,0.0,312606.59375,0.0,1991235.65625,0.0,1218387.28125,856221.25,0.0,521780.71875,0.0,489825.9375,0.0,1329061.8125,393023.71875,420034.5625,0.0,0.0,0.0,491497.5625,0.0,0.0,0.0,0.0,1654742.5625,0.0,511432.3125,0.0,390274.53125,0.0,0.0,846731.8125,0.0,2204301.5,0.0,0.0,0.0,0.0,0.0,793971.75
1280.62,704066.6875,0.0,1118282.9375,0.0,1390625.9375,0.0,0.0,714598.0,0.0,5101804.375,1444862.125,867083.1875,2645521.96875,1051134.375,545573.0625,519033.21875,336638.875,1299670.78125,1326602.09375,0.0,429387.6875,1777278.84375,1019386.25,2275810.0625,0.0,1424347.125,844914.125,1743897.5,0.0,646061.375,0.0,760563.78125,0.0,0.0,341629.21875,648612.6875,887401.0,673492.75,841456.65625,0.0,2047895.4375,0.0,933296.4375,1620220.0,344895.28125,0.0,1235158.1875,525589.9375,1909430.1875,586568.375,0.0,1028848.625,762303.125,770936.3125,0.0,0.0,632522.5,875686.6875,363370.71875,0.0,1298220.875,0.0,0.0,495060.78125,731502.15625,545436.9375,554024.625,1565286.6875,0.0,0.0,1701360.375,858902.28125,416704.375,3653896.625,628253.125,0.0,759434.875,3327199.625,0.0,0.0,1702713.875,350058.3125,408031.65625,428471.53125,641965.125,679615.625,0.0,355950.5,745987.75,976767.8125,542058.0625,0.0,1216270.4375,1132416.40625,433400.8125,663037.25,593082.5,527187.6875,572105.375,0.0,427513.59375,2337553.625,1244977.84375,803377.5625,0.0,417718.34375,754070.6875,1350254.15625,524104.75,2769890.3125,879986.375,628501.4375,1856263.6875,733661.5,966424.78125,314855.03125,529535.125,670020.8125,570813.0625,2293145.28125,481041.78125,0.0,570930.375,998326.9375,2728148.5,1078851.75,2431018.75,1268194.25,958860.1875,1196687.5,0.0,1447163.4375,0.0,1194188.09375,0.0,569291.875,0.0,589174.25,1228000.5625,548526.875,1277813.25,3136344.59375,2911671.625,701195.4375,905112.75,0.0,884753.5625,3139994.25,907069.125,603307.0,427785.03125,416198.78125,0.0,1573238.6875,1002686.3125,936639.6875,1569342.0625,0.0,795016.3125,2361638.1875,1228732.21875,0.0,1331532.21875,1204456.0,0.0,540473.6875,334360.625,0.0,634678.125,273525.3125,0.0,1131946.3125,1154030.03125,2705531.78125,1885840.9375,7093188.8125,1664963.8125,1681857.625,1624235.78125,762745.5,623036.0,0.0,537173.5,2623012.5625,494229.59375,526346.125,2504066.9375,0.0,2211280.3125,255683.640625,328545.75,4532171.03125,561810.1875,638150.5625,3472510.9375,793115.75,650855.3125,270870.5625,0.0,758414.125,762108.625,0.0,0.0,1584870.1875,636273.9375,1268288.0,0.0,1464126.625,1984364.875,815338.9375
1280.87,695529.9375,398513.46875,0.0,439368.0,0.0,0.0,623223.75,487308.84375,0.0,1366795.0,379246.5,435395.375,1807834.0,2797852.6875,454003.6875,1104182.09375,320008.375,1100080.4375,405289.3125,1187953.8125,0.0,472621.625,581485.1875,3041364.3125,0.0,587175.1875,0.0,406888.8125,634044.625,0.0,512049.78125,1259858.9375,899938.15625,0.0,0.0,1455723.375,642957.1875,714604.75,816981.75,714594.9375,652663.3125,377412.21875,0.0,661657.125,0.0,0.0,8358313.125,0.0,725645.25,491480.78125,1288441.28125,0.0,0.0,573972.125,546465.0625,1452785.625,0.0,0.0,408667.53125,0.0,1629928.75,0.0,0.0,0.0,583358.96875,0.0,0.0,0.0,611852.1875,286442.21875,0.0,743661.375,901721.8125,484836.40625,0.0,0.0,0.0,1091392.875,361697.46875,609114.375,1331775.3125,1286211.1875,1174729.34375,458963.03125,511192.40625,958883.4375,0.0,610512.53125,422396.0625,835119.0625,2652908.625,491342.8125,747305.4375,0.0,439618.84375,545136.8125,797010.8125,647765.625,0.0,1232771.0625,600399.1875,576683.6875,481244.15625,0.0,0.0,0.0,0.0,503743.8125,1091902.375,0.0,1375352.6875,0.0,0.0,725193.75,1094722.71875,709850.4375,1418631.875,1369914.3125,593322.96875,1230512.46875,0.0,543298.25,2705898.8125,593663.4375,0.0,0.0,2212103.65625,0.0,975031.40625,0.0,0.0,1577953.15625,0.0,386626.1875,0.0,529423.6875,0.0,1894082.75,0.0,995651.25,0.0,2089775.125,2286592.0625,0.0,0.0,0.0,0.0,2824065.9375,1840436.40625,2598029.3125,511181.59375,0.0,0.0,523263.53125,1658356.6875,999966.25,3054887.4375,0.0,0.0,838322.4375,0.0,368347.0,2074068.3125,1965475.3125,438076.03125,322884.15625,0.0,0.0,619689.75,342480.53125,708862.25,0.0,0.0,1521231.25,3999820.375,1746159.4375,514767.5625,1524269.125,2151329.0625,1288482.125,588361.125,1037126.96875,0.0,3741532.625,553382.5,1210447.78125,2277307.875,296762.40625,1767617.0,0.0,636344.125,1381982.21875,0.0,1018150.09375,2365720.5625,0.0,0.0,346904.125,0.0,2161913.625,439153.46875,0.0,0.0,1910083.3125,2698547.125,1354159.6875,0.0,0.0,2239182.6875,1950223.375
1280.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417194.09375,0.0,383889.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474740.15625,0.0,0.0,0.0,799036.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575649.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323441.5625,0.0,0.0,712452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750148.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.99,0.0,0.0,394419.78125,0.0,0.0,0.0,379475.3125,0.0,0.0,0.0,0.0,0.0,1850938.125,0.0,0.0,0.0,319336.28125,1252368.25,0.0,0.0,0.0,0.0,0.0,575901.5,0.0,0.0,0.0,0.0,0.0,775436.3125,0.0,0.0,513856.1875,0.0,0.0,0.0,0.0,455363.5,468850.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419775.4375,0.0,0.0,0.0,0.0,0.0,0.0,344931.03125,0.0,0.0,0.0,0.0,0.0,0.0,1295577.75,3530573.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404860.3125,0.0,0.0,0.0,0.0,502985.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479050.90625,0.0,0.0,462479.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120500.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487137.3125,0.0,0.0,0.0,0.0,0.0,497348.5,0.0,0.0,297623.9375,0.0,392892.46875,0.0,0.0,0.0,0.0,0.0,0.0,561773.6875,713498.75,0.0,0.0,0.0,498995.71875,657825.0625,0.0,0.0,0.0,0.0,0.0,0.0,336210.875,835507.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563514.625,0.0,0.0,435960.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638425.3125,0.0,0.0,0.0,404093.09375,0.0,0.0,785946.3125,0.0,0.0,0.0,0.0,0.0,0.0
1281.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326351.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402740.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438793.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686022.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480006.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326170.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372910.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397300.75,0.0,448854.28125,0.0
