,Coef,Intercept,Score
"1280.87, 1284.62",[[0.24435284]],[0.03570788],0.6072668125846163
"1280.87, 1311.8",[[0.23761191]],[0.01824224],0.679344744478043
"1281.37, 1313.62",[[0.48533284]],[0.02789353],0.8553889879226377
"1281.37, 1318.62",[[0.25195334]],[0.02676703],0.7353762284599061
"1281.37, 1321.62",[[0.75538507]],[0.04135555],0.6951016985351128
"1281.37, 1332.62",[[0.33420024]],[0.02567784],0.7403131789548696
"1281.87, 1325.82",[[0.49642669]],[0.01930873],0.6184688255826545
"1282.87, 1297.84",[[0.76917371]],[0.01097479],0.9106202460393146
"1283.37, 1305.62",[[0.46890529]],[0.0327935],0.6279123886732633
"1283.87, 1288.85",[[0.2617008]],[0.01867151],0.7258223166386786
"1283.87, 1297.62",[[0.47594963]],[0.03825548],0.6178499758206402
"1283.87, 1297.84",[[0.32469869]],[0.03062911],0.6023584360873961
"1283.87, 1323.84",[[0.21055852]],[0.02280245],0.6649207287969359
"1283.87, 1324.62",[[0.91569983]],[0.01071345],0.7715859725286212
"1283.87, 1324.81",[[0.50302657]],[0.03408677],0.8812720660949067
"1285.37, 1300.62",[[0.40629537]],[0.04321849],0.6499596900341877
"1285.37, 1303.62",[[0.39203659]],[0.06254803],0.6438571638522486
"1285.37, 1315.62",[[0.56598959]],[0.07309299],0.7729539586193546
"1285.87, 1297.84",[[1.06886116]],[0.00583646],0.6287682220172741
"1285.87, 1304.62",[[0.67935957]],[0.02829872],0.6377529315758153
"1285.87, 1311.8",[[0.53180467]],[0.0129871],0.7174331913421718
"1286.37, 1291.62",[[0.51866136]],[0.02919276],0.7731926706773903
"1286.37, 1294.62",[[0.25180049]],[0.03152816],0.655731845153851
"1286.37, 1295.62",[[0.5942954]],[0.03104681],0.7884197576131678
"1286.37, 1300.62",[[0.94783717]],[0.03397316],0.8983950254064613
"1287.87, 1311.8",[[0.3149482]],[0.02011341],0.6128022184204275
"1287.97, 1313.99",[[0.60631533]],[0.00344396],0.7195223639850186
"1287.97, 1314.99",[[0.18176023]],[0.00589467],0.6418270023273163
"1288.85, 1290.87",[[0.4192711]],[0.02559637],0.6649166653274428
"1288.85, 1291.87",[[0.59622725]],[0.02010419],0.7172307657703463
"1288.85, 1311.8",[[0.29943772]],[0.02576768],0.6670340495023297
"1288.97, 1313.99",[[0.54102136]],[0.00029274],0.7740169310548041
"1289.37, 1296.62",[[0.54361464]],[0.04456352],0.7930087406250041
"1289.37, 1298.62",[[0.61792794]],[0.03147542],0.7284383314035671
"1289.37, 1301.62",[[0.46870651]],[0.09683864],0.6202893430946521
