,Coef,Score,Intercept
429.15,[[-3.68929803e-11]],-0.016662269160038656,[0.47835731]
473.21,[[-5.68474459e-12]],-0.0007196124511050783,[0.47603631]
487.28,[[-3.48632202e-11]],-0.14398501310024292,[0.47346764]
509.15,[[2.9833926e-12]],-0.0005327625505766598,[0.47714484]
513.31,[[-1.30030662e-10]],-0.07329317095110377,[0.47546439]
515.31,[[-1.49927366e-10]],-0.006873654701621045,[0.47878276]
517.31,[[-2.18743433e-10]],-0.25420825726816076,[0.47570951]
527.31,[[-5.25410522e-10]],-0.04377622725539809,[0.48241303]
529.31,[[-2.04582265e-10]],-0.14597964544250508,[0.47608908]
531.31,[[-8.18594819e-10]],-0.05986242960644006,[0.48568888]
541.31,[[-6.01953589e-10]],-0.13388438712351114,[0.48272812]
551.31,[[8.30659845e-11]],-0.13384702709595087,[0.47143477]
555.31,[[-3.44422453e-10]],-0.02967888271718433,[0.48099471]
557.31,[[-1.33799131e-10]],-0.04292355845785667,[0.4790179]
561.31,[[-2.12957336e-10]],-0.21341771618795735,[0.4760387]
571.31,[[-9.0847518e-10]],-0.1915938822721308,[0.48783207]
573.31,[[-1.86530553e-10]],-0.007036539336576554,[0.4796535]
