,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10
depth,,,,,,,,,,
2.6,11.804676728547056,-1.0733963027284548,10.234996310494868,-0.9872611952443106,3.0858296392234648,2.8444280258994286,-8.909728188328796,6.1806905465641195,-5.715121497808565,4.005734411967757
2.8,15.805237114032073,-6.85200555121646,-0.6814238844324625,3.229618083628717,-2.332613139041771,-0.1756530881350188,-4.3372163593102515,-1.495914712859276,-5.642386394570518,3.328152457755894
3.0,22.872339581820622,3.4528886155709464,-0.09249575875566485,-5.0493276133629434,1.5453487902672602,8.23496953464466,-5.136472986724625,-0.7521235199401194,15.146992930112777,12.027591404645964
3.2,7.765328255767775,-5.742631944818023,-8.806823472913537,-4.497247512423584,-6.996578506528292,-0.8742993485147426,-4.628314029730617,5.146625083249129,0.25900172317381026,2.678116137191848
3.4,3.000112560595175,-6.598812166894924,-5.476247390944162,-6.934665645864612,-2.547311135231378,0.6324242031588584,-2.5378454558663486,-1.1900409972307746,-2.2676536515719965,0.9060872685868577
3.6,19.24201281308163,-2.3115183288174395,-3.556772329791799,1.1556757287551433,-3.5734715768809986,0.4186733614472342,-2.6612145129235585,0.16324526903960102,-2.138305694677227,0.3614335664439376
3.8,6.9148516869722805,-5.7952887078128565,-0.6578119499663758,1.0556207168248914,-2.0099706271342157,-2.7380055500727862,-1.2841089223068929,-1.9965299283915636,-0.6692415801097233,2.4123891379514752
4.0,1.4486911854080702,-4.775865830371883,-0.9923570050515746,1.023891557558746,-1.1970916376042307,-0.9586610743732693,-0.6906010023964012,0.1939504749490461,-1.2714315691464457,1.8731753404111133
4.2,2.278740637441259,-2.872476128853039,-5.022026388077807,1.9317154482718,-3.7522995103237142,0.22811451992145504,-0.7240777578687726,1.494482749525772,-1.6358930603746886,1.8151364627840798
4.4,-0.5288780809364966,-4.189350197502677,-2.2395583482420776,7.473281022180645,-1.8973447275525086,-0.5021344336140259,-1.1089785148267073,0.22602392117639583,-0.135319226204165,1.383486786281542
4.6,-1.9516061410068613,-1.7985829258246395,-0.22728660907569764,7.686145562327893,-1.052664493160576,0.39708703254413513,-3.2639987491981564,-2.305232458347909,1.2678739489481348,1.4967403701337727
4.8,-5.085781282194512,-4.097345813496341,-1.302266653398012,1.9452165131735772,-1.2892190705123616,-1.7633623074615865,-2.1085265084998146,-2.007721380715796,0.2940051536139081,0.3997291216338726
5.0,-0.0011124332592403951,-3.047610885473514,-0.19127163188190616,6.323568429659053,-0.08356352669117684,-2.1086746285195708,-1.727703453087601,-1.3157661396170537,-0.457959851586313,1.8650923690405008
