,m/z,I,S/N,em,error,C,H,Class,dbe,,11062030927
3726,200.10806,1545616,10.8,200.1080877,2.77E-05,13,14,O1N1,,,
3729,200.12976,9493877,79.1,200.129217,0.000542977,10,18,O3N1,,,
3802,201.11317,2026032,14.9,201.1132326,6.26E-05,10,17,O4,,,
3878,202.08734,1620529,11.4,202.0873522,1.22E-05,12,12,O2N1,,,
3948,203.10773,1525127,10.6,203.1077533,2.33E-05,13,15,O2,6,0.00013787,
3951,203.12892,1986125,14.5,203.1288827,3.73E-05,10,19,O4,,,
3954,203.1442,1246578,8.2,203.1441388,6.12E-05,14,19,O1,,,
4094,205.05065,1244469,8.1,205.0506323,1.77E-05,11,9,O4,,,
4100,205.08706,1682943,11.9,205.0870179,4.21E-05,12,13,O3,,,
4105,205.12343,2460234,18.5,205.1234034,2.66E-05,13,17,O2,5,0.000222403,
4258,207.06625,1185328,7.6,207.0662824,3.24E-05,11,11,O4,,,
4268,207.139,1336207,8.9,207.1390534,5.34E-05,13,19,O2,4,0.000120792,
4344,208.07679,1535960,10.6,208.0767875,2.47E-06,14,10,O1N1,,,
4347,208.11316,11928419,99.2,208.113173,1.30E-05,15,14,N1,,,
4417,209.09714,1057090,6.5,209.0971886,4.86E-05,15,13,O1,,,
4423,209.15472,4993973,40,209.1547035,1.65E-05,13,21,O2,3,0.000451452,
4483,210.05603,1708575,12,210.0560521,2.21E-05,13,8,O2N1,,,
4548,211.09761,1215935,7.8,211.0975825,2.75E-05,11,15,O4,,,
4551,211.13399,3123915,24,211.1339681,2.19E-05,12,19,O3,,,
4552,211.17038,11959896,99,211.1703536,2.64E-05,13,23,O2,2,0.001081166,
4622,212.10811,1010011,6.1,212.1080877,2.23E-05,14,14,O1N1,,,
4688,213.0921,2266101,16.7,213.0921032,3.24E-06,14,13,O2,8,0.000204854,
4691,213.11326,1001436,6,213.1132326,2.74E-05,11,17,O4,,,
4693,213.14963,3075849,23.6,213.1496181,1.19E-05,12,21,O3,,,
4695,213.186,54276372,458,213.1860036,3.62E-06,13,25,O2,1,0.004906547,
4750,214.08734,1556632,10.7,214.0873522,1.22E-05,13,12,O2N1,,,
4755,214.12373,1703141,11.9,214.1237377,7.72E-06,14,16,O1N1,,,
4758,214.14485,1073165,6.6,214.1448671,1.71E-05,11,20,O3N1,,,
4828,215.12888,1314770,8.6,215.1288827,2.67E-06,11,19,O4,,,
4830,215.14405,1125480,7,215.1441388,8.88E-05,15,19,O1,,,
4907,216.08189,3212210,24.7,216.0818729,1.71E-05,16,10,N1,,,
4908,216.10301,2034218,14.7,216.1030023,7.73E-06,13,14,O2N1,,,
4980,217.12341,3579063,27.7,217.1234034,6.63E-06,14,17,O2,6,0.000323545,
4983,217.15982,1296421,8.4,217.1597889,3.11E-05,15,21,O1,,,
5111,219.10269,1994346,14.3,219.1026679,2.21E-05,13,15,O3,,,
5117,219.13908,4767160,37.6,219.1390534,2.66E-05,14,19,O2,5,0.000430948,
5121,219.17546,8181446,66.3,219.1754389,2.11E-05,15,23,O1,,,
5195,220.11315,1339057,8.8,220.113173,2.30E-05,16,14,N1,,,
5264,221.08199,1821165,12.8,221.0819325,5.75E-05,12,13,O4,,,
5274,221.15472,3501514,26.9,221.1547035,1.65E-05,14,21,O2,4,0.000316534,
5333,222.09244,2514748,18.6,222.0924376,2.41E-06,15,12,O1N1,,,
5339,222.12883,19928650,164.6,222.1288231,6.90E-06,16,16,N1,,,
5396,223.1339,1375804,9,223.1339681,6.81E-05,13,19,O3,,,
5401,223.17033,12045802,98.5,223.1703536,2.36E-05,14,23,O2,3,0.001088932,
5458,224.07168,2747477,20.5,224.0717021,2.21E-05,14,10,O2N1,,,
5460,224.09295,1047485,6.3,224.0928315,0.000118485,11,14,O4N1,,,
5515,225.09209,1638578,11.2,225.0921032,1.32E-05,15,13,O2,9,0.000148126,
5517,225.11324,1327674,8.6,225.1132326,7.39E-06,12,17,O4,,,
5520,225.14968,2032649,14.5,225.1496181,6.19E-05,13,21,O3,,,
5523,225.18602,53281560,443,225.1860036,1.64E-05,14,25,O2,2,0.004816616,
5593,226.12376,1415894,9.3,226.1237377,2.23E-05,15,16,O1N1,,,
5658,227.07135,1186458,7.4,227.0713678,1.78E-05,14,11,O3,,,
5662,227.10777,1777961,12.4,227.1077533,1.67E-05,15,15,O2,8,0.000160726,
5667,227.12891,2059890,14.7,227.1288827,2.73E-05,12,19,O4,,,
5671,227.16531,3602753,27.6,227.1652682,4.18E-05,13,23,O3,,,
5674,227.20167,225244752,1880.9,227.2016537,1.63E-05,14,27,O2,1,0.020361971,
5725,228.10302,2766147,20.5,228.1030023,1.77E-05,14,14,O2N1,,,
5730,228.13939,1625490,11,228.1393878,2.22E-06,15,18,O1N1,,,
5731,228.16053,3686874,28.2,228.1605172,1.28E-05,12,22,O3N1,,,
5792,229.12344,1640104,11.2,229.1234034,3.66E-05,15,17,O2,7,0.000148264,
5794,229.14453,1573873,10.6,229.1445327,2.74E-06,12,21,O4,,,
5845,230.09756,15996668,130.8,230.097523,3.70E-05,17,12,N1,,,
5846,230.11866,1858052,13,230.1186523,7.66E-06,14,16,O2N1,,,
5892,231.10268,1859677,12.9,231.1026679,1.21E-05,14,15,O3,,,
5896,231.13907,3451564,26.2,231.1390534,1.66E-05,15,19,O2,6,0.000312019,
5898,231.17543,1906235,13.3,231.1754389,8.94E-06,16,23,O1,,,
6009,233.08192,1247125,7.8,233.0819325,1.25E-05,13,13,O4,,,
6017,233.11827,2165668,15.5,233.118318,4.80E-05,14,17,O3,,,
6021,233.15471,23155700,189.9,233.1547035,6.50E-06,15,21,O2,5,0.002093259,
6023,233.1911,1096579,6.6,233.191089,1.10E-05,16,25,O1,,,
6068,234.09241,1152698,7,234.0924376,2.76E-05,16,12,O1N1,,,
6069,234.1288,3000585,22.3,234.1288231,2.31E-05,17,16,N1,,,
6070,234.14987,1171282,7.2,234.1499525,8.25E-05,14,20,O2N1,,,
6118,235.07646,1329300,8.5,235.0764532,6.83E-06,16,11,O2,11,0.000120168,
6126,235.13399,1192236,7.4,235.1339681,2.19E-05,14,19,O3,,,
6130,235.17036,3108411,23.2,235.1703536,6.44E-06,15,23,O2,4,0.000280998,
6179,236.10811,1932033,13.5,236.1080877,2.23E-05,16,14,O1N1,,,
6184,236.14449,14129360,114.5,236.1444732,1.68E-05,17,18,N1,,,
6239,237.09213,1812697,12.4,237.0921032,2.68E-05,16,13,O2,10,0.000163867,
