,m/z,I,S/N,em,error,C,H,Class
40,200.12978,18471468,155.0,200.1292170235,0.0005629765000207954,10,18,O3N1
45,201.11325,2623754,19.9,201.1132326073,1.7392699987794913e-05,10,17,O4
47,203.07137,3385697,26.3,203.0713677941,2.205899988894089e-06,12,11,O3
48,205.05058,3175255,24.4,205.05063234969998,5.2349699984688414e-05,11,9,O4
49,205.08703,22408756,187.1,205.08701785850002,1.2141499979634318e-05,12,13,O3
51,207.06628,3100897,23.7,207.0662824141,2.4140999812516384e-06,11,11,O4
53,207.08155,10918886,89.6,207.0815385541,1.1445899986028962e-05,15,11,O1
57,208.11314,93145688,782.6,208.1131730347,3.30347000101483e-05,15,14,N1
59,209.09715,15605189,128.5,209.0971886185,3.861850001385392e-05,15,13,O1
62,210.05602000000002,3116527,23.7,210.0560520815,3.2081499995229024e-05,13,8,O2N1
64,211.07644,4715064,37.0,211.0764531741,1.3174100018886747e-05,14,11,O2
65,211.11285,14558406,119.3,211.1128386829,1.1317100018004567e-05,15,15,O1
66,211.13396,5392719,42.6,211.13396805169998,8.051699978750548e-06,12,19,O3
67,212.07172000000003,3253695,24.7,212.07170214590002,1.785410000820775e-05,13,10,O2N1
68,213.05575,4197962,32.6,213.0557177297,3.2270299982428696e-05,13,9,O3
69,213.0921,3979736,30.8,213.09210323850002,3.238500028146518e-06,14,13,O2
70,213.14959,3188079,24.2,213.1496181161,2.811609999753273e-05,12,21,O3
71,213.18599,7968766,64.2,213.1860036249,1.362489999223726e-05,13,25,O2
74,214.14487000000003,3476358,26.5,214.1448670879,2.9121000295617705e-06,11,20,O3N1
75,215.12887,2960414,22.2,215.1288826717,1.2671700005739694e-05,11,19,O4
77,216.08186,217704112,1810.6,216.0818729059,1.2905900007353921e-05,16,10,N1
78,217.06582000000003,5433683,42.6,217.0658884897,6.84896999700868e-05,16,9,O1
82,217.08700000000002,5802588,45.7,217.08701785850002,1.7858500001466382e-05,13,13,O3
85,219.06628999999998,6902458,54.5,219.0662824141,7.585899993500789e-06,12,11,O4
86,219.08151,7955648,63.2,219.0815385541,2.8554099998245874e-05,16,11,O1
87,219.10269,23634890,192.7,219.10266792289997,2.2077100027217966e-05,13,15,O3
88,219.17543999999998,6096362,47.9,219.17543894050002,1.0594999650948012e-06,15,23,O1
90,220.11316000000002,8414345,67.0,220.1131730347,1.3034699975378317e-05,16,14,N1
92,221.08194,3595835,27.2,221.0819324785,7.521500009488591e-06,12,13,O4
93,221.09717,7857474,62.4,221.0971886185,1.8618500007505645e-05,16,13,O1
95,222.09245,5774084,45.0,222.09243759030002,1.2409699991167145e-05,15,12,O1N1
97,222.12884,75204888,615.9,222.1288230991,1.6900899993288476e-05,16,16,N1
98,223.07644,3673029,27.7,223.0764531741,1.3174100018886747e-05,15,11,O2
99,223.11283999999998,12794582,102.7,223.1128386829,1.3170999864087207e-06,16,15,O1
102,224.0717,4441871,34.1,224.07170214590002,2.1459000265622308e-06,14,10,O2N1
103,225.12846000000002,13570168,108.6,225.1284887473,2.8747299978704177e-05,16,17,O1
106,225.18601,91657872,747.9,225.1860036249,6.3751000141110126e-06,14,25,O2
107,226.08733999999998,7326264,57.5,226.08735221030003,1.2210300042170275e-05,14,12,O2N1
111,227.07132000000001,17395716,139.9,227.0713677941,4.7794099998554884e-05,14,11,O3
113,227.20163,403085888,3297.3,227.2016536893,2.3689300007845304e-05,14,27,O2
115,229.05066000000002,4162476,31.5,229.05063234969998,2.765030004070468e-05,13,9,O4
119,230.09752000000003,476077984,3877.3,230.09752297030002,2.9702999881919823e-06,17,12,N1
120,231.08155,10190705,80.2,231.0815385541,1.1445899986028962e-05,17,11,O1
124,231.10266000000001,6218876,48.0,231.10266792289997,7.922899953882734e-06,14,15,O3
128,233.08195,5685805,43.7,233.0819324785,1.7521500012662727e-05,13,13,O4
129,233.09715,17341748,138.2,233.0971886185,3.861850001385392e-05,17,13,O1
130,233.11834,15365950,122.2,233.11831798729997,2.201270001478406e-05,14,17,O3
131,233.15472000000003,13159247,104.3,233.1547034961,1.6503900013731254e-05,15,21,O2
134,234.12878999999998,13241633,104.4,234.1288230991,3.3099100022582206e-05,17,16,N1
136,235.09756000000002,2747249,19.7,235.0975825429,2.2542899984046016e-05,13,15,O4
137,235.11282999999997,6340088,48.7,235.1128386829,8.682900016765416e-06,17,15,O1
141,236.10806000000002,5083859,38.6,236.1080876547,2.765469997711989e-05,16,14,O1N1
142,236.14446,52853476,424.2,236.1444731635,1.3163500000246131e-05,17,18,N1
143,237.09211000000002,6383273,48.8,237.09210323850002,6.761500003449328e-06,16,13,O2
144,237.1285,11138234,87.0,237.1284887473,1.125270000557066e-05,17,17,O1
149,238.08732999999998,5498243,41.7,238.08735221030003,2.221030004534441e-05,15,12,O2N1
151,239.0714,4247894,31.7,239.0713677941,3.22058999984165e-05,15,11,O3
152,239.10776,7121767,54.8,239.1077533029,6.69710001943713e-06,16,15,O2
153,239.12886,5003377,37.7,239.1288826717,2.267170000891383e-05,13,19,O4
154,239.14414,8436856,65.3,239.1441388117,1.1882999899626157e-06,17,19,O1
155,239.16526000000002,5006978,37.8,239.1652681805,8.180499975196653e-06,14,23,O3
156,239.20167,16752787,132.1,239.2016536893,1.6310700004851242e-05,15,27,O2
157,240.10299999999998,8557629,66.0,240.1030022747,2.274700023008336e-06,15,14,O2N1
158,241.08697,25178124,198.8,241.08701785850002,4.785850001098879e-05,15,13,O3
159,241.18091,12841529,100.2,241.1809182449,8.24489998763056e-06,14,25,O3
161,241.21726,117290056,935.3,241.2173037537,4.3753699998205775e-05,15,29,O2
163,242.09749,8396262,64.7,242.09752297030002,3.29703000261361e-05,18,12,N1
164,242.17614,7320075,56.1,242.1761672167,2.7216700004828454e-05,13,24,O3N1
