m/z,I,S/N,em,dbe,error,C,H,Class
283.03282,1282110,7.6,283.0320015,16,0.000818463,20,8,Cl1
369.04834,2170597,13,369.0476516,22,0.000688398,27,10,Cl1
383.15753,1357459,7.1,383.1572021,15,0.000327947,27,24,Cl1
385.17316,7296721,48.3,385.1728521,14,0.000307883,27,26,Cl1
387.18889,3851788,24.1,387.1885022,13,0.000387819,27,28,Cl1
391.31435,2835859,17.1,391.3137027,4,0.000647303,26,44,Cl1
415.22013,1827031,9.9,415.2198023,13,0.00032769,29,32,Cl1
567.56426,1974354,9.4,567.5641037,0,0.000156273,38,76,Cl1
577.54844,1617481,7.2,577.5484537,2,1.37E-05,39,74,Cl1
579.56383,1669078,7.5,579.5641037,1,0.000273727,39,76,Cl1
581.57999,2391390,11.6,581.5797538,0,0.000236209,39,78,Cl1
589.54836,3169580,16.1,589.5484537,3,9.37E-05,40,74,Cl1
591.56422,5192339,27.8,591.5641037,2,0.000116273,40,76,Cl1
593.57986,7184370,39.4,593.5797538,1,0.000106208,40,78,Cl1
595.59526,4812617,25.5,595.5954039,0,0.000143856,40,80,Cl1
603.56464,1805632,8.2,603.5641037,3,0.000536273,41,76,Cl1
605.57973,2359658,11.4,605.5797538,2,2.38E-05,41,78,Cl1
607.59528,3847307,20,607.5954039,1,0.000123856,41,80,Cl1
609.611,3771297,19.5,609.6110539,0,5.39E-05,41,82,Cl1
617.58025,2127761,10,617.5797538,3,0.000496208,42,78,Cl1
619.59584,1956475,9,619.5954039,2,0.000436144,42,80,Cl1
621.61125,3022173,15.2,621.6110539,1,0.00019608,42,82,Cl1
623.62708,3558456,18.2,623.626704,0,0.000376015,42,84,Cl1
631.59494,1870173,8.5,631.5954039,3,0.000463856,43,80,Cl1
633.61155,2620956,12.8,633.6110539,2,0.00049608,43,82,Cl1
635.62675,3668181,18.9,635.626704,1,4.60E-05,43,84,Cl1
637.64221,4659083,24.5,637.642354,0,0.000144049,43,86,Cl1
645.61085,4043323,21,645.6110539,3,0.00020392,44,82,Cl1
647.62625,4603107,24.2,647.626704,2,0.000453985,44,84,Cl1
649.6423,6012810,32.3,649.642354,1,5.40E-05,44,86,Cl1
651.65788,8324656,45.6,651.6580041,0,0.000124114,44,88,Cl1
653.57922,1535950,6.6,653.5797538,6,0.000533792,45,78,Cl1
657.61032,2610713,12.7,657.6110539,4,0.00073392,45,82,Cl1
659.62581,3803840,19.6,659.626704,3,0.000893985,45,84,Cl1
661.64229,4469096,23.3,661.642354,2,6.40E-05,45,86,Cl1
