,factor 1,factor 2,sample,temp
L0_330,1.2992102352879822,0.023713835237429155,L0,330
L0_354,1.054522737141974,-0.04189246746862344,L0,354
L0_378,1.0059482502401624,0.172413553344821,L0,378
L0_402,0.05909830934088772,0.4080838194061166,L0,402
L0_426,-0.28992766101730283,1.074475389361341,L0,426
L0_450,-0.14747516228618235,1.0954244776191024,L0,450
L2_330,1.6066370452709937,-0.6139771263325163,L2,330
L2_354,1.394942892288674,-0.20154898745459265,L2,354
L2_378,0.5988197454604931,0.5362642409979101,L2,378
L2_402,-1.183485472244508,-0.6070570536490469,L2,402
L2_426,-1.0926250266394788,0.13619671695024854,L2,426
L2_450,-0.2763073576483488,1.1415134660761097,L2,450
L5_330,1.5708920831984796,-0.5518255796222563,L5,330
L5_354,1.2188110827617955,-0.8075992719856147,L5,354
L5_378,-0.6948587310559267,-0.6785742010624235,L5,378
L5_402,-1.4432555179751265,-0.7131310035240462,L5,402
L5_426,-0.9493604896355774,0.19551681616374644,L5,426
L5_450,-0.6083489156281174,0.7767922534797226,L5,450
L8_330,0.575169564803884,0.7531930369976624,L8,330
L8_354,1.4819653554739862,-0.5059381463146826,L8,354
L8_378,-1.132670983171674,-0.6580997835747363,L8,378
L8_402,-1.520685046865112,-0.8149137262222745,L8,402
L8_426,-1.4759459422286147,-0.4625910611724249,L8,426
L8_450,-1.051070994873341,0.3435608027490294,L8,450
