x,y,score
455.15,465.14,0.98523006
465.14,577.19,0.972770963
455.15,577.19,0.959288128
507.18,585.25,0.943022027
527.22,542.23,0.940118662
485.21,487.23,0.938369163
507.18,577.19,0.936593596
465.14,507.18,0.929810657
445.18,471.2,0.929153811
577.19,585.25,0.928009706
442.17,457.18,0.926955831
428.19,457.18,0.926706257
513.21,527.22,0.925887795
442.17,485.21,0.925258345
485.21,542.23,0.924944148
528.22,542.23,0.92359437
457.18,471.2,0.923408615
442.17,542.23,0.923147431
485.21,527.22,0.920728739
458.2,487.19,0.920697028
428.19,513.21,0.915402302
428.19,458.2,0.91437324
465.14,585.25,0.914370361
443.2,471.2,0.913911435
428.19,471.2,0.91247562
487.19,501.21,0.911899037
487.23,503.22,0.911471235
430.17,487.19,0.911378844
442.17,527.22,0.910934057
542.23,544.25,0.910126415
458.2,471.2,0.910106249
428.19,485.21,0.909832322
487.19,513.21,0.909454559
457.18,542.23,0.90802478
430.17,445.18,0.907243492
527.22,544.25,0.906158876
416.19,428.19,0.905851459
443.2,445.18,0.905736269
428.19,487.19,0.905380907
457.18,527.22,0.905318958
457.18,513.21,0.904627919
487.23,527.22,0.904390178
445.18,457.18,0.903643463
445.18,487.19,0.902773536
428.19,445.18,0.901961753
455.15,507.18,0.901566672
430.17,458.2,0.901521452
497.21,499.23,0.900902796
471.2,487.19,0.900472809
445.18,458.2,0.900177736
513.21,542.23,0.900170109
428.19,430.17,0.900127167
443.2,470.2,0.899984619
471.2,544.25,0.899923756
503.22,527.22,0.899479841
428.19,442.17,0.898943649
471.2,513.21,0.898488929
400.16,428.19,0.897225541
428.19,527.22,0.896679974
445.22,446.2,0.896290563
442.17,513.21,0.896158433
471.2,527.22,0.893801183
458.2,501.21,0.892983438
485.21,544.25,0.892912338
445.18,501.21,0.891953009
416.15,487.19,0.891357501
445.18,544.25,0.891184086
430.17,471.2,0.889181999
471.2,542.23,0.888502499
527.22,528.22,0.887901936
513.21,544.25,0.887387701
503.22,544.25,0.887247245
445.18,503.22,0.886752431
457.18,485.21,0.886488655
416.19,445.18,0.886286209
516.22,527.22,0.885971792
457.18,487.19,0.885872067
487.19,527.22,0.885252182
416.19,473.21,0.884880175
501.21,503.22,0.884055054
445.18,513.21,0.884018684
503.22,586.26,0.883936907
445.22,472.22,0.883690615
487.23,544.25,0.883598434
511.23,544.25,0.883325715
485.21,513.21,0.882454601
511.23,542.23,0.881979832
487.19,503.22,0.881775232
445.18,527.22,0.881258364
458.2,513.21,0.881167807
430.17,457.18,0.880991102
446.2,487.23,0.879473241
471.2,485.21,0.878504458
457.18,528.22,0.878132683
473.21,485.21,0.877971403
473.21,487.23,0.877915073
443.2,457.22,0.877747457
527.22,529.24,0.877346442
470.2,471.2,0.876769894
485.21,503.22,0.876568938
528.22,544.25,0.8765364
428.19,499.23,0.876462266
416.19,485.21,0.876426715
499.23,542.23,0.876267646
499.23,544.25,0.876167846
428.19,487.23,0.875932071
428.19,429.19,0.875900432
429.19,445.18,0.875449086
458.2,527.22,0.875419556
445.18,487.23,0.875279636
444.22,472.22,0.875068183
487.23,542.23,0.875032527
529.24,542.23,0.874991284
428.19,542.23,0.874671566
511.23,527.22,0.874416179
499.23,511.23,0.873804555
429.19,443.2,0.873485698
455.15,585.25,0.873263374
416.19,487.23,0.873150203
446.2,472.22,0.87310923
485.21,529.24,0.872696855
429.19,471.2,0.872645817
499.23,527.22,0.872123737
457.22,470.2,0.871958689
446.2,544.25,0.871686643
445.18,446.2,0.871594684
428.19,544.25,0.871482946
516.22,544.25,0.871224396
388.16,430.17,0.870590416
457.18,544.25,0.869939726
428.19,443.2,0.869931234
501.21,513.21,0.869714884
487.19,487.23,0.869424078
445.18,485.21,0.869075846
472.22,544.25,0.868875312
513.21,586.26,0.868841882
475.23,517.24,0.86875104
461.21,475.23,0.868734363
529.24,544.25,0.868640229
503.22,513.21,0.868165354
416.19,457.18,0.868052098
471.2,487.23,0.867655454
527.22,586.26,0.867531914
443.2,457.18,0.867495008
485.21,499.23,0.867298865
443.2,544.25,0.867255885
445.18,445.22,0.867232127
404.19,416.19,0.86715765
471.2,472.22,0.866736566
458.2,516.22,0.866099871
516.22,542.23,0.865988683
513.21,528.22,0.865878141
458.2,487.23,0.865641648
457.18,458.2,0.865319433
442.17,471.2,0.865303096
503.22,516.22,0.864830782
445.18,542.23,0.864482287
529.24,532.25,0.864457974
527.22,598.26,0.864408101
471.2,501.21,0.863766213
388.16,416.15,0.863553691
458.2,544.25,0.862889441
416.15,501.21,0.862761961
501.21,516.22,0.862433225
431.2,458.2,0.862251746
430.17,501.21,0.86196726
442.17,499.23,0.861957254
513.21,516.22,0.861932655
485.21,586.26,0.861857712
429.19,501.21,0.861648126
446.2,503.22,0.861212774
503.22,542.23,0.861116606
487.23,529.24,0.860665197
416.19,513.21,0.860443495
503.22,529.24,0.860206099
386.18,388.16,0.860035731
429.19,487.19,0.859923298
542.23,572.24,0.859689308
416.15,458.2,0.859661435
431.2,445.18,0.859529696
416.19,487.19,0.85897886
429.19,430.17,0.858960349
529.24,586.26,0.858760855
485.21,528.22,0.858517737
471.2,528.22,0.858197107
444.22,446.2,0.857842684
487.19,544.25,0.857708185
511.23,513.21,0.857411914
511.23,528.22,0.857346642
497.21,542.23,0.857340943
428.19,501.21,0.857315431
428.19,497.21,0.857266714
430.17,527.22,0.856825233
443.2,458.2,0.856724003
470.2,544.25,0.85652065
501.21,527.22,0.856501538
499.19,513.21,0.856351585
501.21,502.24,0.856207707
445.18,472.22,0.856096457
487.23,513.21,0.85585406
516.22,528.22,0.855543389
416.19,430.17,0.855542456
446.2,471.2,0.855253126
485.21,487.19,0.854961595
457.22,544.25,0.854512191
513.21,598.26,0.853892345
501.21,544.25,0.853784624
458.2,503.22,0.853479453
416.19,471.2,0.853376941
471.2,503.22,0.853201586
428.15,487.19,0.85286665
513.21,529.24,0.85217103
470.2,514.24,0.85201811
457.18,497.21,0.852013484
457.18,499.23,0.851700682
511.23,529.24,0.851655572
400.16,416.19,0.851444588
442.17,528.22,0.851376938
430.17,513.21,0.851348389
485.21,572.24,0.851302115
388.16,400.16,0.851260336
416.19,458.2,0.851252757
445.18,516.22,0.850872737
544.25,586.26,0.85064772
528.22,529.24,0.850494745
416.15,430.17,0.850333309
416.19,442.17,0.850325698
472.22,485.21,0.850284914
429.19,457.18,0.850272474
542.23,586.26,0.850091996
445.22,471.2,0.849267272
416.19,472.22,0.849260525
445.22,460.22,0.849105527
430.17,503.22,0.849102604
487.23,586.26,0.848597389
418.17,430.17,0.848479184
429.19,458.2,0.848286193
507.18,520.19,0.848187253
445.22,447.2,0.848040362
444.22,445.22,0.847903948
455.2,514.24,0.847889511
446.2,517.24,0.847799132
457.18,511.23,0.84748227
457.22,472.22,0.847471629
459.23,470.2,0.847397115
445.22,544.25,0.847126961
485.21,511.23,0.846945305
445.22,503.22,0.846847306
400.16,416.15,0.846830353
445.22,487.23,0.846608629
430.17,485.21,0.846535064
471.2,516.22,0.846471319
416.19,446.2,0.846429615
527.22,572.24,0.8461704
416.19,419.2,0.845911602
445.18,528.22,0.84584652
487.19,499.19,0.845699174
442.17,511.23,0.845396163
443.2,501.21,0.84529718
404.19,418.17,0.844999247
570.23,598.26,0.844761537
428.19,528.22,0.844739519
472.22,487.23,0.844460206
472.22,516.22,0.84442958
445.22,516.22,0.844399206
416.15,428.19,0.843983522
428.19,503.22,0.842338385
499.23,513.21,0.842167651
516.22,529.24,0.841966256
430.17,487.23,0.841730416
455.2,470.2,0.841648248
443.2,461.18,0.841610573
416.19,503.22,0.8413372
446.2,458.2,0.841315021
416.19,443.2,0.841276329
520.19,585.25,0.840941191
497.21,544.25,0.839706713
446.2,447.2,0.839648504
459.23,461.21,0.839541833
428.19,511.23,0.839476554
513.24,530.23,0.839262078
457.18,516.22,0.839198905
572.24,586.26,0.838918374
419.2,446.2,0.838439749
497.21,527.22,0.838297375
