,pixel_x,pixel_y,color
R00X100Y037,290,88,0
R00X101Y037,290,92,0
R00X102Y037,290,97,255
R00X103Y037,290,102,0
R00X104Y037,290,106,255
R00X105Y037,290,111,0
R00X106Y037,290,116,0
R00X107Y037,290,120,0
R00X108Y037,290,125,0
R00X109Y037,290,130,0
R00X110Y037,290,134,0
R00X111Y037,290,139,0
R00X112Y037,290,144,0
R00X113Y037,290,148,0
R00X114Y037,290,153,0
R00X115Y037,290,157,0
R00X116Y037,290,162,0
R00X117Y037,290,167,0
R00X118Y037,290,171,0
R00X119Y037,290,176,0
R00X120Y037,290,181,0
R00X121Y037,290,185,0
R00X122Y037,290,190,0
R00X123Y037,290,195,255
R00X124Y037,290,199,0
R00X125Y037,290,204,255
R00X126Y037,290,209,255
R00X127Y037,290,213,255
R00X128Y037,290,218,255
R00X129Y037,290,223,0
R00X099Y038,286,83,0
R00X100Y038,286,88,0
R00X101Y038,286,92,0
R00X102Y038,286,97,255
R00X103Y038,286,102,0
R00X104Y038,286,106,0
R00X105Y038,286,111,0
R00X106Y038,286,116,0
R00X107Y038,286,120,0
R00X108Y038,286,125,0
R00X109Y038,286,130,0
R00X110Y038,286,134,0
R00X111Y038,286,139,0
R00X112Y038,286,144,0
R00X113Y038,286,148,0
R00X114Y038,286,153,0
R00X115Y038,286,157,0
R00X116Y038,286,162,0
R00X117Y038,286,167,0
R00X118Y038,286,171,0
R00X119Y038,286,176,0
R00X120Y038,286,181,0
R00X121Y038,286,185,0
R00X122Y038,286,190,0
R00X123Y038,286,195,0
R00X124Y038,286,199,255
R00X125Y038,286,204,255
R00X126Y038,286,209,255
R00X127Y038,286,213,0
R00X128Y038,286,218,0
R00X129Y038,286,223,0
R00X130Y038,286,227,0
R00X131Y038,286,232,0
R00X132Y038,286,237,0
R00X133Y038,286,241,0
R00X134Y038,286,246,0
R00X135Y038,286,251,0
R00X136Y038,286,255,0
R00X137Y038,286,260,0
R00X138Y038,286,265,0
R00X139Y038,286,269,0
R00X140Y038,286,274,0
R00X141Y038,286,279,0
R00X142Y038,286,283,0
R00X143Y038,286,288,0
R00X144Y038,286,293,0
R00X145Y038,286,297,0
R00X146Y038,286,302,0
R00X147Y038,286,307,0
R00X148Y038,286,311,0
R00X149Y038,286,316,0
R00X150Y038,286,321,0
R00X151Y038,286,325,0
R00X152Y038,286,330,0
R00X153Y038,286,335,0
R00X154Y038,286,339,0
R00X155Y038,286,344,0
R00X156Y038,286,349,0
R00X157Y038,286,353,0
R00X158Y038,286,358,0
R00X159Y038,286,363,0
R00X160Y038,286,367,0
R00X161Y038,286,372,0
R00X162Y038,286,377,0
R00X163Y038,286,381,0
R00X164Y038,286,386,0
R00X165Y038,286,391,0
R00X166Y038,286,395,0
R00X167Y038,286,400,0
R00X168Y038,286,404,255
R00X169Y038,286,409,0
R00X170Y038,286,414,255
R00X171Y038,286,418,255
R00X172Y038,286,423,255
R00X173Y038,286,428,0
R00X174Y038,286,432,0
R00X175Y038,286,437,0
R00X176Y038,286,442,0
R00X177Y038,286,446,0
R00X178Y038,286,451,0
R00X179Y038,286,456,0
R00X180Y038,286,460,0
R00X181Y038,286,465,0
R00X182Y038,286,470,255
R00X183Y038,286,474,255
R00X184Y038,286,479,255
R00X185Y038,286,484,255
R00X098Y039,281,78,0
R00X099Y039,281,83,0
R00X100Y039,281,88,0
R00X101Y039,281,92,0
R00X102Y039,281,97,0
R00X103Y039,281,102,0
R00X104Y039,281,106,0
R00X105Y039,281,111,0
R00X106Y039,281,116,0
R00X107Y039,281,120,0
R00X108Y039,281,125,0
R00X109Y039,281,130,0
R00X110Y039,281,134,0
R00X111Y039,281,139,0
R00X112Y039,281,144,0
