,m/z,I,S/N,em,dbe,error,C,H,Class
0,208.11316000000002,11928419.0,99.2,208.113173,9,1.3000000000000001e-05,15,14,N1
1,216.08189,3212210.0,24.7,216.08187290000004,12,1.7100000000000002e-05,16,10,N1
2,220.11315,1339057.0,8.8,220.113173,10,2.3e-05,16,14,N1
3,222.12883,19928650.0,164.6,222.1288231,9,6.9e-06,16,16,N1
4,230.09756000000002,15996668.0,130.8,230.097523,12,3.7e-05,17,12,N1
5,234.1288,3000585.0,22.3,234.1288231,10,2.3100000000000002e-05,17,16,N1
6,236.14449,14129360.0,114.5,236.1444732,9,1.6800000000000002e-05,17,18,N1
7,244.11317000000003,31050124.0,252.0,244.113173,12,3.03e-06,18,14,N1
8,248.14446,4352185.0,33.0,248.1444732,10,1.32e-05,18,18,N1
9,250.16016000000002,11092149.0,87.7,250.1601232,9,3.68e-05,18,20,N1
10,256.11317,1998343.0,13.7,256.113173,13,3.03e-06,19,14,N1
11,258.12883999999997,36408740.0,291.5,258.12882310000003,12,1.6899999999999997e-05,19,16,N1
12,262.16013,7262854.0,55.9,262.1601232,10,6.77e-06,19,20,N1
13,264.17581,9568971.0,74.5,264.1757733,9,3.6700000000000004e-05,19,22,N1
14,266.09753,2005467.0,13.5,266.097523,15,7.03e-06,20,12,N1
15,268.11318,1063276.0,6.0,268.113173,14,6.97e-06,20,14,N1
16,270.12887,4422372.0,32.8,270.12882310000003,13,4.6899999999999995e-05,20,16,N1
17,272.14451,26879172.0,212.0,272.1444732,12,3.68e-05,20,18,N1
18,274.16014,1720589.0,11.2,274.1601232,11,1.6800000000000002e-05,20,20,N1
19,276.1758,8588353.0,65.7,276.1757733,10,2.6700000000000002e-05,20,22,N1
20,278.19142999999997,9929185.0,76.1,278.19142339999996,9,6.64e-06,20,24,N1
21,280.11319,8411996.0,64.0,280.113173,15,1.7e-05,21,14,N1
22,282.12877000000003,2210265.0,14.9,282.12882310000003,14,5.31e-05,21,16,N1
23,284.14451,8077893.0,61.1,284.1444732,13,3.68e-05,21,18,N1
24,286.16016,21702560.0,168.5,286.1601232,12,3.68e-05,21,20,N1
25,288.17579,3039215.0,21.3,288.1757733,11,1.67e-05,21,22,N1
26,290.19146,8135216.0,61.3,290.19142339999996,10,3.66e-05,21,24,N1
27,292.2071,9961318.0,75.2,292.20707339999996,9,2.6600000000000003e-05,21,26,N1
28,294.12888,13732995.0,104.7,294.12882310000003,15,5.6899999999999994e-05,22,16,N1
29,296.14455,2480038.0,16.8,296.1444732,14,7.68e-05,22,18,N1
30,296.2385,1199411.0,6.8,296.23837349999997,7,0.00012645,21,30,N1
31,298.16014,10175168.0,76.5,298.1601232,13,1.6800000000000002e-05,22,20,N1
32,300.17581,16586707.0,126.3,300.1757733,12,3.6700000000000004e-05,22,22,N1
33,302.19142999999997,4266209.0,30.5,302.19142339999996,11,6.64e-06,22,24,N1
34,304.20707000000004,8241131.0,61.2,304.20707339999996,10,3.42e-06,22,26,N1
35,306.12881,1797477.0,11.3,306.12882310000003,16,1.31e-05,23,16,N1
36,306.22278,10538737.0,78.6,306.2227235,9,5.65e-05,22,28,N1
37,308.1445,13393897.0,100.5,308.1444732,15,2.68e-05,23,18,N1
38,310.16017,3421420.0,23.8,310.1601232,14,4.68e-05,23,20,N1
39,312.17581,8696304.0,64.0,312.1757733,13,3.6700000000000004e-05,23,22,N1
40,314.19146,10644213.0,78.9,314.19142339999996,12,3.66e-05,23,24,N1
41,316.20716,4093438.0,28.8,316.20707339999996,11,8.66e-05,23,26,N1
42,318.12891,1675901.0,10.3,318.12882310000003,17,8.690000000000001e-05,24,16,N1
43,318.22283,6588682.0,47.7,318.2227235,10,0.000106515,23,28,N1
44,320.14443,3140366.0,21.4,320.1444732,16,4.3200000000000007e-05,24,18,N1
45,320.23837000000003,8370203.0,61.2,320.23837349999997,9,3.55e-06,23,30,N1
46,322.16017,9930534.0,73.1,322.1601232,15,4.68e-05,24,20,N1
47,324.17588,4100165.0,28.5,324.1757733,14,0.000106708,24,22,N1
48,326.19149,9600365.0,70.1,326.19142339999996,13,6.659999999999999e-05,24,24,N1
