m/z,I,S/N,em,dbe,error,C,H,Class
628.58327,3271408.421,9.9,628.582675,9,0.000595033,45,74,N1
614.56718,4297351.2,14.6,614.5670249,9,0.000155098,44,72,N1
600.55168,5594174.4,19.6,600.5513748,9,0.000305162,43,70,N1
586.53614,5284572,18.7,586.5357248,9,0.000415226,42,68,N1
572.52016,6103927.2,22.8,572.5200747,9,8.53E-05,41,66,N1
558.50474,7599496.8,28.9,558.5044246,9,0.000315355,40,64,N1
544.48877,9057418.8,36.2,544.4887746,9,4.58E-06,39,62,N1
530.47323,9589334.4,40,530.4731245,9,0.000105484,38,60,N1
516.45771,10494000,45.3,516.4574745,9,0.000235548,37,58,N1
502.44204,10784460,47.6,502.4418244,9,0.000215613,36,56,N1
488.42632,13784379.6,62.7,488.4261743,9,0.000145677,35,54,N1
474.41085,15021915.6,69.8,474.4105243,9,0.000325742,34,52,N1
460.39515,16644783.6,79,460.3948742,9,0.000275806,33,50,N1
446.37945,18448942.8,89.2,446.3792241,9,0.000225871,32,48,N1
432.36387,21724737.6,108,432.3635741,9,0.000295935,31,46,N1
418.34822,22407405.6,112.7,418.347924,9,0.000295999,30,44,N1
404.33242,24355490.4,124.1,404.3322739,9,0.000146064,29,42,N1
390.31695,28380105.6,148,390.3166239,9,0.000326128,28,40,N1
376.30128,26558104.8,142.3,376.3009738,9,0.000306,27,38,N1
362.28562,28877352,159.2,362.2853237,9,0.000296257,26,36,N1
348.26987,26158898.4,145.9,348.2696737,9,0.000196321,25,34,N1
334.25427,26402414.4,152.8,334.2540236,9,0.000246386,24,32,N1
320.23845,26776908,158.4,320.2383735,9,7.65E-05,23,30,N1
306.22287,26394993.6,158.9,306.2227235,9,0.000146515,22,28,N1
292.20712,22560201.6,138.8,292.2070734,9,4.66E-05,21,26,N1
278.19156,21128500.8,132.8,278.1914234,9,0.000137,20,24,N1
264.17591,19588960.8,126.4,264.1757733,9,0.000136708,19,22,N1
250.16024,21907711.2,144.2,250.1601232,9,0.000117,18,20,N1
236.14456,22449825.6,151,236.1444732,9,8.68E-05,17,18,N1
222.12892,23321196,159.3,222.1288231,9,9.69E-05,16,16,N1
208.1132,15644106,108.3,208.113173,9,2.70E-05,15,14,N1
612.55117,1909010,6.9,612.5513748,10,0.000204838,44,70,N1
556.48903,4041680,18.5,556.4887746,10,0.000255,40,62,N1
542.47329,4277729,19.7,542.4731245,10,0.000165484,39,60,N1
528.45771,4728221,22.8,528.4574745,10,0.000235548,38,58,N1
514.44195,4704929,23.4,514.4418244,10,0.000125613,37,56,N1
500.42634,6597674,34.4,500.4261743,10,0.000166,36,54,N1
486.41067,5740400,30.2,486.4105243,10,0.000145742,35,52,N1
472.39508,5855151,31.5,472.3948742,10,0.000205806,34,50,N1
458.37954,6594605,36.4,458.3792241,10,0.000315871,33,48,N1
444.36388,7558362,43.3,444.3635741,10,0.000305935,32,46,N1
430.34828,7242766,41.9,430.347924,10,0.000356,31,44,N1
416.33256,9144869,54.1,416.3322739,10,0.000286064,30,42,N1
402.31688,9282426,56.2,402.3166239,10,0.000256,29,40,N1
388.30111,9971817,61.1,388.3009738,10,0.000136193,28,38,N1
374.28564,11616632,73.6,374.2853237,10,0.000316,27,36,N1
360.2699,11558718,75.3,360.2696737,10,0.000226321,26,34,N1
346.25416,10887766,72.6,346.2540236,10,0.000136386,25,32,N1
332.23858,12507992,85.8,332.2383735,10,0.00020645,24,30,N1
318.2229,13501115,94.9,318.2227235,10,0.000176515,23,28,N1
304.20719,11866020,85.3,304.2070734,10,0.000116579,22,26,N1
290.19152,12159101,89.6,290.1914234,10,9.66E-05,21,24,N1
276.17587,9877418,73.9,276.1757733,10,9.67E-05,20,22,N1
262.1602,8261523,62.7,262.1601232,10,7.68E-05,19,20,N1
248.14451,4602354,34.6,248.1444732,10,3.68E-05,18,18,N1
234.12888,2168170,15.3,234.1288231,10,5.69E-05,17,16,N1
220.11324,1188773,7.4,220.113173,10,6.70E-05,16,14,N1
610.53536,1864031,6.7,610.5357248,11,0.000364774,44,68,N1
596.52059,2192637,8.2,596.5200747,11,0.000515291,43,66,N1
568.48891,2568430,10.6,568.4887746,11,0.00013542,41,62,N1
554.47333,2797494,12.2,554.4731245,11,0.000205484,40,60,N1
540.45754,3161091,14,540.4574745,11,6.55E-05,39,58,N1
526.44212,3145209,14.5,526.4418244,11,0.000296,38,56,N1
512.4262,4141852,20.4,512.4261743,11,2.57E-05,37,54,N1
498.41102,3392680,16.7,498.4105243,11,0.000495742,36,52,N1
484.39515,3669716,18.6,484.3948742,11,0.000275806,35,50,N1
470.37943,3337180,17,470.3792241,11,0.00020587,34,48,N1
456.36395,4236307,22.6,456.3635741,11,0.000375935,33,46,N1
442.34823,4530820,25,442.347924,11,0.000305999,32,44,N1
428.33247,4850058,27.3,428.3322739,11,0.000196064,31,42,N1
414.31686,5623680,32.4,414.3166239,11,0.000236128,30,40,N1
400.30134,6650048,39.6,400.3009738,11,0.000366192,29,38,N1
386.28565,6499755,39.6,386.2853237,11,0.000326257,28,36,N1
372.26994,6769354,42,372.2696737,11,0.000266321,27,34,N1
358.25425,7247032,46.4,358.2540236,11,0.000226386,26,32,N1
344.23855,5975564,38.8,344.2383735,11,0.00017645,25,30,N1
330.22291,7935330,53.6,330.2227235,11,0.000186515,24,28,N1
316.20724,7748885,53.9,316.2070734,11,0.000166579,23,26,N1
302.19153,7068693,49.9,302.1914234,11,0.000106643,22,24,N1
288.17582,4369609,30.6,288.1757733,11,4.67E-05,21,22,N1
274.16034,2707607,18.5,274.1601232,11,0.000216772,20,20,N1
260.14451,1422246,8.8,260.1444732,11,3.68E-05,19,18,N1
664.58304,2454840,9.1,664.582675,12,0.000365033,48,74,N1
650.56636,1953385,6.9,650.5670249,12,0.000664902,47,72,N1
636.5521,2437197,9.2,636.5513748,12,0.000725162,46,70,N1
622.5361,3320707,13.2,622.5357248,12,0.000375226,45,68,N1
608.52028,3738288,15.3,608.5200747,12,0.000205291,44,66,N1
594.50489,3310696,13.4,594.5044246,12,0.000465355,43,64,N1
580.48888,4956413,21.3,580.4887746,12,0.00010542,42,62,N1
566.47355,5484200,24.8,566.4731245,12,0.000425484,41,60,N1
552.45744,5851557,27.6,552.4574745,12,3.45E-05,40,58,N1
538.44199,6285358,31,538.4418244,12,0.000165613,39,56,N1
524.42618,6281819,31,524.4261743,12,5.68E-06,38,54,N1
510.41065,7717786,39.8,510.4105243,12,0.000125742,37,52,N1
496.39509,10162467,54.1,496.3948742,12,0.000215806,36,50,N1
482.37941,10965554,59.7,482.3792241,12,0.00018587,35,48,N1
468.36382,12254720,68.3,468.3635741,12,0.000245935,34,46,N1
454.34811,12910576,74.5,454.347924,12,0.000185999,33,44,N1
440.3325,15130663,88.8,440.3322739,12,0.000226064,32,42,N1
426.31682,17635072,105.1,426.3166239,12,0.000196128,31,40,N1
412.30125,17712342,108,412.3009738,12,0.000276192,30,38,N1
398.28543,17621508,108.6,398.2853237,12,0.000106257,29,36,N1
384.26993,21602028,136.9,384.2696737,12,0.000256321,28,34,N1
370.25434,23899168,153.9,370.2540236,12,0.000316386,27,32,N1
356.23845,23120440,152.9,356.2383735,12,7.65E-05,26,30,N1
342.22282,24707532,167.8,342.2227235,12,9.65E-05,25,28,N1
328.20718,31173496,220,328.2070734,12,0.000106579,24,26,N1
314.19157,31045492,223.3,314.1914234,12,0.000146643,23,24,N1
300.17592,41968772,310.4,300.1757733,12,0.000146708,22,22,N1
286.16027,54233356,411.1,286.1601232,12,0.000146772,21,20,N1
272.1446,68225904,529,272.1444732,12,0.000126837,20,18,N1
258.12893,80751136,639.2,258.1288231,12,0.000107,19,16,N1
244.11325,73983064,597,244.113173,12,7.70E-05,18,14,N1
230.09763,37645456,308.7,230.097523,12,0.00010703,17,12,N1
216.08195,7094770,57.2,216.0818729,12,7.71E-05,16,10,N1
634.5365,1756576,6.1,634.5357248,13,0.000775226,46,68,N1
620.52068,2228939,8.3,620.5200747,13,0.000605291,45,66,N1
606.50495,2862596,11.3,606.5044246,13,0.000525355,44,64,N1
592.48877,3444696,14.2,592.4887746,13,4.58E-06,43,62,N1
578.47317,2947217,11.9,578.4731245,13,4.55E-05,42,60,N1
550.44229,3301019,14.7,550.4418244,13,0.000465613,40,56,N1
536.42617,5017698,24.3,536.4261743,13,4.32E-06,39,54,N1
522.41064,4337859,21.4,522.4105243,13,0.000115742,38,52,N1
508.39514,4716057,24,508.3948742,13,0.000265806,37,50,N1
494.37967,5451677,28.6,494.3792241,13,0.000446,36,48,N1
480.36373,5411978,28.9,480.3635741,13,0.000155935,35,46,N1
466.34811,6685721,36.9,466.347924,13,0.000185999,34,44,N1
452.33258,13071812,75.5,452.3322739,13,0.000306064,33,42,N1
438.31688,8090052,46.5,438.3166239,13,0.000256128,32,40,N1
424.30127,9867378,57.9,424.3009738,13,0.000296193,31,38,N1
410.28551,9114154,54.5,410.2853237,13,0.000186257,30,36,N1
396.26984,11652934,71.1,396.2696737,13,0.000166321,29,34,N1
382.25427,12338224,77.2,382.2540236,13,0.000246386,28,32,N1
368.2386,13390203,86.4,368.2383735,13,0.00022645,27,30,N1
354.22279,15199168,101,354.2227235,13,6.65E-05,26,28,N1
340.20724,17317784,118.3,340.2070734,13,0.000166579,25,26,N1
326.19159,20445598,143.5,326.1914234,13,0.000166643,24,24,N1
312.17584,20440538,146.2,312.1757733,13,6.67E-05,23,22,N1
298.16025,20345582,149.2,298.1601232,13,0.000126772,22,20,N1
284.14461,16933696,126.7,284.1444732,13,0.000136837,21,18,N1
270.1289,8071735,60.4,270.1288231,13,7.69E-05,20,16,N1
256.11318,4196666,31.1,256.113173,13,6.97E-06,19,14,N1
590.47356,2989901,12.1,590.4731245,14,0.000435484,43,60,N1
