,factor 1,factor 2,sample,temp
L0_354,-0.8896665906740019,0.3247713114474513,L0,354
L0_378,-0.8549993574778346,0.24424205105370944,L0,378
L0_402,-0.9065670396112254,-0.10393567689457668,L0,402
L0_426,-0.1897735963452753,-0.9265303506100651,L0,426
L0_450,-0.18168754670386172,-1.0335285911830927,L0,450
L0_orig,2.1296979213113674,0.41520594275186096,L0,orig
L2_354,-1.0599325687094572,0.8951271240220153,L2,354
L2_378,-1.05741242040594,0.6010310165595849,L2,378
L2_402,-0.46715494112175293,-0.656476230567311,L2,402
L2_426,-0.16675619344564166,-0.9660212717544203,L2,426
L2_450,-0.14893278938611496,-1.0114300056740189,L2,450
L2_orig,2.3299740895632346,0.5408693104432204,L2,orig
L5_354,-1.356953679501952,1.099042139420406,L5,354
L5_378,2.269274569868469,0.5117836990210883,L5,378
L5_402,-0.3849347360052343,-0.5220173119464265,L5,402
L5_426,-0.08045387742596372,-0.8291252341080211,L5,426
L5_450,-0.034910975146391555,-0.8540680315149779,L5,450
L5_orig,-1.4487215620131872,1.330920256579845,L5,orig
L8_354,-1.884171043264669,1.702608652813068,L8,354
L8_378,2.7526171086163362,0.817631634343212,L8,378
L8_402,-0.5540536745014748,-0.4026426787314987,L8,402
L8_426,-0.11286995146435402,-0.8900192337597109,L8,426
L8_450,-0.07534934208957335,-0.8730378417548199,L8,450
L8_orig,2.373738195934497,0.5855993200434756,L8,orig
