,,O_ratio,O_ratio2
L0,orig,1.520510642,7.64800834
L0,354,1.497921753,6.05742156
L0,378,1.561635174,8.842812716
L0,402,2.126446175,1.737501566
L0,426,2.121488277,1.869027872
L0,450,1.955899218,2.109570549
L2,orig,1.17878639,9.171681506
L2,354,1.113125511,5.408955289
L2,378,1.247503517,4.734680532
L2,402,1.180310694,0.786927368
L2,426,1.808647622,0.518355766
L2,450,1.895981233,1.655442837
L5,orig,0.611657997,6.496925638
L5,354,0.749565444,6.414218334
L5,378,0.881841699,6.414218334
L5,402,1.025940314,0.304677356
L5,426,2.637736816,0.534608862
L5,450,1.803792952,1.121127958
L8,orig,0.341567162,5.533947834
L8,354,0.339517207,5.811737443
L8,378,0.435535644,5.808305751
L8,402,0.795811218,0.436251787
L8,426,1.258582199,0.315786663
L8,450,1.060022571,0.864098874
