,,O2,O2N1,O1,N1,O1N1,O3N1,O3,O4N1,O4,Total
L0,330,350.537252,576.9028782,399.7941992,367.5821803,349.1425282,534.1374101,456.8267849,545.9945549,493.0450173,421.4695181
L0,354,371.3244709,573.7909409,412.1152948,393.279963,396.1485691,539.3755498,506.7135252,554.0166371,480.5474197,445.869138
L0,378,364.679953,591.2793408,402.6106274,388.7787172,357.4204686,558.0564951,501.9823048,574.183628,482.4317957,465.2468939
L0,402,343.1492592,530.543426,361.1651759,356.0924234,366.8905406,508.1721659,436.2419834,491.9605672,422.7180122,436.6353408
L0,426,287.4376586,536.6699734,404.104137,312.7366166,329.0842251,520.4062893,348.0828702,518.3473278,458.1347286,427.0736299
L0,450,272.0523867,495.5384761,362.3969739,283.4953258,303.3881982,457.1724206,326.0461156,460.3480006,431.6374766,360.3715995
L2,330,352.1463998,471.9196913,392.990245,334.7170312,337.1665955,557.1738717,439.0154842,544.2768091,450.6503885,376.4855468
L2,354,381.2539537,565.5653274,392.9348683,368.5653441,403.9574626,563.5657808,493.1582385,565.6938608,542.6186053,434.9601636
L2,378,368.7512489,554.9674867,413.7088257,373.4168135,424.5785033,550.3610158,454.3762652,555.0912385,492.9585132,439.3977066
L2,402,346.4146569,534.2018857,364.4755945,340.0660751,419.1962289,504.8848207,442.050055,499.6143645,418.8764418,419.3622767
L2,426,297.0729691,521.6778384,309.5737823,304.5210068,347.5111833,497.0732839,381.5185981,479.7490928,428.2185294,392.9409716
L2,450,276.4515705,510.9198671,407.9518425,285.0484083,326.3527125,496.8297736,332.4942553,506.184802,416.189899,381.4569549
L5,330,409.8150407,595.1509377,387.9537864,385.6196994,347.6734027,530.2711688,548.5549217,570.4813577,547.8356111,441.483862
L5,354,395.7228875,592.3940772,381.4987625,377.2092486,350.9881413,481.4329267,549.1050633,560.0138146,444.7414304,434.9058055
L5,378,348.0674997,575.1770457,367.8562391,358.5428219,398.9228354,479.2093485,551.4843593,526.6925643,395.8282686,448.7686908
L5,402,389.6118739,508.6150299,366.5674659,346.3087988,460.860831,459.0812387,455.8916624,466.5298702,358.9448883,390.5125175
L5,426,315.213605,550.8207702,314.7357275,316.3341168,343.919921,519.0522661,448.3660566,437.5649322,504.0444262,355.925931
L5,450,305.5815125,531.0838015,340.579731,300.4448106,332.558731,511.4300874,361.5002327,518.726716,453.2657241,336.4674505
L8,330,409.0411839,570.4373074,522.3555761,350.5682266,354.3000566,575.4175441,445.0366269,599.6146938,554.1252912,449.3081658
L8,354,432.0402783,587.4581742,416.688632,397.7300122,425.4438758,579.9801228,507.2938632,590.8109966,554.8467712,467.9755515
L8,378,327.5828015,570.5878079,387.8489871,365.6918506,482.2467456,471.733406,522.7090114,536.7513103,424.5396767,440.3254155
L8,402,381.1764296,521.2343691,363.3519781,346.917807,451.9497111,482.1494475,473.4964684,482.819404,364.8127044,407.3232909
L8,426,323.5364159,478.5525224,296.5411943,302.0142279,356.8809906,426.116569,404.3945924,427.0089242,378.9127729,349.9917089
L8,450,308.6657204,435.129656,289.413527,288.2869839,327.9527941,381.3508625,346.11057,388.1631367,350.019131,329.223703
