,orig,354,378,402,426,450
15,0.013944264,0.013944264,0.096012577,0.057920331,0.176361203,0.291176294
16,0.029822296,0.029822296,0.10134466,0.08748814,0.214009212,0.264490813
17,0.042152426,0.042152426,0.078318298,0.096176399,0.199422749,0.196379252
18,0.046909926,0.046909926,0.054759852,0.079995815,0.133360199,0.102511661
19,0.051180353,0.051180353,0.047740145,0.065949414,0.085494008,0.060720814
20,0.045708316,0.045708316,0.032133025,0.0531522,0.047333983,0.034857584
21,0.047175637,0.047175637,0.032599733,0.05211001,0.040358731,0.021710366
22,0.054217561,0.054217561,0.034541885,0.053399073,0.02980722,0.01411118
23,0.044970778,0.044970778,0.028684257,0.043943958,0.019970478,0.007265819
24,0.043501954,0.043501954,0.029306037,0.041801972,0.013430091,0.003813142
25,0.043286232,0.043286232,0.033631361,0.039098726,0.010369347,0.002963075
26,0.042696674,0.042696674,0.032901853,0.038951996,0.008435797,0
27,0.043997088,0.043997088,0.032908858,0.03632416,0.006167683,0
28,0.042653328,0.042653328,0.036956527,0.036214978,0.005298834,0
29,0.044474275,0.044474275,0.034637709,0.031325614,0.003375778,0
30,0.037743542,0.037743542,0.031832085,0.027493983,0.002924616,0
31,0.035833304,0.035833304,0.02652469,0.023605952,0.002723095,0
32,0.031751139,0.031751139,0.024246725,0.019174738,0,0
33,0.028974243,0.028974243,0.021153069,0.016329407,0.001156978,0
34,0.024045503,0.024045503,0.021663437,0.013898484,0,0
35,0.025924999,0.025924999,0.023683595,0.013224417,0,0
36,0.023495201,0.023495201,0.020740277,0.011898398,0,0
37,0.019280727,0.019280727,0.018685237,0.009851253,0,0
38,0.017661505,0.017661505,0.016563902,0.008617258,0,0
39,0.017295706,0.017295706,0.015884221,0.008074579,0,0
40,0.013917498,0.013917498,0.011935831,0.006573004,0,0
