C,H,O,N,em,DBE
10,4,4,1,{202.0145811927: 'C10'},9.0
10,6,4,1,{204.0302312571: 'C10'},8.0
10,8,4,1,{206.0458813215: 'C10'},7.0
10,10,4,1,{208.0615313859: 'C10'},6.0
10,12,4,1,{210.0771814503: 'C10'},5.0
10,14,4,1,{212.0928315147: 'C10'},4.0
10,16,4,1,{214.10848157910002: 'C10'},3.0
10,17,4,0,{201.1132326073: 'C10'},2.0
10,18,3,1,{200.1292170235: 'C10'},2.0
10,18,4,1,{216.12413164350002: 'C10'},2.0
10,19,4,0,{203.1288826717: 'C10'},1.0
10,20,3,1,{202.1448670879: 'C10'},1.0
10,20,4,1,{218.13978170790003: 'C10'},1.0
10,21,4,0,{205.14453273610002: 'C10'},0.0
10,22,3,1,{204.1605171523: 'C10'},0.0
10,22,4,1,{220.15543177230003: 'C10'},0.0
11,4,4,1,{214.01458119270004: 'C11'},10.0
11,5,4,0,{201.01933222089997: 'C11'},9.0
11,6,3,1,{200.0353166371: 'C11'},9.0
11,6,4,1,{216.03023125709998: 'C11'},9.0
11,7,4,0,{203.03498228529998: 'C11'},8.0
11,8,3,1,{202.05096670150002: 'C11'},8.0
11,8,4,1,{218.0458813215: 'C11'},8.0
11,9,4,0,{205.05063234969998: 'C11'},7.0
11,10,3,1,{204.06661676590002: 'C11'},7.0
11,10,4,1,{220.0615313859: 'C11'},7.0
11,11,4,0,{207.0662824141: 'C11'},6.0
11,12,3,1,{206.08226683030003: 'C11'},6.0
11,12,4,1,{222.0771814503: 'C11'},6.0
11,13,4,0,{209.0819324785: 'C11'},5.0
11,14,3,1,{208.09791689469998: 'C11'},5.0
11,14,4,1,{224.0928315147: 'C11'},5.0
11,15,4,0,{211.0975825429: 'C11'},4.0
11,16,3,1,{210.11356695909998: 'C11'},4.0
11,16,4,1,{226.10848157910002: 'C11'},4.0
11,17,4,0,{213.1132326073: 'C11'},3.0
11,18,3,1,{212.1292170235: 'C11'},3.0
11,18,4,1,{228.12413164350002: 'C11'},3.0
11,19,4,0,{215.1288826717: 'C11'},2.0
11,20,3,1,{214.1448670879: 'C11'},2.0
11,20,4,1,{230.13978170790003: 'C11'},2.0
11,21,3,0,{201.1496181161: 'C11'},1.0
11,21,4,0,{217.14453273610002: 'C11'},1.0
11,22,2,1,{200.16560253230003: 'C11'},1.0
11,22,3,1,{216.1605171523: 'C11'},1.0
11,22,4,1,{232.15543177230003: 'C11'},1.0
11,23,3,0,{203.1652681805: 'C11'},0.0
11,23,4,0,{219.16018280050002: 'C11'},0.0
11,24,2,1,{202.1812525967: 'C11'},0.0
11,24,3,1,{218.1761672167: 'C11'},0.0
11,24,4,1,{234.17108183669998: 'C11'},0.0
12,4,3,1,{210.0196665727: 'C12'},11.0
12,4,4,1,{226.01458119270004: 'C12'},11.0
12,5,4,0,{213.01933222089997: 'C12'},10.0
12,6,3,1,{212.0353166371: 'C12'},10.0
12,6,4,1,{228.03023125709998: 'C12'},10.0
12,7,4,0,{215.03498228529998: 'C12'},9.0
12,8,3,1,{214.05096670150002: 'C12'},9.0
12,8,4,1,{230.0458813215: 'C12'},9.0
12,9,3,0,{201.0557177297: 'C12'},8.0
12,9,4,0,{217.05063234969998: 'C12'},8.0
12,10,2,1,{200.07170214590002: 'C12'},8.0
12,10,3,1,{216.06661676590002: 'C12'},8.0
12,10,4,1,{232.0615313859: 'C12'},8.0
12,11,3,0,{203.0713677941: 'C12'},7.0
12,11,4,0,{219.0662824141: 'C12'},7.0
12,12,2,1,{202.08735221030003: 'C12'},7.0
12,12,3,1,{218.08226683030003: 'C12'},7.0
12,12,4,1,{234.0771814503: 'C12'},7.0
12,13,3,0,{205.08701785850002: 'C12'},6.0
12,13,4,0,{221.0819324785: 'C12'},6.0
12,14,2,1,{204.1030022747: 'C12'},6.0
12,14,3,1,{220.09791689469998: 'C12'},6.0
12,14,4,1,{236.0928315147: 'C12'},6.0
12,15,3,0,{207.10266792289997: 'C12'},5.0
12,15,4,0,{223.0975825429: 'C12'},5.0
12,16,2,1,{206.1186523391: 'C12'},5.0
12,16,3,1,{222.11356695909998: 'C12'},5.0
12,16,4,1,{238.10848157910002: 'C12'},5.0
12,17,3,0,{209.11831798729997: 'C12'},4.0
12,17,4,0,{225.1132326073: 'C12'},4.0
12,18,2,1,{208.13430240350002: 'C12'},4.0
12,18,3,1,{224.1292170235: 'C12'},4.0
12,18,4,1,{240.12413164350002: 'C12'},4.0
12,19,3,0,{211.13396805169998: 'C12'},3.0
12,19,4,0,{227.1288826717: 'C12'},3.0
12,20,2,1,{210.14995246790002: 'C12'},3.0
12,20,3,1,{226.1448670879: 'C12'},3.0
12,20,4,1,{242.13978170790003: 'C12'},3.0
12,21,3,0,{213.1496181161: 'C12'},2.0
12,21,4,0,{229.14453273610002: 'C12'},2.0
12,22,2,1,{212.16560253230003: 'C12'},2.0
12,22,3,1,{228.1605171523: 'C12'},2.0
12,22,4,1,{244.15543177230003: 'C12'},2.0
12,23,3,0,{215.1652681805: 'C12'},1.0
12,23,4,0,{231.16018280050002: 'C12'},1.0
12,24,2,1,{214.1812525967: 'C12'},1.0
12,24,3,1,{230.1761672167: 'C12'},1.0
12,24,4,1,{246.17108183669998: 'C12'},1.0
12,25,2,0,{201.1860036249: 'C12'},0.0
12,25,3,0,{217.1809182449: 'C12'},0.0
12,25,4,0,{233.17583286489997: 'C12'},0.0
12,26,1,1,{200.2019880411: 'C12'},0.0
12,26,2,1,{216.1969026611: 'C12'},0.0
12,26,3,1,{232.19181728110001: 'C12'},0.0
12,26,4,1,{248.1867319011: 'C12'},0.0
13,4,2,1,{206.02475195270003: 'C13'},12.0
13,4,3,1,{222.0196665727: 'C13'},12.0
13,4,4,1,{238.01458119270004: 'C13'},12.0
13,5,3,0,{209.0244176009: 'C13'},11.0
13,5,4,0,{225.01933222089997: 'C13'},11.0
13,6,2,1,{208.0404020171: 'C13'},11.0
13,6,3,1,{224.0353166371: 'C13'},11.0
13,6,4,1,{240.03023125709998: 'C13'},11.0
13,7,3,0,{211.0400676653: 'C13'},10.0
13,7,4,0,{227.03498228529998: 'C13'},10.0
