,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
L0,orig,2252135117,780297997,477664774,125397764,362205092,227010725,88205475,76064875,55746489,51825385,29303838,20609917,8169906,7370086,1385712,1204994,0,0,0,0
L0,354,2695753010,713772149,471837901,156461138,442970041,302189268,117704959,106238223,76847466,70183924,57386684,21637490,21558961,15014410,3006155,1323853,0,0,0,0
L0,378,1822249060,608674962,287049147,105205170,252292104,154094319,69044023,79470494,47267091,32724625,16535928,8018737,9089648,8837965,1760358,0,0,0,0,0
L0,402,1336854302,523651360,287615948,58419935,100684779,57293745,36523379,48280335,52983072,40387873,57665638,35540281,53828313,45283428,27158476,22518510,11394712,3007722,1493693,0
L0,426,481312027,500004241,269590506,15687076,20640952,7511018,2994558,32338623,9408266,8835404,11075408,18100722,36004843,14368288,0,8022405,0,0,0,0
L0,450,837458567,997965447,693559048,43555262,54541248,10165352,5009367,55621765,26414442,27994105,23642876,26354888,38381724,31391838,8518304,5960431,3420767,0,1553218,0
L2,orig,8871250816,3146841488,1724266128,485828096,1850423216,1075618832,315000080,420142560,257120944,145660432,211982048,46062560,18293040,125544880,19342848,0,0,0,0,0
L2,354,9150565722,3396498850,1765346011,707724022,1438338852,1058693103,530664747,455450430,354311528,293489230,225600513,167866198,130854839,89443043,54602030,31351584,14294060,1434141,0,0
L2,378,5658857608,2498567176,1056096993,381846003,765552585,494498174,265305873,239475675,205739559,169208771,134924790,126641833,105118589,78268641,32316726,19522076,5064415,0,0,0
L2,402,922461851,622215530,399809124,99113791,143255037,86825670,76297583,138219539,139237109,112596201,122689716,120166568,162871026,92181782,61303364,61665578,41685162,26137797,18395436,15118154
L2,426,763953752,941225713,559164991,37255324,33593928,7412513,13544561,84161440,66620905,66455391,84899590,95030708,188267544,83732828,57583969,67723915,47254199,34771147,22523881,17116091
L2,450,1021561690,1415576328,879257598,48528886,37917734,3587019,4149399,24098569,23925431,28535814,29504100,71403473,90880012,23180798,18820562,20786169,5997536,0,0,0
L5,orig,3288287344,1674152970,1373263938,634424569,810066650,689499034,354509539,287435055,199969873,155503053,108545328,80183197,62876534,34920223,10512722,10581904,1253163,0,0,0
L5,354,4012715368,1978071718,1397293768,575836182.5,731763600,628992380,350855317.5,362912470,240516082.5,178957502.5,104766070,87334537.5,94479097.5,21901725,7132452.5,0,0,0,0,0
L5,378,510025382,236744025,194150972,15074094,66548459,28859794,14235147,30407057,27574146,9991823,17143062,7206711,20714697,17667178,4125913,4180385,0,0,0,0
L5,402,342830494,144022067,156350216,39695839,73711980,43247270,78267218,147775145,147527152,103824500,112803201,112162890,177370737,88315165,72240165,67919577,53579147,34770650,22521899,12675783
L5,426,836739019,280078013,721282309,34619296,27194333,3275480,3673179,6668071,0,17267386,128611328,35156186,129496491,49257361,47851383,63096382,46060030,45500290,22542032,26288500
L5,450,1053445687,496084097,1274580629,51935640,40988790,15475462,6548755,9006349,0,7089517,74133170,59128761,156928354,44612564,34178662,60908267,43370102,23551796,10764517,8870460
L8,orig,3240387731,2777363564,2613900142,1347022482,1506587248,1255321639,766658580.5,522955315.7,403316824.7,335598880.8,227437760.5,193923447.9,130847652.7,86455025.84,46023594.44,11077265.44,0,0,0,0
L8,354,3489497906,2691431300,2618315964,1446497767,1635245459,1322984395,738378359,491306225,370170578,298771086,202463074,164627682,122224879,81085696,50080083,27589684,6204061,6400610,0,0
L8,378,495726200,415468205,211761147,19079602,51489875,22120619,22842170,31227284,32590926,16076321,17940728,32428364,51101425,29876520,16870372,13777085,1508551,0,0,0
L8,402,351087762,213814479,152611891,47130967,90777939,55846079,82302609,146361370,140833832,103320788,98902988,116433434,156861113,86779573,69113443,60765716,48443763,28125037,21828335,18925804
L8,426,411581786,294405792,377777803,32106837,32645855,23279676,34653640,90671774,108894535,71793587,115196501,112250682,212679986,88651529,80609619,91185809,69251992,49653962,35404940,26432832
L8,450,624658245,543786254,663916790,46676675,52708369,9324931,22827134,54266572,44866302,39930754,78635175,94116600,171175890,54610308,52241665,58783355,40324642,25783088,19747298,15172599
,,1.4194E+11,50349463808,27588258048,7773249536,29606771456,17209901312,5040001280,6722280960,4113935104,2330566912,3391712768,737000960,292688640,2008718080,309485568,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,10031788419,4945179294,3493234419,1439590456,1829409000,1572480950,877138293.8,907281175,601290206.3,447393756.3,261915175,218336343.8,236197743.8,54754312.5,17831131.25,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,4342119559,3721667176,3502626191,1805010126,2018826913,1682130996,1027322498,700760123.1,540444545.1,449702500.3,304766599,259857420.2,175335854.6,115849734.6,61671616.55,14843535.69,0,0,0,0
