,factor 1,factor 2,sample,temp
L0_orig,2.304634625,0.140762454,L0,orig
L0_354,-0.636024434,1.037586349,L0,354
L0_378,-0.611837687,0.974755167,L0,378
L0_402,-1.113952464,0.16754572,L0,402
L0_426,-0.406616714,-0.481360644,L0,426
L0_450,-0.190640374,-0.166661162,L0,450
L2_orig,2.50477689,0.163085468,L2,orig
L2_354,-0.651724669,1.4922329,L2,354
L2_378,-0.797917703,1.187512488,L2,378
L2_402,-1.201299525,-1.370187512,L2,402
L2_426,-0.825879944,-1.418180456,L2,426
L2_450,-0.303889206,-0.450963592,L2,450
L5_orig,-0.960330862,1.894839358,L5,orig
L5_354,-1.111881163,1.420659401,L5,354
L5_378,2.801326665,0.197772152,L5,378
L5_402,-0.612549073,-1.452177183,L5,402
L5_426,-0.397484251,-0.904393125,L5,426
L5_450,-0.32626666,-0.746616576,L5,450
L8_orig,2.545831829,0.168778888,L8,orig
L8_354,-1.405012074,2.167161512,L8,354
L8_378,3.232490777,0.245480189,L8,378
L8_402,-0.727356563,-1.530901907,L8,402
L8_426,-0.513748207,-1.461555766,L8,426
L8_450,-0.59464921,-1.275174124,L8,450
