,Score,Intercept,Coef
"bio,, therm,",-19.75661219274995,[383.51965066],[[0.05240175]]
"therm,, therm,",1.0,[1.13686838e-13],[[1.]]
"10,12, therm,",-5.5876392844140765,[416.06629794],[[-124.91434466]]
"10,13, therm,",-2.729191820830888,[439.52278738],[[-93.49475637]]
"10,14, therm,",-3.8437519874737247,[433.51163372],[[-52.60775542]]
"10,15, therm,",-8.207613075336221,[405.95594959],[[-46.89403033]]
"10,16, therm,",-5.197476252441173,[419.27959891],[[-31.2891217]]
"10,17, therm,",-7.035181040762086,[409.30398597],[[-19.63048771]]
"10,18, therm,",-9.243022781512453,[402.76973829],[[-11.08373134]]
"10,19, therm,",-7.700423953950209,[408.61590851],[[-6.7364665]]
"10,9, therm,",-13.277188813223525,[418.71092152],[[-77.15259182]]
"12,13, therm,",-19.035845597688024,[378.28676439],[[1.62797643]]
"12,14, therm,",-21.55003352301027,[389.56939306],[[-1.21893871]]
"12,15, therm,",-16.171069369343,[430.49490818],[[-30.66528755]]
"12,16, therm,",-27.681570033332004,[424.54218673],[[-9.00591165]]
"12,17, therm,",-19.170461129860843,[437.2125874],[[-12.38857602]]
"12,18, therm,",-16.27271776358388,[413.50112715],[[-5.86370102]]
"12,19, therm,",-26.099303126976036,[427.66349077],[[-3.36334443]]
"12,9, therm,",-12.371262737452307,[361.17064793],[[6.85515581]]
"13,14, therm,",-31.322213255983723,[492.80962319],[[-72.85818862]]
"13,15, therm,",-10.797413404437826,[413.27292953],[[-46.98350376]]
"13,16, therm,",-13.768323785946544,[438.27792322],[[-33.12142468]]
"13,17, therm,",-10.044374796360712,[421.31112051],[[-21.87108983]]
"13,18, therm,",-10.80267205054862,[410.15594584],[[-12.28670775]]
"13,19, therm,",-13.36348633103154,[418.84959576],[[-7.09328839]]
"13,9, therm,",-12.975980638916687,[348.94759546],[[35.85715623]]
"14,15, therm,",-10.956276200066327,[411.78296318],[[-69.92970247]]
"14,16, therm,",-10.303014692237833,[452.27452028],[[-64.18958212]]
"14,17, therm,",-7.838802764082831,[430.28431698],[[-43.56324591]]
"14,18, therm,",-9.850152173824837,[413.63100443],[[-22.71314354]]
"14,19, therm,",-11.001586379956061,[428.54447756],[[-14.72762027]]
"14,9, therm,",-20.058046878636347,[363.38171887],[[26.21207922]]
"15,16, therm,",-18.832894359484076,[377.19193427],[[1.93645227]]
"15,17, therm,",-22.93980048043191,[445.34073705],[[-21.58988012]]
"15,18, therm,",-21.403786730884946,[465.49891422],[[-26.97326141]]
"15,19, therm,",-22.652116472414736,[404.87394117],[[-2.34057465]]
"15,9, therm,",-20.22756205986211,[371.84111159],[[3.19731731]]
"16,17, therm,",-9.418739078193845,[464.10953065],[[-85.53656174]]
"16,18, therm,",-11.663880050709139,[423.70782553],[[-36.21807814]]
"16,19, therm,",-17.70484152077265,[469.58469124],[[-31.67089608]]
"16,9, therm,",-19.637819937726004,[367.10475479],[[18.7964233]]
"17,18, therm,",-17.94608910805474,[418.15215494],[[-31.02333672]]
"17,19, therm,",-21.941118782948028,[402.49711372],[[-6.30549471]]
"17,9, therm,",-21.482052559055678,[371.39097709],[[8.6480384]]
"18,19, therm,",-19.943798978001777,[389.38806671],[[-1.77352743]]
"18,9, therm,",-22.828006376486897,[374.1984036],[[5.04758537]]
"19,9, therm,",-22.365863393451864,[371.32406091],[[25.67817546]]
