sample,temp,n9,n12,n15
L0,402,36.15145017,39.76210957,24.08644026
L2,orig,44.73809852,38.10559593,17.15630554
L2,354,44.77529163,38.37277678,16.85193159
L2,378,39.20411939,37.60655179,23.18932882
L2,402,26.94539348,41.3857313,31.66887522
L2,426,10.60474168,44.94759437,44.44766395
L2,450,4.790913103,41.77561787,53.43346903
L5,orig,41.21632759,39.2828811,19.50079131
L5,354,38.94428918,40.22899727,20.82671355
L5,378,32.04526447,43.32822823,24.62650731
L5,402,26.42563115,43.6297954,29.94457345
L5,426,2.739444019,31.62620477,65.63435121
L5,450,1.959210754,29.22422365,68.81656559
L8,orig,28.29204433,40.857793,30.85016267
L8,354,35.11560125,40.55351782,24.33088093
L8,378,25.7270405,43.31316448,30.95979502
L8,402,24.6747622,43.63954222,31.68569558
L8,426,7.456877929,47.57167385,44.97144822
L8,450,4.752877423,43.12398676,52.12313582
