m/z,R00X159Y046,R00X104Y047,R00X163Y047,R00X165Y048,R00X167Y048,R00X175Y048,R00X164Y050,R00X182Y050,R00X189Y050,R00X127Y051,R00X172Y051,R00X289Y051,R00X145Y052,R00X156Y054,R00X157Y054,R00X201Y055,R00X218Y055,R00X248Y055,R00X128Y056,R00X115Y057,R00X177Y059,R00X156Y060,R00X279Y060,R00X191Y061,R00X088Y062,R00X163Y062,R00X166Y062,R00X167Y062,R00X175Y063,R00X086Y064,R00X140Y064,R00X249Y064,R00X173Y066,R00X242Y066,R00X155Y069,R00X164Y069,R00X142Y070,R00X148Y070,R00X163Y070,R00X186Y070,R00X112Y071,R00X142Y071,R00X234Y071,R00X301Y071,R00X170Y072,R00X168Y073,R00X215Y073,R00X237Y073,R00X075Y075,R00X154Y075,R00X160Y075,R00X168Y075,R00X233Y075,R00X099Y077,R00X142Y078,R00X145Y078,R00X168Y080,R00X139Y081,R00X154Y081,R00X139Y082,R00X235Y086
1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575109.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250745.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583621.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334388.84375,0.0,0.0,0.0,471893.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387978.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354839.375,0.0,0.0,0.0,0.0,0.0,0.0,378186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390368.40625
1280.16,0.0,0.0,548115.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598270.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278659.25,0.0,0.0,317187.25,0.0,0.0,0.0,0.0,0.0,0.0
1280.22,0.0,0.0,0.0,0.0,0.0,725935.9375,0.0,0.0,0.0,0.0,0.0,406899.3125,0.0,0.0,0.0,0.0,579940.6875,0.0,0.0,0.0,0.0,0.0,0.0,358902.6875,0.0,0.0,298596.3125,353820.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382776.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.25,702833.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845843.75,447101.90625,0.0,0.0,613798.1875,702939.0,0.0,0.0,407616.875,0.0,729753.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396462.875,0.0,0.0,0.0,0.0,0.0,453383.9375,0.0,0.0,629287.5,0.0,0.0,0.0,0.0,764238.375,0.0,859665.5,0.0,0.0,0.0,1344176.125,0.0,0.0,1035933.9375,0.0,0.0,0.0,0.0
1280.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668759.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.35,0.0,0.0,559920.0,609510.625,0.0,617037.125,0.0,322639.625,627294.875,0.0,0.0,362331.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434658.84375,0.0,0.0,0.0,0.0,0.0,314115.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337569.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463710.4375,0.0,0.0,0.0,867499.75,0.0,0.0,519631.9375,0.0
1280.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957020.3125,0.0,301744.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483165.5,0.0,0.0,0.0,0.0,0.0
1280.45,317014.4375,0.0,627377.875,0.0,0.0,0.0,0.0,0.0,764970.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557155.5,536952.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384658.3125,686426.0,0.0,0.0,0.0,0.0,0.0,389626.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492322.40625,0.0,0.0,360129.9375,0.0,0.0,329949.75,0.0,0.0,923550.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570420.5,0.0,0.0
1280.62,580419.75,1126499.84375,660304.375,0.0,0.0,2130344.6875,1305624.5625,1534523.71875,4952637.1875,1241911.5,1035927.5625,0.0,658857.5625,0.0,1517261.3125,0.0,1043697.125,697273.3125,0.0,3817245.875,0.0,1510137.71875,0.0,437638.0625,558065.8125,409402.59375,279822.71875,292748.3125,0.0,2011134.4375,0.0,333711.4375,1382340.40625,0.0,0.0,0.0,0.0,0.0,440766.625,428502.0625,0.0,1159287.25,1253451.5,0.0,0.0,403612.84375,0.0,741589.125,0.0,1273174.5625,261178.21875,0.0,0.0,2920082.3125,0.0,0.0,911217.75,682270.875,0.0,861910.3125,0.0
1280.78,549374.25,0.0,367132.28125,0.0,0.0,893595.5,490445.9375,350923.84375,2380276.5625,1418059.8125,0.0,0.0,1401175.625,785516.3125,0.0,0.0,461663.4375,981941.90625,527961.5625,2933646.25,644726.6875,723625.375,385931.90625,1336983.8125,0.0,854915.5625,0.0,253659.34375,960265.375,538516.9375,0.0,0.0,0.0,447434.90625,0.0,324892.84375,0.0,0.0,436027.3125,644413.125,869858.59375,982603.40625,0.0,0.0,0.0,646371.5625,0.0,0.0,695984.125,2088713.5,0.0,309877.6875,0.0,898594.5625,565553.5,430335.53125,1395453.5,598409.0625,347827.71875,907649.53125,0.0
1280.81,0.0,0.0,0.0,0.0,0.0,0.0,578419.6875,295999.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554142.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.87,0.0,0.0,696671.25,520217.875,0.0,0.0,0.0,0.0,779454.6875,772819.8125,0.0,365155.5,0.0,0.0,0.0,0.0,1441648.625,689099.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461093.8125,0.0,0.0,288777.6875,0.0,315792.0625,0.0,497302.375,0.0,0.0,0.0,795318.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863294.0625,446248.5,418931.8125,0.0,0.0,0.0,0.0,0.0,0.0,1157957.125,0.0,0.0,578228.3125,0.0
1280.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454112.5625,0.0,0.0,0.0,0.0,0.0
