m/z,R00X105Y044,R00X136Y045,R00X160Y045,R00X163Y045,R00X166Y046,R00X126Y047,R00X146Y047,R00X209Y047,R00X179Y048,R00X195Y048,R00X211Y048,R00X128Y049,R00X134Y049,R00X128Y050,R00X181Y050,R00X126Y051,R00X131Y052,R00X181Y052,R00X167Y054,R00X175Y055,R00X254Y055,R00X114Y056,R00X138Y056,R00X225Y056,R00X241Y056,R00X116Y058,R00X136Y059,R00X169Y059,R00X148Y060,R00X150Y060,R00X167Y060,R00X147Y061,R00X108Y062,R00X135Y062,R00X241Y062,R00X164Y063,R00X168Y063,R00X238Y064,R00X241Y064,R00X242Y064,R00X300Y064,R00X235Y065,R00X155Y066,R00X158Y066,R00X195Y066,R00X116Y067,R00X145Y067,R00X238Y067,R00X248Y067,R00X085Y068,R00X151Y068,R00X169Y068,R00X106Y069,R00X112Y069,R00X123Y069,R00X162Y069,R00X238Y069,R00X300Y069,R00X105Y070,R00X121Y070,R00X122Y070,R00X203Y070,R00X103Y071,R00X216Y071,R00X164Y072,R00X167Y072,R00X267Y072,R00X127Y073,R00X154Y073,R00X190Y073,R00X157Y074,R00X168Y074,R00X161Y075,R00X191Y075,R00X101Y076,R00X154Y076,R00X156Y076,R00X214Y076,R00X236Y076,R00X140Y077,R00X099Y078,R00X153Y078,R00X157Y078,R00X120Y079,R00X129Y079,R00X140Y081,R00X163Y081,R00X173Y081,R00X124Y082,R00X130Y082,R00X156Y082,R00X206Y082,R00X215Y083,R00X232Y086,R00X234Y089,R00X234Y090
1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247189.671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.04,0.0,0.0,482476.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595809.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672669.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272206.1875,0.0,0.0,0.0,549038.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408987.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484139.125,0.0,0.0,0.0,0.0,0.0,0.0,469310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435256.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.36,616815.625,404837.65625,1228617.3125,0.0,0.0,0.0,627261.5,0.0,253904.296875,0.0,0.0,1008411.9375,0.0,375165.625,340209.0,732137.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593518.0625,0.0,0.0,0.0,0.0,0.0,0.0,599868.28125,0.0,0.0,261637.203125,0.0,1405999.0,0.0,422494.78125,0.0,0.0,0.0,0.0,0.0,0.0,315502.375,0.0,336606.46875,0.0,0.0,0.0,547788.3125,0.0,0.0,0.0,512680.65625,0.0,0.0,0.0,0.0,816276.0625,329335.0,0.0,0.0,0.0,711015.8125,358410.46875,0.0,278140.84375,742824.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030847.1875,2204179.375,1330365.9375,359827.71875,700416.5625,474584.96875,0.0,689561.5625,0.0,1209580.25,0.0,0.0,0.0,615841.9375,487521.625,0.0
1280.62,1021640.65625,2067822.6875,648619.875,0.0,2678052.125,802344.84375,1039581.5625,0.0,0.0,0.0,282951.40625,1604199.5625,599221.75,997654.96875,294687.59375,2047769.375,968045.8125,849341.21875,1546226.5625,329541.34375,0.0,443715.71875,447291.4375,0.0,887852.03125,1578427.5625,428469.0625,1256991.25,1273941.46875,658367.53125,1241917.78125,1142226.9375,1810332.0625,297949.875,399586.53125,283478.1875,0.0,1528273.25,700847.1875,928084.96875,331346.0625,0.0,919869.90625,287355.15625,1045084.5625,0.0,2523755.9375,294637.375,708446.1875,494583.46875,0.0,1300623.9375,1450044.75,1197028.75,0.0,385655.46875,397110.15625,1414485.5625,355636.90625,0.0,0.0,1872732.625,1821258.1875,640102.484375,461316.59375,2904484.125,1164223.3125,1035256.09375,1854412.90625,1495398.28125,0.0,1259132.4375,381460.65625,0.0,3798125.875,1976488.5,2014539.75,0.0,0.0,762631.3125,1253848.3125,0.0,0.0,1298158.09375,632208.6875,0.0,0.0,441893.1875,0.0,661432.0625,886719.8125,1278342.5,0.0,652293.59375,0.0,430515.5625
1280.83,0.0,0.0,703285.3125,469333.46875,493304.15625,0.0,1606893.25,0.0,0.0,0.0,0.0,0.0,501375.5625,0.0,327592.03125,828717.625,0.0,641701.59375,500083.46875,250895.6875,0.0,0.0,2267186.4375,0.0,347932.71875,570843.625,0.0,588895.0625,645807.0,337466.53125,0.0,0.0,2245145.1875,0.0,464022.59375,0.0,0.0,971495.25,0.0,768672.09375,0.0,1280906.1875,785452.6875,1087866.59375,779023.25,0.0,2821018.8125,0.0,0.0,519034.21875,0.0,1070277.125,0.0,0.0,0.0,1692384.1875,0.0,331479.40625,0.0,1189884.5,377622.3125,1528102.375,907368.3125,681740.53125,847197.28125,1201066.125,648947.8125,0.0,1368670.96875,0.0,0.0,0.0,0.0,0.0,0.0,1801086.21875,1538068.3125,269820.9375,340218.90625,0.0,1191978.125,0.0,1788105.0,1156488.25,837145.8125,0.0,0.0,1304800.125,0.0,1958665.5,2781620.3125,378183.90625,0.0,0.0,476381.34375,963921.9375
1280.87,0.0,0.0,0.0,488484.375,0.0,0.0,0.0,0.0,249334.796875,0.0,0.0,899084.1875,0.0,757390.375,277800.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716479.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050786.75,0.0,585447.0625,0.0,458911.625,0.0,0.0,677339.9375,0.0,675898.125,0.0,0.0,0.0,0.0,998761.875,0.0,779352.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704441.25,343977.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974743.875,0.0,0.0,0.0,0.0,1539999.125,0.0,0.0,2097275.75,0.0,0.0,0.0,0.0,613363.125,0.0,0.0,0.0,0.0,606985.875,0.0,0.0,0.0,776183.75,0.0,418069.5
