m/z,R00X095Y043,R00X112Y044,R00X130Y044,R00X098Y045,R00X151Y045,R00X177Y046,R00X193Y046,R00X140Y047,R00X149Y047,R00X135Y048,R00X176Y048,R00X222Y048,R00X229Y049,R00X239Y049,R00X265Y049,R00X275Y049,R00X090Y050,R00X183Y050,R00X273Y050,R00X292Y050,R00X300Y051,R00X097Y052,R00X168Y052,R00X274Y052,R00X275Y052,R00X276Y052,R00X298Y052,R00X299Y052,R00X091Y053,R00X136Y053,R00X201Y053,R00X087Y054,R00X134Y054,R00X197Y054,R00X226Y054,R00X265Y054,R00X277Y054,R00X289Y054,R00X294Y054,R00X083Y055,R00X128Y055,R00X174Y055,R00X219Y055,R00X284Y055,R00X285Y055,R00X169Y056,R00X171Y056,R00X233Y056,R00X081Y057,R00X222Y057,R00X235Y057,R00X272Y057,R00X283Y057,R00X083Y058,R00X269Y058,R00X270Y058,R00X283Y058,R00X082Y059,R00X088Y059,R00X224Y059,R00X266Y059,R00X272Y059,R00X212Y060,R00X300Y060,R00X301Y060,R00X118Y061,R00X261Y061,R00X268Y061,R00X281Y061,R00X289Y061,R00X300Y061,R00X124Y062,R00X281Y062,R00X143Y063,R00X211Y063,R00X214Y063,R00X262Y063,R00X267Y063,R00X270Y063,R00X275Y063,R00X282Y063,R00X283Y063,R00X295Y063,R00X204Y064,R00X217Y064,R00X231Y064,R00X267Y064,R00X078Y065,R00X098Y065,R00X264Y065,R00X280Y065,R00X078Y066,R00X117Y066,R00X230Y066,R00X257Y066,R00X263Y066,R00X081Y067,R00X121Y067,R00X266Y067,R00X282Y067,R00X073Y068,R00X260Y068,R00X275Y068,R00X113Y069,R00X078Y070,R00X226Y070,R00X259Y070,R00X274Y070,R00X286Y070,R00X137Y071,R00X139Y071,R00X190Y071,R00X259Y071,R00X228Y072,R00X250Y072,R00X266Y072,R00X133Y074,R00X146Y074,R00X222Y074,R00X297Y074,R00X178Y075,R00X199Y076,R00X250Y076,R00X091Y077,R00X138Y077,R00X219Y077,R00X254Y077,R00X262Y077,R00X204Y078,R00X245Y078,R00X268Y078,R00X206Y079,R00X275Y079,R00X136Y080,R00X159Y080,R00X219Y080,R00X261Y080,R00X268Y080,R00X129Y081,R00X209Y081,R00X289Y081,R00X126Y082,R00X147Y082,R00X180Y082,R00X257Y082,R00X274Y082,R00X125Y083,R00X252Y084,R00X170Y085,R00X287Y085,R00X205Y086,R00X256Y086,R00X271Y086,R00X191Y087,R00X251Y088,R00X264Y088,R00X244Y089,R00X263Y091,R00X268Y092
1280.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311266.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207193.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369411.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525825.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473762.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374229.59375,0.0,0.0,0.0,0.0
1280.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352825.8125,0.0,0.0,0.0,0.0,0.0,0.0,443670.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527220.8125,594783.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721710.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565580.8125,0.0,0.0,0.0,332701.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294019.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489130.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489081.1875,500432.8125,0.0,0.0,0.0,0.0,0.0,380110.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432897.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569593.8125,0.0,633549.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.3,831874.0625,0.0,0.0,0.0,629534.5625,504275.90625,0.0,0.0,0.0,322128.09375,0.0,591173.4375,0.0,0.0,1271222.125,447190.0625,0.0,675623.5625,0.0,0.0,0.0,0.0,0.0,0.0,743534.9375,0.0,0.0,0.0,0.0,0.0,0.0,1513955.1875,513483.0,0.0,0.0,463917.625,0.0,347457.15625,0.0,818081.3125,0.0,710862.875,0.0,0.0,449738.375,0.0,354522.21875,297613.75,0.0,0.0,0.0,0.0,0.0,410164.15625,0.0,0.0,0.0,0.0,344697.09375,0.0,565138.5625,0.0,0.0,0.0,0.0,319043.40625,0.0,0.0,1478105.5625,0.0,0.0,0.0,489167.5,0.0,0.0,618781.25,0.0,0.0,723216.1875,0.0,0.0,742312.1875,0.0,0.0,302788.21875,0.0,591132.0625,535023.4375,0.0,0.0,721194.78125,0.0,512909.90625,0.0,850702.6875,0.0,462546.125,0.0,828960.28125,353457.5,0.0,0.0,400959.4375,0.0,0.0,0.0,336402.6875,0.0,0.0,0.0,0.0,0.0,871219.4375,0.0,0.0,0.0,1236228.375,0.0,0.0,0.0,857238.875,0.0,0.0,0.0,0.0,0.0,0.0,327952.21875,411926.125,0.0,0.0,1096582.875,372550.84375,0.0,0.0,722101.25,0.0,0.0,721853.125,415386.0625,799105.8125,477690.71875,0.0,0.0,0.0,0.0,0.0,0.0,368618.75,1601095.5625,557052.0,0.0,0.0,0.0,0.0,505641.53125,0.0,0.0,0.0
1280.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702640.8125,0.0,0.0,0.0,0.0,0.0,0.0,564704.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519054.125,0.0,0.0,556399.3125,0.0,601215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414244.34375,0.0,0.0,643810.25,0.0,0.0,0.0,0.0,491049.90625,0.0,0.0,0.0,489759.46875,0.0,0.0,0.0,0.0,0.0,0.0,327023.625,0.0,0.0,0.0,491162.84375,0.0,0.0,532133.125,0.0,0.0,742162.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403184.59375,0.0,0.0,0.0,0.0,0.0,0.0,706612.125,0.0,0.0,0.0,508465.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566057.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628897.0625,0.0,0.0,0.0,0.0,372467.90625,669681.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965471.875,0.0,0.0,0.0,0.0,0.0,437160.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440989.4375,0.0,0.0,0.0,0.0
1280.62,2137406.53125,1703547.0625,0.0,1286197.0625,808458.5625,0.0,351229.875,1562505.125,0.0,420751.9375,726327.625,2332973.5,0.0,0.0,1460495.875,1756429.71875,0.0,836037.625,0.0,0.0,0.0,737434.90625,1157046.0625,0.0,487012.25,2357829.0,1158691.6875,0.0,1336671.1875,725912.5625,541651.5,0.0,858879.5625,460233.21875,536871.375,510669.28125,1860229.9375,0.0,0.0,0.0,0.0,735375.9375,459263.375,0.0,0.0,1471207.4375,509486.84375,339047.03125,869270.03125,0.0,1512374.0625,969580.28125,756374.0,859902.8125,673524.8125,541686.0,3361721.3125,525861.0625,341237.6875,0.0,1715055.125,520585.71875,0.0,0.0,445715.71875,1067177.5,896802.5625,0.0,458085.59375,741433.71875,0.0,878837.34375,1824350.8125,1235820.0,1197413.75,819431.8125,899680.9375,458987.1875,4643969.875,0.0,1602932.25,528604.9375,0.0,385357.25,285136.40625,1888705.625,2355907.6875,1865662.75,0.0,1202556.0,1684241.9375,750748.1875,2260768.53125,980687.9375,3186203.9375,593469.3125,1657085.6875,477347.15625,1034449.125,428123.09375,0.0,1364520.25,0.0,976158.84375,982343.5625,367561.34375,496718.21875,0.0,2833540.3125,1724257.8125,566163.1875,0.0,0.0,0.0,1337784.3125,0.0,568172.0625,0.0,3036744.0,4176358.0625,3168197.6875,916632.4375,919066.8125,1589778.5625,1016694.75,0.0,611703.4375,401400.03125,1040517.6875,1544667.0,0.0,494296.21875,787365.0,589191.875,428115.9375,0.0,0.0,0.0,2528500.1875,705410.9375,3360255.75,851220.6875,0.0,0.0,384935.25,1362633.4375,1152136.03125,1318125.25,909173.96875,2683787.75,2420029.3125,462183.625,0.0,443804.59375,713894.125,852957.9375,529246.5625,477433.0625,1272703.125
1280.87,1203611.125,969611.96875,0.0,484694.6875,0.0,642083.6875,307002.90625,0.0,407490.09375,0.0,702662.125,1247369.75,0.0,1986198.375,0.0,437055.375,484488.0625,0.0,531493.5625,0.0,0.0,0.0,0.0,0.0,495617.6875,814219.25,1391651.71875,786432.875,0.0,0.0,0.0,0.0,1415819.9375,1099957.5,380812.875,387384.90625,984057.75,0.0,0.0,670042.375,0.0,426656.40625,573370.1875,0.0,0.0,479837.375,505200.59375,0.0,412435.125,0.0,1326361.6875,451739.5,565924.6875,467812.40625,0.0,0.0,1557973.9375,1098400.09375,1436728.5,0.0,350361.125,0.0,0.0,574010.0,669790.875,0.0,527982.75,585734.5625,1461397.0,0.0,0.0,307391.875,0.0,0.0,3749184.0625,2266042.875,3561566.625,0.0,1353580.9375,0.0,0.0,0.0,0.0,659716.375,667954.3125,1086037.375,647849.125,1593303.375,1650778.125,951208.28125,923201.78125,1961896.25,478705.0,1173259.75,1422182.625,802966.5625,1305403.125,1311209.65625,411315.625,0.0,0.0,711294.375,0.0,0.0,0.0,0.0,391743.40625,0.0,5179979.0625,3345066.4375,2610084.25,569936.4375,0.0,0.0,1629992.5625,0.0,1117158.1875,0.0,996199.46875,1075588.0,1881013.0625,2423868.1875,740156.4375,1238086.3125,0.0,753448.53125,0.0,0.0,360880.15625,1199404.5,0.0,0.0,1382037.15625,1193093.875,0.0,1523837.3125,1000178.65625,0.0,503008.875,0.0,3724942.125,731240.8125,369338.875,0.0,0.0,1797549.75,1200553.0625,1228956.3125,0.0,596438.0,531579.8125,0.0,1345063.875,0.0,1259936.90625,0.0,451168.8125,740906.46875,0.0
1280.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965427.0625,495336.34375,0.0,0.0,556259.6875,426405.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481153.375,358328.46875,0.0,0.0,364679.84375,0.0,0.0,0.0,557015.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517443.6875,0.0,428255.84375,0.0,588320.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507590.84375,0.0,0.0,0.0,0.0,0.0,0.0,1001035.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655291.9375,0.0,0.0,453135.59375,0.0,390974.96875,0.0,0.0,0.0,0.0,266528.9375,0.0,400670.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727987.125,0.0,0.0,0.0,765563.4375,0.0,0.0,0.0,0.0,0.0,0.0,469133.71875,383696.6875,597000.1875,0.0,0.0,0.0,0.0,428492.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502947.65625,0.0,0.0,0.0,0.0,0.0,0.0,1156293.75
1280.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018901.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729002.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495684.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443333.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832029.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623635.875,0.0,0.0,0.0,435528.8125,0.0,410762.21875,0.0,0.0
1281.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314551.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649847.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424612.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500235.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
