m/z,R00X094Y044,R00X211Y047,R00X093Y048,R00X142Y048,R00X241Y049,R00X092Y050,R00X142Y050,R00X212Y051,R00X252Y052,R00X277Y052,R00X300Y052,R00X147Y054,R00X114Y055,R00X270Y055,R00X279Y055,R00X092Y056,R00X126Y056,R00X127Y056,R00X272Y056,R00X295Y056,R00X303Y056,R00X143Y059,R00X212Y059,R00X124Y060,R00X283Y060,R00X286Y061,R00X077Y062,R00X127Y063,R00X130Y063,R00X231Y063,R00X260Y064,R00X280Y064,R00X072Y065,R00X070Y066,R00X076Y067,R00X100Y067,R00X127Y067,R00X272Y067,R00X272Y068,R00X266Y069,R00X219Y070,R00X225Y070,R00X268Y070,R00X177Y071,R00X115Y072,R00X218Y072,R00X223Y072,R00X233Y072,R00X248Y074,R00X218Y077,R00X188Y079,R00X269Y079,R00X273Y081,R00X235Y082,R00X254Y082,R00X271Y083,R00X247Y084,R00X167Y085,R00X168Y085,R00X218Y085,R00X246Y085,R00X194Y086,R00X242Y087,R00X216Y088,R00X246Y088,R00X270Y088,R00X284Y088,R00X266Y092
1280.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710432.625,0.0,0.0,100228.28125,0.0,597635.0,0.0,0.0,616131.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369103.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311545.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394393.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543675.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.15,0.0,0.0,0.0,0.0,0.0,610285.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278268.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.34,283017.75,0.0,0.0,0.0,0.0,931857.21875,0.0,0.0,1134923.625,984842.21875,0.0,0.0,760317.4375,664475.3125,0.0,351424.34375,894314.1875,423075.09375,0.0,0.0,288679.0,449945.6875,358203.53125,0.0,416777.875,1042888.59375,0.0,0.0,619158.4375,590959.125,374051.46875,539240.8125,0.0,382453.34375,624495.0,0.0,0.0,0.0,0.0,0.0,383631.53125,0.0,0.0,0.0,0.0,0.0,627862.5,619195.5,0.0,0.0,0.0,0.0,0.0,0.0,544933.3125,540394.4375,0.0,631375.4375,0.0,0.0,0.0,0.0,0.0,0.0,675902.1875,1392332.8125,0.0,0.0
1280.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495800.875,0.0,0.0,0.0,499871.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627728.0625,0.0,689833.0,0.0,0.0,0.0,0.0,0.0,553580.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.62,673180.3125,2245792.25,1580442.5625,2996392.0625,0.0,923434.625,0.0,1763150.25,4157831.5625,2116246.625,763416.75,0.0,1275856.25,1178474.75,6870060.3125,1283957.125,1470664.4375,369722.3125,1077548.65625,0.0,496982.1875,1233484.4375,457630.75,813479.75,1424280.75,413950.46875,2777116.25,0.0,467391.59375,0.0,1010137.9375,1256741.375,0.0,327838.65625,2207604.84375,0.0,0.0,1407033.875,0.0,604122.25,524720.4375,2973005.75,464989.09375,0.0,1235360.15625,806169.53125,2460445.5,0.0,436387.15625,0.0,0.0,0.0,2726488.625,0.0,2450246.1875,842075.5625,829725.3125,0.0,1104823.40625,534138.4375,1169758.875,0.0,1341252.3125,2000068.5625,1425090.125,2189157.28125,3151653.9375,505244.125
1280.76,354426.8125,841932.6875,530731.0625,597825.625,415139.0625,399098.8125,506870.5625,0.0,1417189.125,1219962.875,0.0,786541.875,0.0,746758.1875,2175508.25,343817.53125,502904.40625,0.0,0.0,0.0,0.0,0.0,0.0,396818.15625,0.0,0.0,697574.4375,0.0,964254.59375,0.0,604759.4375,0.0,320578.9375,540744.875,2026201.6875,0.0,0.0,533704.6875,0.0,721164.1875,0.0,2002418.6875,0.0,0.0,451170.5625,0.0,1155114.5,0.0,0.0,0.0,0.0,361806.375,510476.875,0.0,1538767.9375,0.0,0.0,1217581.625,0.0,573578.8125,0.0,0.0,0.0,0.0,0.0,2376838.625,1029066.875,0.0
1280.87,0.0,0.0,542740.25,791875.25,0.0,380880.46875,499148.65625,1030692.40625,0.0,1945059.875,0.0,0.0,0.0,0.0,0.0,0.0,496180.96875,508977.53125,0.0,0.0,0.0,446335.5625,387881.5,0.0,494100.5625,401572.75,0.0,0.0,0.0,974080.40625,0.0,723450.3125,549572.6875,304496.6875,777129.0,0.0,0.0,614087.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536426.875,0.0,0.0,266963.6875,0.0,0.0,0.0,585771.875,378343.59375,0.0,0.0,425766.5,0.0,0.0,0.0,640409.0,679358.375,0.0,0.0,0.0
1280.96,0.0,486842.5,0.0,0.0,0.0,458853.375,0.0,0.0,0.0,2684377.25,396447.71875,0.0,605124.4375,0.0,0.0,0.0,416685.28125,0.0,0.0,1070199.125,339493.15625,0.0,0.0,0.0,0.0,615875.25,0.0,0.0,0.0,0.0,430304.9375,0.0,0.0,0.0,715776.3125,0.0,0.0,955966.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391080.875,0.0,0.0,0.0,1086124.96875,0.0,0.0
1281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469715.9375,0.0,0.0,0.0,0.0,0.0,0.0,370193.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398714.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617700.9375,0.0,0.0,0.0,0.0,0.0,366574.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358739.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345615.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377051.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711490.6875,0.0
1281.21,325116.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528224.875,0.0,0.0,0.0,0.0,619218.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591426.9375,271183.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388785.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411022.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269543.21875,478147.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433573.03125,635452.1875,0.0
1281.26,0.0,369300.09375,774976.5,0.0,0.0,580208.0625,0.0,0.0,0.0,850716.8125,0.0,0.0,0.0,835092.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540929.0625,0.0,0.0,0.0,0.0,774873.0,0.0,590848.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543417.4375,0.0,0.0,687591.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478968.375,0.0,0.0,0.0
1281.35,0.0,0.0,0.0,0.0,0.0,383791.78125,709290.3125,0.0,0.0,493552.5,0.0,0.0,0.0,525437.8125,0.0,0.0,452275.28125,367706.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454053.9375,0.0,0.0,0.0,0.0,0.0,0.0,403869.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384388.21875,0.0,0.0,0.0,0.0,0.0,0.0,272964.4375,0.0,0.0,0.0,0.0,0.0,646590.3125,340331.71875,0.0,0.0,0.0,0.0,408058.90625,0.0,674862.125,0.0,0.0
1281.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594262.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675197.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458552.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.62,590619.875,1032895.8125,1555060.6875,1612854.625,853444.15625,445457.59375,559472.75,1286082.90625,4357066.25,1981090.96875,0.0,1829369.3125,389860.46875,1542167.1875,2828858.5,434383.4375,1978023.75,0.0,795925.9375,0.0,0.0,600865.625,579503.625,959743.28125,688030.875,395288.78125,1499104.1875,724662.65625,503239.0,1031060.625,571365.25,1051387.0,335336.5,0.0,645771.75,329335.1875,0.0,550283.6875,0.0,431579.8125,431919.1875,1791678.8125,922194.5,0.0,0.0,859091.46875,2941835.8125,0.0,0.0,0.0,0.0,337359.21875,2480571.3125,0.0,2707366.8125,0.0,0.0,1140924.75,0.0,375259.875,418782.21875,376670.25,1476162.625,397949.53125,1166636.40625,1556689.46875,2789938.375,1603470.53125
1281.69,0.0,695612.9375,0.0,587567.625,0.0,0.0,0.0,666786.1875,2258391.5,1431784.375,0.0,0.0,0.0,775555.6875,0.0,0.0,0.0,0.0,763277.1875,0.0,0.0,0.0,318066.1875,0.0,549945.9375,878356.125,0.0,282449.03125,365081.0625,1995481.4375,0.0,0.0,322686.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330125.59375,1723930.875,0.0,0.0,620999.4375,424441.78125,1225731.5,462152.8125,0.0,0.0,0.0,0.0,716989.5,0.0,1122472.5,0.0,0.0,797252.875,537970.8125,0.0,0.0,0.0,0.0,0.0,0.0,1006418.34375,551783.875,0.0
