m/z,R00X141Y046,R00X153Y047,R00X155Y050,R00X283Y050,R00X302Y050,R00X263Y051,R00X109Y052,R00X180Y052,R00X094Y053,R00X267Y054,R00X283Y054,R00X284Y054,R00X089Y056,R00X173Y056,R00X126Y057,R00X286Y057,R00X081Y058,R00X145Y058,R00X236Y058,R00X265Y058,R00X290Y059,R00X136Y063,R00X158Y063,R00X183Y063,R00X284Y063,R00X151Y064,R00X182Y064,R00X285Y064,R00X116Y065,R00X275Y065,R00X267Y066,R00X280Y066,R00X205Y067,R00X271Y067,R00X069Y068,R00X276Y068,R00X116Y070,R00X270Y070,R00X271Y071,R00X272Y071,R00X273Y071,R00X180Y072,R00X276Y072,R00X268Y074,R00X174Y076,R00X187Y076,R00X124Y078,R00X267Y079,R00X246Y082,R00X169Y083,R00X201Y084,R00X221Y084,R00X217Y086,R00X247Y086,R00X204Y087,R00X266Y087,R00X262Y088
1280.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513490.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335709.78125,0.0,0.0,0.0,0.0
1280.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526355.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272780.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387856.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601461.0,344877.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.26,0.0,0.0,0.0,0.0,575872.6875,0.0,0.0,0.0,0.0,386593.9375,0.0,0.0,0.0,0.0,0.0,0.0,453375.09375,0.0,0.0,330883.3125,0.0,0.0,0.0,411213.65625,0.0,0.0,0.0,418684.21875,0.0,364749.90625,0.0,356860.71875,580933.8125,0.0,975460.25,331399.25,0.0,0.0,0.0,0.0,0.0,515592.3125,0.0,0.0,489859.78125,0.0,693554.9375,0.0,0.0,0.0,0.0,0.0,308205.125,0.0,380285.78125,0.0,0.0
1280.3,0.0,0.0,0.0,0.0,0.0,230589.703125,0.0,295798.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514283.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.35,0.0,0.0,0.0,0.0,0.0,0.0,1298262.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566368.8125,0.0,0.0,0.0,0.0,520336.375,0.0,0.0,0.0,0.0,0.0,537115.4375,0.0,0.0,0.0,345466.3125,0.0,0.0,0.0,0.0,0.0,444123.84375,500344.0625,0.0,0.0,296866.46875,0.0,467054.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409689.3125,0.0
1280.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339611.09375,0.0,0.0,0.0,0.0,0.0,0.0,565906.0625,528387.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.47,0.0,0.0,0.0,1169628.0,2352195.75,0.0,1039235.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489419.0625,0.0,0.0,341606.15625,645279.3125,0.0,604907.5,468103.3125,0.0,0.0,0.0,0.0,1372208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472844.4375,619510.25,467685.46875,668282.0,384764.875,533935.625,0.0,0.0,335184.03125,0.0,432525.15625,645255.625,346681.9375,0.0,0.0,0.0,0.0,1144222.25
