,Intercept,Score,Coef
"1280.87, 1283.62",[0.0308709],0.5036072864643615,[[0.54015703]]
"1280.87, 1293.62",[0.02859961],0.21480678853974344,[[0.31041092]]
"1280.87, 1298.62",[0.02449775],0.29939321953722997,[[0.2569965]]
"1280.87, 1309.62",[0.03038015],0.252918341633825,[[0.23632824]]
"1281.37, 1298.62",[0.02706177],0.257689029820768,[[0.46471757]]
"1281.62, 1284.73",[0.00859593],0.327856636695148,[[0.22295392]]
"1281.62, 1292.82",[0.01968535],0.22734227729784628,[[0.32758314]]
"1281.62, 1303.84",[0.0162113],0.5295390129508941,[[0.25494442]]
"1281.62, 1322.71",[0.01775813],0.2638803759575872,[[0.22615522]]
"1281.62, 1344.55",[0.01276897],0.5846448451538212,[[0.53649026]]
"1281.87, 1291.62",[0.02937651],0.36051933221146204,[[0.32033353]]
"1281.87, 1292.82",[0.01897827],0.3530709218175583,[[0.37724425]]
"1281.87, 1295.79",[0.01829622],0.3765764780878287,[[0.40052003]]
"1281.87, 1298.8",[0.01688794],0.5026626273573493,[[0.38723539]]
"1281.87, 1308.62",[0.03154915],0.28727432952300025,[[0.3342478]]
"1281.87, 1339.32",[0.02229348],0.23259552566930675,[[0.17638771]]
"1282.62, 1301.03",[0.03684518],0.2200534769440504,[[-0.15593314]]
"1282.62, 1318.37",[0.01465375],0.22344305019037036,[[0.42163369]]
"1282.82, 1287.62",[0.02898599],0.25235155072898485,[[0.5961111]]
"1282.82, 1290.62",[0.02567121],0.32619594420456577,[[0.68358667]]
"1282.82, 1291.87",[0.02704005],0.406530671759591,[[0.60330713]]
"1282.82, 1294.62",[0.02780354],0.3116540109025937,[[0.29218826]]
"1282.82, 1296.78",[0.01955622],0.2954770875212622,[[0.36678342]]
"1282.82, 1297.62",[0.03075106],0.20357987408478562,[[0.74037521]]
"1282.82, 1298.8",[0.01645151],0.4303569822506073,[[0.68220125]]
"1282.82, 1309.62",[0.03067146],0.25836159550885607,[[0.48351948]]
"1282.82, 1316.62",[0.02600226],0.42916184472706875,[[0.55241139]]
"1283.62, 1285.87",[0.02196911],0.20072888028645364,[[0.23285575]]
"1283.62, 1292.82",[0.0222831],0.4372169187124724,[[0.30325819]]
"1283.62, 1299.87",[0.02019891],0.4346745550082516,[[0.42777865]]
"1283.62, 1303.84",[0.02098419],0.3588646233315864,[[0.18925327]]
"1283.62, 1313.77",[0.0167132],0.21581307875087286,[[0.20522877]]
"1284.62, 1293.68",[0.0151068],0.20626176593798318,[[0.08979813]]
"1285.62, 1295.79",[0.02168959],0.3120876591689783,[[0.17573514]]
"1285.62, 1301.85",[0.02008884],0.33341588533447264,[[0.22213619]]
"1285.62, 1319.43",[0.06965308],0.28347317194378385,[[1.36797062]]
"1285.62, 1322.71",[0.01713777],0.2744779116230298,[[0.17903091]]
"1285.62, 1333.51",[0.02057078],0.2882960685281173,[[0.09307767]]
"1285.87, 1295.79",[0.01091979],0.23748580961071444,[[0.46351563]]
"1285.87, 1301.85",[0.02375838],0.3388662878686892,[[0.17167775]]
"1286.62, 1294.87",[0.02073599],0.21532920701320635,[[0.22876294]]
"1286.81, 1291.62",[0.03669075],0.23270080591283182,[[0.45981655]]
"1286.81, 1304.62",[0.02418487],0.456496511744237,[[0.50481663]]
"1287.62, 1289.87",[0.02030576],0.31652230451192487,[[0.13942211]]
"1287.62, 1295.79",[0.0213267],0.3946790193690316,[[0.1880215]]
"1287.62, 1296.78",[0.01920645],0.30561284507434694,[[0.13567048]]
"1287.62, 1299.87",[0.02415729],0.25820328130592385,[[0.38917818]]
"1287.62, 1344.55",[0.02681841],0.3449926554300138,[[0.3824858]]
"1287.87, 1292.82",[0.01550344],0.37367155852759754,[[0.77854035]]
"1287.87, 1301.85",[0.0234139],0.23628024542494053,[[0.38223828]]
"1287.97, 1314.0",[-0.00252862],0.8599740381593377,[[0.69367443]]
"1288.62, 1294.87",[0.01682693],0.2963383386726187,[[0.30484338]]
"1288.62, 1304.81",[0.01975128],0.22660057345479667,[[0.19865751]]
"1288.98, 1312.97",[0.01093326],0.896381320453983,[[0.97916723]]
"1288.98, 1314.0",[-0.00457157],0.7310640376146752,[[0.62309906]]
"1288.98, 1335.97",[0.00536572],0.9403265107711267,[[0.81353555]]
"1288.98, 1359.97",[0.00507462],0.7665484369473908,[[0.35554787]]
"1289.62, 1298.8",[0.01149184],0.29099619545598865,[[0.35314507]]
"1289.62, 1309.81",[0.00296973],0.5319063394348985,[[0.45966309]]
"1289.62, 1339.32",[0.02805177],0.21172354622441228,[[0.07054482]]
"1289.87, 1292.82",[0.02198804],0.3439549826525418,[[0.36120585]]
