m/z,R00X093Y044,R00X188Y046,R00X092Y047,R00X118Y047,R00X183Y049,R00X185Y049,R00X094Y050,R00X213Y050,R00X269Y050,R00X287Y051,R00X291Y051,R00X196Y052,R00X226Y052,R00X087Y053,R00X298Y053,R00X099Y054,R00X266Y054,R00X268Y054,R00X293Y054,R00X126Y055,R00X225Y055,R00X271Y055,R00X221Y056,R00X223Y056,R00X238Y057,R00X254Y057,R00X292Y057,R00X296Y057,R00X148Y058,R00X280Y058,R00X302Y059,R00X286Y060,R00X175Y061,R00X283Y061,R00X085Y062,R00X119Y062,R00X283Y062,R00X284Y062,R00X073Y063,R00X079Y063,R00X119Y063,R00X213Y063,R00X254Y063,R00X287Y063,R00X079Y064,R00X117Y064,R00X139Y064,R00X097Y065,R00X262Y065,R00X293Y065,R00X300Y065,R00X073Y066,R00X137Y068,R00X243Y068,R00X097Y069,R00X276Y069,R00X185Y070,R00X262Y070,R00X266Y070,R00X276Y071,R00X198Y073,R00X276Y074,R00X195Y075,R00X270Y075,R00X271Y075,R00X131Y076,R00X202Y076,R00X119Y077,R00X121Y078,R00X199Y079,R00X247Y079,R00X208Y080,R00X251Y081,R00X274Y081,R00X127Y083,R00X162Y083,R00X171Y083,R00X219Y083,R00X250Y083,R00X261Y083,R00X161Y084,R00X186Y084,R00X219Y084,R00X220Y084,R00X267Y084,R00X271Y084,R00X231Y085,R00X248Y087,R00X265Y087,R00X204Y088,R00X221Y089,R00X251Y090,R00X264Y090,R00X253Y091,R00X289Y093
1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120144.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396443.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408537.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343290.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352650.28125,0.0,575999.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281893.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547822.625,0.0,0.0,842144.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.37,1030524.4375,0.0,996677.0625,1082001.9375,0.0,0.0,1127792.0,0.0,0.0,657623.8125,0.0,0.0,488480.84375,0.0,464167.84375,0.0,0.0,954160.4375,0.0,0.0,0.0,0.0,0.0,0.0,276965.28125,0.0,0.0,546660.75,0.0,571044.9375,361791.46875,0.0,491871.09375,305483.125,0.0,0.0,638394.5625,0.0,0.0,596657.875,570475.75,338440.78125,661927.125,566760.375,0.0,399544.78125,656559.25,625202.875,581179.6875,477150.28125,2422527.125,656797.75,449070.65625,0.0,0.0,450707.46875,0.0,0.0,2738678.4375,592597.0,0.0,0.0,0.0,0.0,628724.875,1749839.8125,770289.5625,477650.40625,0.0,0.0,440613.21875,0.0,0.0,547593.4375,585019.8125,437302.9375,0.0,597909.0,0.0,0.0,505245.09375,503971.65625,0.0,0.0,0.0,0.0,0.0,391123.4375,0.0,0.0,448166.0,0.0,388936.5625,0.0,409712.4375
1280.62,1716080.0625,1082745.0,608449.4375,1934719.75,828012.0,1988467.46875,0.0,0.0,460031.4375,613551.875,364734.25,0.0,459835.46875,1209276.34375,1985858.5,0.0,0.0,1225930.28125,1671776.875,1426737.4375,472243.09375,374796.90625,0.0,0.0,444596.3125,284600.125,0.0,382477.5,0.0,1073526.0,0.0,0.0,464903.34375,603518.9375,655180.9375,0.0,2597579.25,937464.1875,752818.3125,2491271.0625,0.0,694959.65625,1128913.625,1849565.5625,3268442.875,400317.1875,0.0,543005.0625,2094222.0,820209.3125,0.0,2366090.8125,1345109.125,659848.8125,1945428.5625,532096.25,329854.46875,915540.5625,519446.4375,487141.03125,0.0,467198.78125,556540.9375,814198.875,414592.40625,2455059.5,905775.6875,937148.90625,1352861.875,1936878.0,547607.0,515496.78125,1747333.5625,1134486.5,795830.3125,552370.0,948126.4375,526771.9375,0.0,0.0,842404.59375,0.0,2323956.625,0.0,0.0,902538.0625,1158213.1875,457005.4375,0.0,1132561.625,513939.53125,862524.375,1043961.0625,1370465.4375,2793878.3125
1280.82,614340.5,511296.4375,0.0,0.0,667386.4375,1638834.59375,0.0,493425.21875,830272.125,449932.09375,397049.90625,0.0,516650.375,506035.84375,884467.5625,618507.875,0.0,1279018.625,0.0,710078.375,442696.625,0.0,510263.78125,0.0,0.0,259396.90625,4574804.625,2310399.6875,517879.90625,474855.875,571975.625,0.0,0.0,290075.3125,0.0,0.0,0.0,360804.25,0.0,3064580.0,0.0,362961.125,0.0,1345754.1875,1938401.5625,0.0,458470.0,1680304.125,1950687.375,319701.875,0.0,803976.6875,670481.8125,2726638.75,730765.5,0.0,361021.65625,0.0,0.0,0.0,0.0,0.0,1408471.09375,405991.65625,601206.25,1302092.375,0.0,1017666.78125,1317793.3125,975768.4375,448218.875,709664.75,0.0,1148195.375,0.0,0.0,0.0,622668.3125,0.0,0.0,341375.96875,230755.375,0.0,445785.625,364726.75,686481.9375,1436538.0,1090988.1875,0.0,1757203.84375,0.0,1024346.375,0.0,0.0,741098.5625
1280.87,0.0,0.0,0.0,0.0,0.0,388828.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547337.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389653.78125,0.0,0.0,575920.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320465.5,0.0,0.0,0.0,0.0,285687.5,896470.0625,0.0,0.0,0.0,1013850.125,0.0,0.0,0.0,379484.0,0.0,0.0,0.0,0.0
