,Coef,Intercept,Score
"1280.62, 1315.87",[[0.22582821]],[0.02958377],0.6085327812792858
"1280.62, 1321.84",[[0.4277234]],[0.01168542],0.6647112954507166
"1280.62, 1339.79",[[0.15760365]],[0.02560051],0.7799650516731769
"1282.62, 1320.79",[[0.65819257]],[0.00954479],0.8642708281189989
"1282.62, 1326.87",[[0.23861384]],[0.02790747],0.6143790720780714
"1282.87, 1328.83",[[0.35696017]],[0.01992008],0.6300488696330164
"1283.62, 1321.84",[[0.43426221]],[0.01181357],0.6084400817193095
"1284.62, 1291.87",[[0.56153165]],[0.02080158],0.6460209349379271
"1284.62, 1336.76",[[0.20145215]],[0.01999025],0.7138785866752888
"1284.62, 1344.84",[[0.45414664]],[0.00762493],0.7634508656885688
"1285.62, 1289.87",[[0.45476112]],[0.02220965],0.6125596350543917
"1287.97, 1313.99",[[0.58996118]],[0.00582879],0.7653288188158581
"1287.97, 1337.99",[[0.57772475]],[0.00617615],0.7614086958747716
"1288.87, 1319.62",[[0.40170921]],[0.0332506],0.6721819691185005
"1288.87, 1323.62",[[0.40951385]],[0.03627604],0.6553993489185519
"1289.12, 1295.08",[[0.13333071]],[0.00799811],0.7087006457010204
"1289.12, 1311.98",[[0.75310832]],[0.00757939],0.8975669405937489
"1289.12, 1312.98",[[0.92392299]],[0.00760738],0.7779603875672273
"1289.12, 1313.99",[[0.50206593]],[0.00290713],0.6223996268281287
"1289.12, 1335.97",[[0.67589646]],[0.0071075],0.7088580531774337
"1289.12, 1336.98",[[0.89126298]],[0.00274693],0.6992208175205177
"1289.12, 1337.99",[[0.47652582]],[0.0050631],0.8879524582117183
"1289.62, 1321.84",[[0.30752761]],[0.02422372],0.6413940979724997
"1289.87, 1303.62",[[0.59711176]],[0.0331513],0.6682718636273635
"1289.98, 1335.97",[[1.17855752]],[0.0169099],0.8311560642770074
"1290.86, 1313.62",[[0.91248133]],[0.01350968],0.683530001899824
"1290.86, 1320.79",[[0.69343902]],[0.01328814],0.6474627738157437
"1290.86, 1322.62",[[0.52830086]],[0.01457083],0.6610548041725164
"1291.02, 1311.98",[[2.43972741]],[0.05314025],0.7139983225918399
"1291.02, 1335.97",[[3.25013065]],[0.03442208],0.6991909730560933
"1291.02, 1336.98",[[3.78857983]],[0.0468683],0.6402910041671408
"1291.62, 1322.83",[[0.43107934]],[0.01684877],0.671665862871935
"1291.87, 1297.84",[[0.41056538]],[0.02953791],0.7031805739195791
"1291.87, 1311.62",[[0.56174767]],[0.02011811],0.7988198645394258
"1291.87, 1315.62",[[1.0188533]],[0.034021],0.7243557476127103
"1291.87, 1344.84",[[0.48564048]],[0.01431437],0.6268760565792226
"1292.62, 1304.87",[[0.48120269]],[0.00565312],0.7456283261265111
"1292.62, 1344.84",[[0.50092208]],[0.01034725],0.8683226921979992
"1292.87, 1304.62",[[0.56660223]],[0.02575065],0.6407470839276203
"1292.87, 1320.79",[[0.69358176]],[0.00945635],0.6225126956960917
"1293.62, 1315.87",[[0.39691941]],[0.02463142],0.6827382901681913
"1294.62, 1320.79",[[0.81248876]],[0.00263694],0.7197421684905501
"1294.62, 1322.83",[[0.35399279]],[0.02101487],0.6215603554532989
