,,lda1,lda2
L0,330,-3.204647633,0.695727859
L0,354,-3.245121168,1.025164978
L0,378,-3.183996195,0.923730078
L0,402,-3.297260747,0.426076196
L0,426,0.666752293,0.031795568
L0,450,-2.836776904,0.124365516
L2,330,0.201259366,-2.573471552
L2,354,0.307951835,-2.563897346
L2,378,-0.296665863,-1.197371065
L2,402,0.302799571,-2.981724756
L2,426,0.903553484,-2.056594462
L2,450,-0.667660805,1.400003084
L5,330,1.783685759,1.621792385
L5,354,2.033972851,1.68783736
L5,378,1.224312163,1.010845205
L5,402,2.056424593,1.585054796
L5,426,2.001468955,1.381916558
L5,450,-0.530284255,-1.111617877
L8,330,0.985593396,-0.254070004
L8,354,1.296872438,0.09920617
L8,378,1.257760705,0.352081262
L8,402,1.087904644,0.240509712
L8,426,1.130038876,0.106658098
L8,450,0.022062643,0.025982237
