,,Intercept,Coef
L0,330,-1.586206897,0.75862069
L0,354,-2.9563543,0.840179718
L0,378,-2.183294664,0.791183295
L0,402,-4.586448598,0.950934579
L0,426,-3.574918567,0.886807818
L0,450,-3.445945946,0.905405405
L2,330,11.80986115,0.781952394
L2,354,-4.25,0.916666667
L2,378,-3.966101695,0.898305085
L2,402,-3.449856734,0.914040115
L2,426,-4.441455696,0.965981013
L2,450,-3.574918567,0.886807818
L5,330,-3.445062587,0.849095967
L5,354,-2.617647059,0.830882353
L5,378,-2.36461126,0.825737265
L5,402,-3.449856734,0.914040115
L5,426,-4.028596187,0.905545927
L5,450,-3.574918567,0.886807818
L8,330,-1.924426451,0.742240216
L8,354,-4.24813154,0.92077728
L8,378,-4.305084746,0.915254237
L8,402,-2.873134328,0.888059701
L8,426,-3.617021277,0.936170213
L8,450,-3.538461538,0.927514793
