,Unnamed: 0,0.5138,0.48382,0.4591,0.42902,0.47892,0.49402,0.42421,0.50394,0.48902,0.4137,0.46898,0.5189,0.4491,0.43906,0.40818,0.41865,0.54515,0.52428,0.53468,0.45396,0.47393,0.50893,0.44399,0.54982,0.53976,0.49902,0.52932,0.43418,0.46401
66,"1280.62, 1291.87",,[[0.22107188]],,,[[0.77305886]],[[0.51519521]],[[0.31006996]],,,,,,,[[0.50441862]],,,,,,[[0.27707689]],,,[[0.47782633]],,,[[0.553659]],,[[0.63805131]],[[0.3229616]]
71,"1280.62, 1293.87",,[[0.39711963]],,,[[0.5987366]],,[[0.385862]],[[0.39665925]],[[0.32011299]],,[[0.48205299]],,[[0.33558288]],[[0.25562522]],,,,[[0.38129154]],,,,,[[0.41550305]],,,[[0.29248766]],,[[0.48277586]],
101,"1280.62, 1302.87",,,[[0.21090338]],,[[0.10038575]],,,[[0.30083189]],,,[[0.24780837]],,[[0.15111683]],[[0.42760812]],,[[0.30347718]],,,,,,,,,,,,[[0.29322719]],[[0.22992275]]
550,"1281.62, 1291.87",,,,,[[0.57890092]],[[0.37689286]],[[0.23104125]],,,,[[0.58129882]],,[[0.61331675]],,,,,,,[[0.41574857]],,,,,,[[0.36983659]],,[[0.60311968]],[[0.35920672]]
552,"1281.62, 1292.87",,,,,[[0.37593018]],[[0.41974523]],,[[0.45567027]],[[0.43441942]],,,,[[0.52981134]],,,,,,,,,[[0.12067528]],[[0.51507394]],,,[[0.52022589]],,,[[0.44249049]]
555,"1281.62, 1294.87",,,,,,,,[[0.29562857]],[[0.39811888]],,[[0.59567081]],,,[[0.35049298]],,[[0.73864374]],,,,,,,[[0.5358062]],,,,[[0.54505529]],[[0.46782763]],[[0.35653125]]
983,"1282.62, 1294.87",,,[[0.43333933]],,[[0.68800135]],,,[[0.17988767]],[[0.34065084]],,[[0.57481497]],,,,,[[0.76329213]],,,,[[0.66811545]],,,,,,[[0.36400263]],,[[0.47535339]],
1422,"1283.62, 1291.87",,[[0.31767902]],[[0.24276142]],,[[0.52876326]],,,[[0.38446163]],,,,,[[0.53477884]],,,,,,,[[0.42352728]],[[0.247076]],,[[0.43777257]],,,,,[[0.43393095]],
1834,"1284.62, 1291.87",[[0.36030541]],[[0.49391984]],,,[[0.24990382]],[[0.59225174]],[[0.35711335]],,,,,,[[0.51586818]],,,,,,,[[0.35841425]],,,,,,[[0.30018427]],,[[0.56483839]],[[0.32057478]]
3022,"1287.62, 1290.87",[[0.30986377]],,,,[[0.76853273]],,,[[0.21475678]],[[0.37090631]],,[[0.49662588]],,,,,,,[[0.13415039]],,,[[0.47329986]],[[0.25569402]],[[0.41543363]],,,,,[[0.44573065]],
3467,"1288.62, 1294.87",,,,,[[0.3183913]],,,,[[0.59857804]],,[[0.5577299]],[[0.30484338]],,[[0.42598002]],,[[0.91511363]],,,,,,,[[0.62193664]],,,[[0.4523821]],,[[0.80549043]],[[0.45710151]]
4316,"1289.98, 1335.97",,,,[[1.16024912]],,,[[1.43263294]],,,,,[[1.30984944]],[[1.29346985]],,,[[1.27874444]],,[[1.12939274]],,,,,[[1.3256235]],,,,[[1.40512701]],,[[1.31601684]]
