,m/z,I,S/N,em,dbe,error,C,H,Class
5398,200.10804,1494641,10.3,200.1080876547,7,4.765470001188987e-05,13,14,O1N1
5520,201.11321999999998,2689194,20.6,201.1132326073,2,1.2607300021727497e-05,10,17,O4
5727,203.10776,2929460,22.6,203.1077533029,6,6.69710001943713e-06,13,15,O2
5730,203.14417,1275710,8.4,203.1441388117,5,3.1188299999485025e-05,14,19,O1
5924,205.12341,2982441,23.0,205.1234033673,5,6.632700007003223e-06,13,17,O2
5930,205.15981000000002,2565427,19.4,205.1597888761,4,2.112390001229869e-05,14,21,O1
6140,207.08149,2174830,16.0,207.0815385541,10,4.855410000459415e-05,15,11,O1
6142,207.10263999999998,2440244,18.3,207.10266792289997,5,2.7922899988652716e-05,12,15,O3
6147,207.13906,1124767,7.1,207.1390534317,4,6.5682999945693155e-06,13,19,O2
6230,208.07672,1086913,6.8,208.07678752590002,10,6.752590002179204e-05,14,10,O1N1
6235,208.11315,7768364,63.8,208.1131730347,9,2.3034700006974163e-05,15,14,N1
6323,209.09718,1461475,9.9,209.0971886185,9,8.618500004331509e-06,15,13,O1
6331,209.1547,8879734,73.0,209.1547034961,3,3.4961000210387283e-06,13,21,O2
6517,211.07648999999998,1158315,7.3,211.0764531741,9,3.6825899968562226e-05,14,11,O2
6519,211.09755,1212594,7.8,211.0975825429,4,3.254289998722015e-05,11,15,O4
6525,211.13397999999998,1678846,11.7,211.13396805169998,3,1.1948299999176015e-05,12,19,O3
6528,211.17038,19161866,160.1,211.17035356050002,2,2.6439499976049774e-05,13,23,O2
6708,213.0921,2817433,21.4,213.09210323850002,8,3.238500028146518e-06,14,13,O2
6710,213.11319,1006497,6.0,213.1132326073,3,4.26073000028282e-05,11,17,O4
6721,213.18599,78143928,660.4,213.1860036249,1,1.362489999223726e-05,13,25,O2
6807,214.08737999999997,1196566,7.6,214.08735221030003,8,2.7789699942104562e-05,13,12,O2N1
6812,214.12373,1049922,6.4,214.1237377191,7,7.719100011627233e-06,14,16,O1N1
6900,215.10772999999998,1376737,9.1,215.1077533029,7,2.330290001850699e-05,14,15,O2
6903,215.12884,1886056,13.5,215.1288826717,2,4.2671700015262104e-05,11,19,O4
6905,215.14421000000002,1138190,7.1,215.1441388117,6,7.118830001218157e-05,15,19,O1
6985,216.08187999999998,1506689,10.2,216.0818729059,12,7.094099970572643e-06,16,10,N1
7067,217.12337000000002,4499904,35.5,217.1234033673,6,3.3367299977271614e-05,14,17,O2
7072,217.15977,2359117,17.4,217.1597888761,5,1.8876100000397855e-05,15,21,O1
7165,218.1918,1081837,6.6,218.1914233567,4,0.00037664330000097834,15,24,N1
7228,219.06625,1502103,10.1,219.0662824141,7,3.241409999077405e-05,12,11,O4
7239,219.13907999999998,7631411,61.7,219.1390534317,5,2.656829997249588e-05,14,19,O2
7243,219.17545,15258176,125.8,219.17543894050002,4,1.1059499996690647e-05,15,23,O1
7415,221.0972,2553249,19.0,221.0971886185,10,1.1381499973595055e-05,16,13,O1
7417,221.11835,4539690,35.7,221.11831798729997,5,3.2012700017958196e-05,13,17,O3
7420,221.15472000000003,9132855,74.3,221.1547034961,4,1.6503900013731254e-05,14,21,O2
7493,222.09243999999998,2090277,15.0,222.09243759030002,10,2.4096999595712987e-06,15,12,O1N1
7497,222.12883,17226418,142.0,222.1288230991,9,6.90089999011434e-06,16,16,N1
7580,223.11282000000003,3216182,24.5,223.1128386829,9,1.8682899963096133e-05,16,15,O1
7584,223.13384,1106174,6.8,223.13396805169998,4,0.00012805169998841848,13,19,O3
7587,223.17032999999998,28343372,235.2,223.17035356050002,3,2.356050003982091e-05,14,23,O2
7654,224.07165,1145010,7.1,224.07170214590002,10,5.2145900014011204e-05,14,10,O2N1
7725,225.05568,1086363,6.6,225.0557177297,10,3.772970001136855e-05,14,9,O3
7729,225.09212000000002,2157450,15.5,225.09210323850002,9,1.6761500006623464e-05,15,13,O2
7732,225.12846000000002,1179352,7.4,225.1284887473,8,2.8747299978704177e-05,16,17,O1
7735,225.18601,40625008,337.2,225.1860036249,2,6.3751000141110126e-06,14,25,O2
7863,227.10778,1870583,13.1,227.1077533029,8,2.6697099997363694e-05,15,15,O2
7866,227.12895,1124864,6.9,227.1288826717,3,6.732829999123169e-05,12,19,O4
7869,227.16532,1081486,6.5,227.1652681805,2,5.1819500015426456e-05,13,23,O3
7871,227.20167,144447136,1205.2,227.2016536893,1,1.6310700004851242e-05,14,27,O2
7943,228.13942000000003,1394139,9.1,228.1393877835,7,3.2216500017057115e-05,15,18,O1N1
8022,229.12344,1724461,11.9,229.1234033673,7,3.663269998810392e-05,15,17,O2
8024,229.14455,1549750,10.4,229.14453273610002,2,1.7263899991348808e-05,12,21,O4
8025,229.15982999999997,1718332,11.8,229.1597888761,6,4.1123899961803545e-05,16,21,O1
8093,230.09756000000002,8601917,69.2,230.09752297030002,12,3.7029699996082854e-05,17,12,N1
8095,230.11867,1080006,6.5,230.1186523391,7,1.766089999932774e-05,14,16,O2N1
8175,231.13906,6303467,49.9,231.1390534317,6,6.5682999945693155e-06,15,19,O2
8178,231.17543999999998,2653690,19.5,231.17543894050002,5,1.0594999650948012e-06,16,23,O1
8330,233.15472000000003,14941228,121.6,233.1547034961,5,1.6503900013731254e-05,15,21,O2
8331,233.19109,4391483,34.0,233.1910890049,4,9.951000095043128e-07,16,25,O1
8386,234.12882000000002,1169440,7.2,234.1288230991,10,3.0990999846380873e-06,17,16,N1
8459,235.07642,1725257,11.8,235.0764531741,11,3.317409999681331e-05,16,11,O2
8464,235.11287000000002,2354136,17.0,235.1128386829,10,3.131710002435284e-05,17,15,O1
8467,235.13394,5178209,40.4,235.13396805169998,5,2.805169998509882e-05,14,19,O3
8471,235.17033999999998,14513520,117.7,235.17035356050002,4,1.3560500036646772e-05,15,23,O2
8526,236.10811,2478581,18.0,236.1080876547,10,2.2345300010329083e-05,16,14,O1N1
8530,236.14449,14237956,115.4,236.1444731635,9,1.683649998085457e-05,17,18,N1
8589,237.09212000000002,1928077,13.4,237.09210323850002,10,1.6761500006623464e-05,16,13,O2
8593,237.12849,2437532,17.6,237.1284887473,9,1.252700002396523e-06,17,17,O1
8599,237.18601,42307252,346.7,237.1860036249,3,6.3751000141110126e-06,15,25,O2
8648,238.08742999999998,1278824,8.0,238.08735221030003,10,7.778969995797524e-05,15,12,O2N1
8721,239.07134,1676095,11.3,239.0713677941,10,2.779410002062832e-05,15,11,O3
8724,239.10777000000002,3658446,27.7,239.1077533029,9,1.6697100022611266e-05,16,15,O2
8728,239.12888999999998,4918743,38.1,239.1288826717,4,7.328299972186869e-06,13,19,O4
8729,239.14414,1904989,13.2,239.1441388117,8,1.1882999899626157e-06,17,19,O1
8731,239.20167999999998,54225396,445.0,239.2016536893,2,2.631069997960367e-05,15,27,O2
8874,241.1234,2375946,17.0,241.1234033673,8,3.367299996170914e-06,16,17,O2
8876,241.14457000000002,2512659,18.1,241.14453273610002,3,3.726389999769708e-05,13,21,O4
8887,241.2173,165227824,1356.5,241.2173037537,1,3.7537000139309384e-06,15,29,O2
8937,242.11865,1086625,6.4,242.1186523391,8,2.3391000070205337e-06,15,16,O2N1
8939,242.15503999999999,1867823,12.8,242.15503784790002,7,2.1520999666790885e-06,16,20,O1N1
8941,242.17619,4755640,36.6,242.1761672167,2,2.278329998262052e-05,13,24,O3N1
9001,243.13906,4254783,32.4,243.1390534317,7,6.5682999945693155e-06,16,19,O2
9003,243.16019,2091080,14.6,243.16018280050002,2,7.199499975740764e-06,13,23,O4
9004,243.17542999999998,1615950,10.7,243.17543894050002,6,8.940500038079335e-06,17,23,O1
9066,244.11317999999997,23448008,189.7,244.1131730347,12,6.9652999741265376e-06,18,14,N1
9118,245.0972,1681044,11.3,245.0971886185,12,1.1381499973595055e-05,18,13,O1
9124,245.13336,1070595,6.3,245.1335741273,11,0.00021412729998360192,19,17,
9126,245.15472000000003,8581483,67.8,245.1547034961,6,1.6503900013731254e-05,16,21,O2
9128,245.1911,3356282,25.0,245.1910890049,5,1.099510001267845e-05,17,25,O1
9240,247.11288,1390069,8.8,247.1128386829,11,4.131709999910527e-05,18,15,O1
9246,247.17038,11784843,93.7,247.17035356050002,5,2.6439499976049774e-05,16,23,O2
9248,247.20675,4191898,31.7,247.2067390693,4,1.0930700000244542e-05,17,27,O1
9307,248.14446,2633481,19.0,248.1444731635,10,1.3163500000246131e-05,18,18,N1
9357,249.09217,2025209,14.0,249.09210323850002,11,6.676149999407244e-05,17,13,O2
9361,249.12852999999998,2184328,15.3,249.1284887473,10,4.125269998667136e-05,18,17,O1
9363,249.14963999999998,8615824,67.8,249.1496181161,5,2.1883899989916245e-05,15,21,O3
9367,249.18603,26479006,213.7,249.1860036249,4,2.6375099992037576e-05,16,25,O2
9416,250.1238,2135430,14.9,250.1237377191,10,6.228089998217001e-05,17,16,O1N1
9418,250.14482999999998,2453646,17.4,250.1448670879,5,3.7087900011556485e-05,14,20,O3N1
