,Score,Intercept,Coef
"10, 11",,[0.00900974],[[0.37147911]]
"10, 12",,[0.27808607],[[-0.14112497]]
"10, 13",,[0.03106922],[[0.92013684]]
"10, 14",,[0.01748816],[[0.41053103]]
"10, 15",,[0.3319223],[[-2.04630682]]
"10, 16",,[0.03416156],[[0.08890226]]
"10, 17",,[0.05717235],[[-0.2661517]]
"10, 18",,[0.13396638],[[-1.10095653]]
"10, 19",,[0.00917709],[[0.00823001]]
"10, 9",,[0.08967394],[[0.82477824]]
"11, 12",,[0.27831159],[[-0.28398555]]
"11, 13",,[0.02438551],[[2.00798367]]
"11, 14",,[0.0134747],[[0.92682981]]
"11, 15",,[0.38114902],[[-5.4964245]]
"11, 16",,[0.03373947],[[0.18729818]]
"11, 17",,[0.06443323],[[-0.74063525]]
"11, 18",,[0.15399868],[[-2.76361967]]
"11, 19",,[0.0093747],[[0.01023882]]
"11, 9",,[0.05259673],[[2.73243169]]
"12, 13",,[1.57567618],[[-5.5212299]]
"12, 14",,[0.65350966],[[-2.26576402]]
"12, 15",,[-1.33327039],[[5.69546593]]
"12, 16",,[0.19492023],[[-0.57630687]]
"12, 17",,[-0.11520569],[[0.57635454]]
"12, 18",,[-1.09429591],[[4.30050791]]
"12, 19",,[0.03624948],[[-0.09869431]]
"12, 9",,[-0.12691666],[[1.0065215]]
"13, 14",,[0.00623077],[[0.41764227]]
"13, 15",,[0.314246],[[-1.27373438]]
"13, 16",,[0.03059486],[[0.10280371]]
"13, 17",,[0.0527061],[[-0.14193596]]
"13, 18",,[0.14075036],[[-0.86372368]]
"13, 19",,[0.00824926],[[0.01606145]]
"13, 9",,[0.14032239],[[0.03678472]]
"14, 15",,[0.34579902],[[-3.33267455]]
"14, 16",,[0.02925314],[[0.24182533]]
"14, 17",,[0.05682458],[[-0.38494709]]
"14, 18",,[0.15761713],[[-2.15781553]]
"14, 19",,[0.00812906],[[0.03576588]]
"14, 9",,[0.12731245],[[0.36892141]]
"15, 16",,[0.0468157],[[-0.03452125]]
"15, 17",,[0.01311798],[[0.13452613]]
"15, 18",,[-0.03797526],[[0.5044755]]
"15, 19",,[0.010105],[[-0.00196534]]
"15, 9",,[0.24119279],[[-0.49266193]]
"16, 17",,[0.087623],[[-1.19747493]]
"16, 18",,[0.37971822],[[-7.94947946]]
"16, 19",,[0.00318026],[[0.16346306]]
"16, 9",,[0.169872],[[-0.65503795]]
"17, 18",,[-0.07574319],[[3.46256324]]
"17, 19",,[0.00981451],[[-0.00247855]]
"17, 9",,[0.30588189],[[-4.08109001]]
"18, 19",,[0.01029525],[[-0.00936173]]
"18, 9",,[0.18261834],[[-0.62928907]]
"19, 9",,[0.4613544],[[-32.69582335]]
