m/z,0,1,2,3
391.12,34.9332191,-3.471691979,-15.16427523,13.25459302
376.16,32.46566804,41.14971732,-36.3255226,84.04126152
381.15,16.61944887,7.432005741,-2.040707975,5.264980384
469.2,13.56928063,4.004568182,-2.217271539,9.4596822
511.22,11.5225157,-1.347649231,-3.308809792,6.654547207
497.21,10.0727138,-0.707818667,-1.425946664,3.458958418
408.15,8.844364533,-1.407748814,1.268683533,2.200329427
505.16,8.651434405,-2.018629155,4.330165422,2.78626897
405.31,8.559397262,2.32661509,-6.789625901,8.669015225
451.17,8.511511821,-2.203579769,5.750857881,-3.343401474
451.19,8.418128371,-6.781580584,4.157498851,-1.626024225
457.13,8.31662811,3.005469301,-4.668895867,5.348004594
435.15,8.086006269,-0.451841511,7.529948415,-1.502916118
423.15,8.064256643,1.039830424,-1.501061364,11.13851837
389.23,7.58850469,-2.539485109,4.852591423,-3.718648342
450.21,7.410385519,-0.314611757,0.373005877,3.661165519
493.18,7.055001353,-0.826917509,-3.808390747,1.68071131
435.14,6.600997945,2.868406991,-2.229922885,2.83835999
461.13,6.299921795,4.096003669,-0.19990552,3.580690526
441.21,5.733800473,5.417585698,1.425954158,4.217879212
432.15,5.571512635,0.583925748,-1.846108211,9.767236483
423.14,5.556755247,-9.853415689,0.363276469,1.593818131
389.14,5.471703027,-2.634341957,4.421803494,0.595495408
425.22,5.271647078,-5.114354032,0.091453402,-0.258879201
469.21,4.967489262,4.633460969,-3.800584929,8.816828781
421.17,4.760059217,-1.998069889,0.189498458,2.657330941
483.19,4.657079819,2.621353563,-3.062368168,-0.309120893
437.21,4.303082947,2.833432373,2.232387489,5.528193427
396.16,4.176707792,0.635373139,2.440900683,-0.033072367
443.24,3.930839235,5.064847659,-3.73546689,2.358665804
439.2,3.547568284,3.234373641,-1.205475319,8.192904708
373.46,3.008311747,-1.149867217,2.685125522,1.225795504
473.17,2.804889647,2.382786458,-1.028105951,2.166089053
475.45,2.60198122,-0.073662361,1.378367873,-5.798203172
391.35,2.272662733,-2.868476169,4.301603366,-1.676292909
489.16,2.237095641,-1.713891851,5.031573776,-8.332409487
435.7,2.092545414,-5.1099699,1.212879101,-0.570107593
491.18,1.960633843,-1.597894737,1.889210421,-5.537047279
467.2,1.94887688,4.056046369,6.277519324,2.175058637
523.18,1.908970551,3.571659103,-3.157880093,3.392013797
407.16,1.808171648,-3.986609685,0.787751719,-2.127546626
465.2,1.807001661,3.140678247,-4.652644163,5.726017052
461.17,1.677840171,1.267408518,2.315872451,-0.74322725
437.12,1.608094509,-2.267243697,11.07125483,-2.116688554
